GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sf.jniinchi,JniInchiBond,49,44,0,0,7,16,5,7,5,7
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiAtom,11,272,0,0,3,89,0,22,0,22
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiWrapper.TestThread,35,177,5,1,8,26,3,4,0,4
JaCoCo Ant Example,net.sf.jniinchi,INCHI_BOND_TYPE,26,67,6,0,8,9,9,2,4,2
JaCoCo Ant Example,net.sf.jniinchi,JniInchiOutputKey,38,0,6,0,13,0,7,0,4,0
JaCoCo Ant Example,net.sf.jniinchi,JniInchiAtom,80,117,0,2,6,44,4,22,4,21
JaCoCo Ant Example,net.sf.jniinchi,INCHI_KEY_STATUS,93,0,6,0,17,0,11,0,6,0
JaCoCo Ant Example,net.sf.jniinchi,JniInchiStructure,23,111,0,4,6,22,3,14,3,12
JaCoCo Ant Example,net.sf.jniinchi,INCHI_OPTION,7,256,1,3,1,26,2,5,1,4
JaCoCo Ant Example,net.sf.jniinchi,TestExamples,319,3,0,0,62,1,9,1,9,1
JaCoCo Ant Example,net.sf.jniinchi,JniInchiInput,22,18,1,1,9,7,4,3,3,3
JaCoCo Ant Example,net.sf.jniinchi,INCHI_BOND_STEREO,32,100,9,0,11,12,12,2,4,2
JaCoCo Ant Example,net.sf.jniinchi,INCHI_RET,32,100,9,0,11,12,12,2,4,2
JaCoCo Ant Example,net.sf.jniinchi,JniInchiInputInchi,10,25,0,0,4,10,1,4,1,4
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiInputInchi,0,26,0,0,0,8,0,3,0,3
JaCoCo Ant Example,net.sf.jniinchi,JniInchiOutput,59,33,0,0,13,12,7,6,7,6
JaCoCo Ant Example,net.sf.jniinchi,INCHI_STEREOTYPE,24,56,5,0,7,8,8,2,4,2
JaCoCo Ant Example,net.sf.jniinchi,JniInchiInputData,22,0,0,0,8,0,4,0,4,0
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiInput,0,15,0,0,0,5,0,2,0,2
JaCoCo Ant Example,net.sf.jniinchi,INCHI_STATUS,106,0,7,0,19,0,12,0,6,0
JaCoCo Ant Example,net.sf.jniinchi,INCHI_RADICAL,24,56,5,0,7,8,8,2,4,2
JaCoCo Ant Example,net.sf.jniinchi,JniInchiStereo0D,105,71,2,0,10,20,8,8,7,8
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiStructure,0,165,0,0,0,46,0,10,0,10
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiWrapper,2819,1872,3,13,607,290,78,33,75,28
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiOutputStructure,0,81,0,0,0,17,0,5,0,5
JaCoCo Ant Example,net.sf.jniinchi,INCHI_KEY,119,0,8,0,21,0,13,0,6,0
JaCoCo Ant Example,net.sf.jniinchi,JniInchiException,7,4,0,0,4,2,2,1,2,1
JaCoCo Ant Example,net.sf.jniinchi,JniInchiWrapper,290,190,25,23,73,47,24,16,6,10
JaCoCo Ant Example,net.sf.jniinchi,LoadNativeLibraryException,7,4,0,0,4,2,2,1,2,1
JaCoCo Ant Example,net.sf.jniinchi,JniInchiOutputStructure,52,35,0,0,9,14,3,8,3,8
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiStereo0D,0,243,0,0,0,41,0,9,0,9
JaCoCo Ant Example,net.sf.jniinchi,Main,290,0,12,0,66,0,10,0,4,0
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiOutput,0,73,0,0,0,16,0,6,0,6
JaCoCo Ant Example,net.sf.jniinchi,INCHI_PARITY,26,67,6,0,8,9,9,2,4,2
JaCoCo Ant Example,net.sf.jniinchi,TestJniInchiBond,0,189,0,0,0,41,0,10,0,10
