GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,nu.staldal.xmlutil,XMLReaderImpl,58,0,0,0,19,0,14,0,14,0
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerFixer,479,0,78,0,102,0,54,0,15,0
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerAdapter,220,0,16,0,46,0,17,0,9,0
JaCoCo Ant Example,nu.staldal.xmlutil,DocumentHandlerAdapter,348,0,50,0,74,0,37,0,12,0
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerSnooper,200,0,4,0,36,0,14,0,12,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,TestSSHFileStorage,119,0,2,0,27,0,3,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorage.FTPOutputHandler,31,0,0,0,12,0,3,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorage,46,167,10,14,7,45,11,9,2,6
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorage,93,0,0,0,27,0,7,0,7,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,TestFTPFileStorage,111,0,0,0,19,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorage,367,0,36,0,53,0,26,0,8,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorage.LocalOutputHandler,14,23,2,2,1,9,2,3,0,3
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorage.SSHOutputHandler,74,0,0,0,18,0,3,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,TestLocalFileStorage,4,106,4,4,0,21,4,4,0,4
JaCoCo Ant Example,nu.staldal.lagoon.util,LagoonUtil,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,nu.staldal.lagoon.util,Wildcard,98,0,16,0,19,0,12,0,4,0
JaCoCo Ant Example,nu.staldal.lagoon.util,TemplateProcessor,198,0,44,0,58,0,25,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.util,TemplateException,25,0,0,0,9,0,4,0,4,0
