GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.saxpath,SAXPathParseException,4,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,org.saxpath,XPathSyntaxException,76,10,2,0,16,4,6,1,5,1
JaCoCo Ant Example,org.saxpath,Axis,53,60,24,16,26,17,25,4,2,1
JaCoCo Ant Example,org.saxpath,SAXPathException,43,4,4,0,16,2,7,1,5,1
JaCoCo Ant Example,org.saxpath.conformance,ConformanceXPathHandler,106,312,3,1,22,82,10,40,8,40
JaCoCo Ant Example,com.werken.saxpath,XPathReaderTest,87,561,0,4,39,170,0,27,0,25
JaCoCo Ant Example,com.werken.saxpath,XPathReader,369,772,70,74,118,255,64,64,6,36
JaCoCo Ant Example,com.werken.saxpath,XPathLexer,7,1023,19,95,2,248,20,93,1,43
JaCoCo Ant Example,com.werken.saxpath,XPathLexerTokenTest,0,515,0,2,0,81,0,38,0,37
JaCoCo Ant Example,com.werken.saxpath,DefaultXPathHandler,11,38,0,0,11,36,11,35,11,35
JaCoCo Ant Example,com.werken.saxpath,DefaultXPathHandler.Singleton,3,5,0,0,1,1,1,1,1,1
JaCoCo Ant Example,com.werken.saxpath,XPathLexerTest,0,338,0,0,0,118,0,24,0,24
JaCoCo Ant Example,com.werken.saxpath,Token,17,48,0,0,1,18,1,9,1,9
JaCoCo Ant Example,org.saxpath.helpers,XPathReaderFactory,107,0,12,0,32,0,10,0,4,0
JaCoCo Ant Example,org.saxpath.helpers,MockXPathReader,7,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.saxpath.helpers,XPathReaderFactoryTest,91,0,0,0,48,0,10,0,10,0
JaCoCo Ant Example,org.saxpath.helpers,DefaultXPathHandler,47,0,0,0,46,0,45,0,45,0
