GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,SchemaMeta,318,0,20,0,64,0,16,0,6,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableColumnMeta,373,0,46,0,79,0,41,0,18,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableMeta,143,0,12,0,28,0,13,0,7,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,ForeignKeyMeta,116,0,8,0,22,0,11,0,7,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot,706,0,68,0,118,0,53,0,19,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DOMUtil,58,0,4,0,18,0,5,0,3,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResourceWriter,63,0,4,0,16,0,6,0,4,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,VersionTest,20,154,10,10,2,29,10,8,0,8
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter,179,0,14,0,40,0,10,0,3,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResultSetDumper,60,0,8,0,16,0,6,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot.ProcessOutputReader,78,0,6,0,17,0,5,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Inflection,38,344,11,9,11,91,10,13,2,11
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter.new ThreadLocal() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificConfig,161,0,12,0,33,0,12,0,6,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter.new ThreadLocal() {...},7,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader,141,0,17,0,44,0,12,0,3,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConnectionURLBuilder,224,0,16,0,40,0,13,0,5,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LineWriter,82,0,0,0,25,0,10,0,10,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,HtmlEncoder,78,0,4,0,15,0,7,0,5,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Version,8,113,3,15,3,27,5,9,2,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader.Masker,46,0,2,0,15,0,4,0,3,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader.IOError,7,0,0,0,3,0,1,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificOption,57,0,0,0,13,0,7,0,7,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot.DotFailure,7,0,0,0,3,0,1,0,1,0
