GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sf.xisemele.exception,WithinContextDuplicateException,6,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,ChildNotFoundException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,WithinContextNotPermittedException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,InvalidNameException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,RemoveRootNotPermittedException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,AttributeNotPermittedException,6,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,XisemeleIOException,12,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,NotWithinContextException,6,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,FormatterException,31,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,net.sf.xisemele.exception,ParseXMLException,7,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,RootDuplicateException,14,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,XisemeleException,22,0,0,0,6,0,3,0,3,0
JaCoCo Ant Example,net.sf.xisemele.exception,TransformException,7,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,ElementNotFoundException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,ElementIndexOutOfBoundsException,15,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,ValueNotPermittedException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,FormatterNotConfiguredException,11,0,0,0,2,0,1,0,1,0
