GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model,MenuStructureException,0,4,0,0,0,2,0,1,0,1
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu,BluepenguinMenu,130,0,10,0,38,0,9,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.client,IDGenerator,3,9,0,0,1,1,1,1,1,1
JaCoCo Ant Example,ch.bluepenguin.email.client,MailMessage,0,25,0,0,0,9,0,6,0,6
JaCoCo Ant Example,ch.bluepenguin.email.client,Person,0,39,0,0,0,15,0,10,0,10
JaCoCo Ant Example,ch.bluepenguin.email.client,Account,0,18,0,0,0,6,0,4,0,4
JaCoCo Ant Example,ch.bluepenguin.email.client,AbstractUniqueID,26,16,4,0,6,6,3,3,1,3
JaCoCo Ant Example,ch.bluepenguin.email.client,Folder,0,51,0,0,0,20,0,12,0,12
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,MenuItemList,2,108,3,9,1,24,3,11,0,8
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuModel,28,288,10,30,10,64,10,24,0,14
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuItem,0,61,0,0,0,26,0,16,0,16
JaCoCo Ant Example,randoop,RandoopTest9,4126,69606,1558,1558,27,19876,1558,502,0,502
JaCoCo Ant Example,randoop,RandoopTest12,2339,42758,901,901,24,12127,901,278,0,278
JaCoCo Ant Example,randoop,RandoopTest10,4250,74455,1661,1661,36,20952,1661,502,0,502
JaCoCo Ant Example,randoop,RandoopTest11,4309,77514,1651,1651,54,22256,1651,502,0,502
JaCoCo Ant Example,randoop,RandoopTest0,4529,51713,1311,1311,294,14834,1311,502,0,502
JaCoCo Ant Example,randoop,RandoopTest6,4237,71947,1572,1572,66,20476,1572,502,0,502
JaCoCo Ant Example,randoop,RandoopTest5,4073,68265,1478,1478,39,19348,1478,502,0,502
JaCoCo Ant Example,randoop,RandoopTest8,4278,76177,1633,1633,55,21741,1633,502,0,502
JaCoCo Ant Example,randoop,RandoopTest7,4235,69790,1585,1585,57,19945,1585,502,0,502
JaCoCo Ant Example,randoop,RandoopTest2,4389,69127,1574,1574,129,19598,1574,502,0,502
JaCoCo Ant Example,randoop,RandoopTest1,4146,63636,1355,1355,117,18015,1355,502,0,502
JaCoCo Ant Example,randoop,RandoopTest4,4329,72702,1626,1626,84,20647,1626,502,0,502
JaCoCo Ant Example,randoop,RandoopTest3,4222,70477,1573,1573,63,20169,1573,502,0,502
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,FolderTreeNode,6,52,3,5,1,18,3,8,0,7
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,TreeModelHelper,98,3,4,0,26,1,5,1,3,1
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,DisplayHelper,14,50,1,3,3,14,2,7,1,6
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,MailCache,133,39,0,0,26,10,4,2,4,2
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,HierarchicalElement,11,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,DummyEmailFacadeImpl,15,241,0,4,5,43,3,11,3,9
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeState,0,80,0,10,0,24,0,11,0,6
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeImpl,974,51,63,1,192,16,48,9,16,9
JaCoCo Ant Example,ch.bluepenguin.email.aop,DebugAfterReturnAdvice,79,10,4,0,7,4,3,3,1,3
JaCoCo Ant Example,ch.bluepenguin.email.aop,FormatterMethodAdvice,52,3,4,0,11,1,3,1,1,1
JaCoCo Ant Example,ch.bluepenguin.email.client.service,EmailFacadeException,0,10,0,0,0,4,0,3,0,3
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,GenericMarkupMenuItemRenderer,49,15,6,0,10,8,5,4,2,4
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,DirectLinkMenuItemRenderer,53,11,2,0,15,6,3,3,2,3
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,HyperlinkMenuItemRenderer,33,10,2,0,11,5,2,3,1,3
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,DefaultMenuItemRenderer,16,3,2,0,5,2,2,1,1,1
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,AbstractMenuItemRenderer,16,7,0,0,7,4,2,2,2,2
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,Home,11,3,0,0,4,1,1,1,1,1
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,SpringEngine,25,3,2,0,7,1,2,1,1,1
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,MessageList,206,0,18,0,45,0,17,0,8,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,MessageView,172,0,8,0,53,0,17,0,13,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,Visit,0,10,0,0,0,4,0,3,0,3
