GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,bierse.model,Model,474,0,28,0,126,0,45,0,31,0
JaCoCo Ant Example,bierse.model,Drink,979,2,40,0,219,1,64,1,44,1
JaCoCo Ant Example,bierse.model,Settings,355,0,10,0,95,0,22,0,17,0
JaCoCo Ant Example,bierse.view,KeyMapComboBoxModel,24,116,12,1,12,28,12,3,0,3
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new DefaultTableModel() {...},28,0,4,0,7,0,5,0,3,0
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new WindowAdapter() {...},13,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,bierse.view,RunningMessagePanel,14,117,2,4,4,30,2,8,1,6
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView,602,0,14,0,110,0,20,0,13,0
JaCoCo Ant Example,bierse.view,MyKeyMap,3,18,0,0,1,7,1,4,1,4
JaCoCo Ant Example,bierse.view,DefaultInfoView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,bierse.view,DefaultSettingsView,986,0,20,0,214,0,34,0,24,0
JaCoCo Ant Example,bierse.view,DefaultInfoView,472,0,10,0,89,0,13,0,8,0
JaCoCo Ant Example,bierse.view,DefaultInfoViewMouseListener,95,0,4,0,24,0,10,0,8,0
JaCoCo Ant Example,randoop,RandoopTest9,9038,80536,4157,3923,557,23286,4040,502,0,502
JaCoCo Ant Example,randoop,RandoopTest16,1122,8757,461,425,88,2526,443,62,0,62
JaCoCo Ant Example,randoop,RandoopTest14,8561,81481,4127,3929,482,23683,4028,502,0,502
JaCoCo Ant Example,randoop,RandoopTest15,9085,76785,4075,3795,643,22186,3935,502,0,502
JaCoCo Ant Example,randoop,RandoopTest12,9135,78430,4126,3880,603,22734,4003,502,0,502
JaCoCo Ant Example,randoop,RandoopTest13,8821,76778,4007,3777,539,22318,3892,502,0,502
JaCoCo Ant Example,randoop,RandoopTest10,9021,80290,4185,3933,582,23076,4059,502,0,502
JaCoCo Ant Example,randoop,RandoopTest11,9040,76916,4052,3784,615,22234,3918,502,0,502
JaCoCo Ant Example,randoop,RandoopTest0,7873,64374,3297,3209,722,18742,3253,502,0,502
JaCoCo Ant Example,randoop,RandoopTest6,9288,78349,4080,3782,672,22681,3931,502,0,502
JaCoCo Ant Example,randoop,RandoopTest5,8582,70674,3694,3476,573,20560,3585,502,0,502
JaCoCo Ant Example,randoop,RandoopTest8,8181,76327,3884,3730,430,22104,3807,502,0,502
JaCoCo Ant Example,randoop,RandoopTest7,8591,77885,4002,3778,530,22589,3890,502,0,502
JaCoCo Ant Example,randoop,RandoopTest2,8629,72798,3734,3522,585,21159,3628,502,0,502
JaCoCo Ant Example,randoop,RandoopTest1,8325,70212,3635,3449,591,20369,3542,502,0,502
JaCoCo Ant Example,randoop,RandoopTest4,8498,74116,3913,3697,517,21373,3805,502,0,502
JaCoCo Ant Example,randoop,RandoopTest3,8755,79315,4049,3815,552,22963,3932,502,0,502
JaCoCo Ant Example,bierse,Bierse,45,3,0,0,11,1,1,1,1,1
JaCoCo Ant Example,bierse.controller,DefaultMenuController,48,0,4,0,14,0,6,0,4,0
JaCoCo Ant Example,bierse.controller,DrinkSellController,111,0,8,0,21,0,8,0,4,0
JaCoCo Ant Example,bierse.controller,TriggerThread,53,0,4,0,16,0,4,0,2,0
JaCoCo Ant Example,bierse.controller,DefaultTableModelController,51,0,6,0,13,0,5,0,2,0
JaCoCo Ant Example,bierse.controller,DefaultSettingsController,239,0,26,0,53,0,16,0,3,0
