GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,com.google.earth.kml._2,PlacemarkType,0,31,0,0,0,13,0,9,0,9
JaCoCo Ant Example,com.google.earth.kml._2,ResponseType,0,28,0,2,0,10,0,7,0,6
JaCoCo Ant Example,com.google.earth.kml._2,PointType,4,27,0,0,2,11,1,8,1,8
JaCoCo Ant Example,com.google.earth.kml._2,ObjectFactory,0,66,0,0,0,13,0,10,0,10
JaCoCo Ant Example,com.google.earth.kml._2,KmlType,0,10,0,0,0,4,0,3,0,3
JaCoCo Ant Example,com.google.earth.kml._2,StatusType,0,17,0,0,0,7,0,5,0,5
JaCoCo Ant Example,com.google.earth.kml._2,AltitudeModeType,10,75,1,3,2,10,3,5,2,4
JaCoCo Ant Example,geo.google.mapping,FunctionChain,30,91,4,6,4,28,4,11,0,10
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctor.new Object() {...},26,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,geo.google.mapping,XmlToAddressFunctor,61,69,9,3,13,17,5,6,0,5
JaCoCo Ant Example,geo.google.mapping,MappingUtils,43,51,3,5,5,9,4,2,1,1
JaCoCo Ant Example,geo.google.mapping,XSLTMappingFunctor,54,0,0,0,18,0,4,0,4,0
JaCoCo Ant Example,geo.google.mapping,XmlToUsAddressFunctor,29,19,2,0,6,7,1,4,0,4
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctor,35,37,6,2,9,13,5,4,0,4
JaCoCo Ant Example,geo.google.mapping,AddressToUsAddressFunctor,112,38,23,5,26,12,14,4,1,3
JaCoCo Ant Example,randoop,RandoopTest0,3618,23906,613,613,207,8374,613,502,0,502
JaCoCo Ant Example,randoop,RandoopTest6,3631,38937,658,656,141,13223,657,502,0,502
JaCoCo Ant Example,randoop,RandoopTest5,3850,39172,701,695,218,13218,698,502,0,502
JaCoCo Ant Example,randoop,RandoopTest8,4081,43968,817,795,151,14572,806,502,0,502
JaCoCo Ant Example,randoop,RandoopTest7,3473,43380,736,736,56,14588,736,502,0,502
JaCoCo Ant Example,randoop,RandoopTest2,3446,34514,690,690,85,11521,690,502,0,502
JaCoCo Ant Example,randoop,RandoopTest1,3856,30232,695,693,201,10124,694,502,0,502
JaCoCo Ant Example,randoop,RandoopTest4,3877,37704,708,690,167,12541,699,502,0,502
JaCoCo Ant Example,randoop,RandoopTest3,3780,34732,605,603,177,11872,604,502,0,502
JaCoCo Ant Example,randoop,RandoopTest9,3782,43353,706,700,165,14564,703,502,0,502
JaCoCo Ant Example,randoop,RandoopTest18,4224,43235,724,708,270,14522,716,502,0,502
JaCoCo Ant Example,randoop,RandoopTest19,1103,12910,221,221,49,4190,221,143,0,143
JaCoCo Ant Example,randoop,RandoopTest16,4504,43094,694,656,340,14791,675,502,0,502
JaCoCo Ant Example,randoop,RandoopTest17,3832,45405,718,718,139,15237,718,502,0,502
JaCoCo Ant Example,randoop,RandoopTest14,4102,46075,783,763,223,15550,773,502,0,502
JaCoCo Ant Example,randoop,RandoopTest15,4331,44459,779,743,293,14892,761,502,0,502
JaCoCo Ant Example,randoop,RandoopTest12,4083,43535,760,736,200,14356,748,502,0,502
JaCoCo Ant Example,randoop,RandoopTest13,4117,41809,686,670,236,14280,678,502,0,502
JaCoCo Ant Example,randoop,RandoopTest10,4029,43604,789,761,180,14617,775,502,0,502
JaCoCo Ant Example,randoop,RandoopTest11,4046,41647,750,708,146,14025,729,502,0,502
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfarePreDirectionType,0,32,0,0,0,12,0,8,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,SubPremiseType.SubPremiseNumber,0,60,0,0,0,24,0,16,0,16
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.KeyLineCode,0,32,0,0,0,12,0,8,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostTown,0,47,0,4,0,16,0,10,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostalCodeNumberExtension,0,39,0,0,0,15,0,10,0,10
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressLinesType,0,33,0,4,0,9,0,6,0,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.AddressLatitude,0,32,0,0,0,12,0,8,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PremiseNumberSuffix,0,39,0,0,0,15,0,10,0,10
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements,0,107,0,6,0,40,0,26,0,23
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea,0,93,0,6,0,34,0,22,0,19
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea.AdministrativeAreaName,0,32,0,0,0,12,0,8,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostTown.PostTownName,0,32,0,0,0,12,0,8,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Department,0,65,0,6,0,22,0,14,0,11
