GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,client.gui.components,MyPanel,413,49,16,0,71,14,15,3,7,3
JaCoCo Ant Example,client.gui.components,MyButton,302,10,8,0,58,2,13,1,9,1
JaCoCo Ant Example,client.gui.components,MyTextField,131,48,4,0,24,10,3,3,1,3
JaCoCo Ant Example,db,UserTest,34,3,2,0,9,1,2,1,1,1
JaCoCo Ant Example,db,DBServiceFactory,11,3,2,0,5,1,3,1,2,1
JaCoCo Ant Example,db,DBEntityManagerFactory,11,10,3,1,6,3,4,2,2,2
JaCoCo Ant Example,db,HighscoreTest,32,0,2,0,12,0,3,0,2,0
JaCoCo Ant Example,db,DBException,4,12,0,0,2,6,1,3,1,3
JaCoCo Ant Example,db,BombermanDBService,606,5,58,0,157,2,35,2,6,2
JaCoCo Ant Example,db,Top10Highscore,61,0,2,0,20,0,5,0,4,0
JaCoCo Ant Example,db,DBGameUser,14,25,0,0,6,6,4,4,4,4
JaCoCo Ant Example,client.gui,CreateGameDialog,496,0,24,0,113,0,22,0,10,0
JaCoCo Ant Example,client.gui,GlobalLobby,588,0,26,0,131,0,26,0,13,0
JaCoCo Ant Example,client.gui,Cash,0,19,0,0,0,5,0,1,0,1
JaCoCo Ant Example,client.gui,SplashFrame,58,0,0,0,13,0,1,0,1,0
JaCoCo Ant Example,client.gui,Game,71,0,2,0,21,0,5,0,4,0
JaCoCo Ant Example,client.gui,ImageCache,37,0,0,0,14,0,7,0,7,0
JaCoCo Ant Example,client.gui,GlobalHighscoreLobby,743,0,17,0,121,0,22,0,9,0
JaCoCo Ant Example,client.gui,LoginDialog,1122,0,58,0,225,0,48,0,19,0
JaCoCo Ant Example,client.gui,SessionLobby,284,4,10,0,63,1,14,1,9,1
JaCoCo Ant Example,client.gui,ServerSelectionDialog,300,0,14,0,66,0,15,0,8,0
JaCoCo Ant Example,client.gui,StartFrame,696,8,16,0,192,3,48,1,40,1
JaCoCo Ant Example,client.gui,HighscoreLobby,449,0,22,0,105,0,26,0,15,0
JaCoCo Ant Example,client.gui,SplashThread,52,0,2,0,17,0,4,0,3,0
JaCoCo Ant Example,client.gui,Chat,321,0,14,0,76,0,25,0,18,0
JaCoCo Ant Example,client.gui,StartFrame.ActionListenerChangePanel,47,0,4,0,9,0,4,0,2,0
JaCoCo Ant Example,client.gui,Config,12,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,client,GameWindow.new KeyListener() {...},18,6,0,0,6,1,3,1,3,1
JaCoCo Ant Example,client,ClientPlayer,211,23,16,0,54,8,19,1,11,1
JaCoCo Ant Example,client,GameWindow,8,36,0,0,3,11,2,2,2,2
JaCoCo Ant Example,client,TestDriver,9,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,client,ClientGameSession,320,0,12,0,80,0,25,0,19,0
JaCoCo Ant Example,client,BomberClient,363,0,4,0,107,0,36,0,34,0
JaCoCo Ant Example,client,ClientGameLoop,36,0,0,0,15,0,7,0,7,0
JaCoCo Ant Example,client,ClientGameRound,343,0,12,0,93,0,27,0,21,0
JaCoCo Ant Example,client,ClientBomb,38,9,0,0,7,3,3,2,3,2
JaCoCo Ant Example,client,ClientProperties,123,0,12,0,35,0,12,0,6,0
JaCoCo Ant Example,common,GameObject,27,22,0,0,12,9,7,4,7,4
JaCoCo Ant Example,common,ResourceService,21,18,1,1,8,3,4,1,3,1
JaCoCo Ant Example,common,Map,396,0,16,0,82,0,34,0,26,0
JaCoCo Ant Example,common,Map.new Iterator() {...},75,0,4,0,12,0,6,0,4,0
JaCoCo Ant Example,common,MapFilesLister,233,0,18,0,38,0,14,0,5,0
JaCoCo Ant Example,common,GameModel,238,0,18,0,48,0,19,0,10,0
JaCoCo Ant Example,common,XmlFunctions,154,0,2,0,50,0,9,0,8,0
JaCoCo Ant Example,common,Constants,14,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,common,Map.PowerUpIterator,11,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,common,Bomb,112,56,4,0,27,15,15,5,13,5
JaCoCo Ant Example,common,MapPreview,324,0,12,0,64,0,14,0,8,0
JaCoCo Ant Example,common,PowerUp,71,0,8,0,23,0,14,0,10,0
JaCoCo Ant Example,common,GameLoop,139,0,14,0,47,0,13,0,6,0
JaCoCo Ant Example,common,Player,173,27,21,1,39,9,22,4,11,4
JaCoCo Ant Example,common,MapReader,460,0,44,0,79,0,31,0,9,0
JaCoCo Ant Example,common,GameSession,135,0,10,0,27,0,15,0,10,0
JaCoCo Ant Example,common,Tile,95,0,2,0,34,0,19,0,18,0
JaCoCo Ant Example,common,GameRound,33,0,0,0,9,0,6,0,6,0
JaCoCo Ant Example,common,Actor,341,54,40,0,78,16,36,6,16,6
JaCoCo Ant Example,randoop,RandoopTest0,1074,3740,151,147,111,1126,149,104,0,104
JaCoCo Ant Example,client.network,GeneralMsgProcessor,4,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,client.network,ClientMsgSender,5,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,client.network,ClientMsgReceiver,111,0,12,0,37,0,12,0,6,0
JaCoCo Ant Example,client.network,ForwardingObserver,132,0,12,0,29,0,8,0,2,0
JaCoCo Ant Example,messages.session,SessionStateMsg,22,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,messages.session,InitializeRoundMsg,16,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,messages.session,SessionScoreMsg,16,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,messages.session,PlayerLeftMsg,6,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,messages.session,SessionChatMsg,15,14,0,0,5,6,2,2,2,2
JaCoCo Ant Example,messages.session,SessionParticipationMsg,40,0,4,0,13,0,5,0,3,0
JaCoCo Ant Example,messages.session,PlayerInfo,21,0,0,0,8,0,4,0,4,0
JaCoCo Ant Example,logging,Logging,63,19,9,1,25,10,9,3,2,3
JaCoCo Ant Example,common.network,MsgReceiver,67,0,6,0,24,0,6,0,3,0
JaCoCo Ant Example,common.network,MsgSender,59,0,2,0,21,0,5,0,4,0
JaCoCo Ant Example,messages.round,MagicKillMsg,17,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,messages.round,RoundTimeOneSecondLeftMsg,51,10,2,0,8,4,2,2,1,2
JaCoCo Ant Example,messages.round,RoundStateMsg,34,0,3,0,12,0,4,0,2,0
JaCoCo Ant Example,messages.round,PowerUpHitMsg,76,21,12,0,24,9,10,2,4,2
JaCoCo Ant Example,messages.round,PlayerStateMsg,59,38,8,0,13,6,8,2,4,2
JaCoCo Ant Example,messages.round,CountdownMsg,11,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,messages.round,NewBombMsg,129,0,0,0,27,0,4,0,4,0
JaCoCo Ant Example,messages.round,RoundTimeOverMsg,13,0,0,0,5,0,3,0,3,0
JaCoCo Ant Example,messages.round,ClientQuitRunningSessionMsg,27,0,0,0,9,0,2,0,2,0
JaCoCo Ant Example,messages.round,BombExplodedMsg,176,0,18,0,44,0,13,0,4,0
