GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,ui,UIResources,21,0,0,0,9,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.util,XmlIO,524,52,28,0,121,12,30,3,16,3
JaCoCo Ant Example,com.allenstudio.ir.util,InspirentoUtilities,70,72,7,5,12,16,7,4,2,3
JaCoCo Ant Example,com.allenstudio.ir.util,XmlElement,483,154,64,6,111,45,55,16,22,14
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,CommonNote,21,13,3,1,6,6,6,3,4,3
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,AbstractNote,10,6,0,0,4,2,3,1,3,1
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,CommonNoteModel,19,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManager,170,0,6,0,47,0,10,0,7,0
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManager.EH,9,0,0,0,4,0,4,0,4,0
JaCoCo Ant Example,com.allenstudio.ir.core,ConfigurationManager,310,0,12,0,67,0,16,0,10,0
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManager.Resolver,13,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.core,ConfigurationManager.new Thread() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,randoop,RandoopTest0,46895,402,3795,25,13310,123,2396,16,486,16
JaCoCo Ant Example,randoop,RandoopTest2,46728,8,3501,1,13276,3,2089,3,338,3
JaCoCo Ant Example,randoop,RandoopTest1,63415,10,4768,2,17879,4,2883,4,498,4
JaCoCo Ant Example,com.allenstudio.ir.ui.action,ActionsManager,20,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.event,NoteListDataEvent,13,0,0,0,5,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.event,NoteListEvent,10,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.event,DateChooserEvent,16,0,0,0,6,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,MonthlyCalendar,1264,0,120,0,256,0,111,0,51,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser,280,0,6,0,68,0,15,0,12,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new MonthlyCalendar() {...},32,0,2,0,6,0,3,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new ChangeListener() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new Runnable() {...},35,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new DateChooserListener() {...},54,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,MonthlyCalendarModel,17,23,3,1,6,7,4,3,2,3
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteOperationsPane,268,0,0,0,39,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.ui,DatePickerPane,87,0,0,0,24,0,5,0,5,0
JaCoCo Ant Example,com.allenstudio.ir.ui,MainMenu,321,0,26,0,54,0,17,0,4,0
JaCoCo Ant Example,com.allenstudio.ir.ui,Toolbar,88,0,6,0,20,0,5,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui,StatusBar,5,29,0,0,2,9,1,2,1,2
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteList.new NoteListEventListener() {...},27,0,0,0,10,0,6,0,6,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListCell,292,43,4,0,68,10,12,2,10,2
JaCoCo Ant Example,com.allenstudio.ir.ui,UIResources,18,2,0,0,8,1,2,1,2,1
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteList,289,0,26,0,74,0,31,0,18,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListCell.new MouseListener() {...},89,0,12,0,21,0,12,0,6,0
JaCoCo Ant Example,com.allenstudio.ir.ui,MainFrame,219,0,0,0,59,0,9,0,9,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListCell.new MouseListener() {...},77,0,12,0,19,0,12,0,6,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListsTabPane,108,0,2,0,29,0,7,0,6,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListCell.new ActionListener() {...},14,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui,MainFrame.new WindowListener() {...},59,0,0,0,13,0,8,0,8,0
JaCoCo Ant Example,com.allenstudio.ir.ui,DefaultNoteListModel,235,0,2,0,60,0,32,0,31,0
