GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.databene.jdbacl.model.sql,CreateExporter,130,6,8,0,33,3,9,1,5,1
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,AbstractTableMapper,117,0,6,0,30,0,9,0,6,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,MemKeyMapper,182,0,16,0,36,0,18,0,10,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,MapperState,5,53,0,0,0,5,1,3,1,3
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,SourceTableMapper,35,0,2,0,9,0,4,0,3,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,GlobalRowId,54,57,11,5,5,11,9,4,1,4
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,SourceDatabaseMapper,73,0,2,0,17,0,6,0,5,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,TargetDatabaseMapper,86,0,2,0,18,0,7,0,6,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,TargetTableMapper,32,0,0,0,7,0,3,0,3,0
JaCoCo Ant Example,randoop,RandoopTest0,6747,41012,1120,1098,992,8987,1109,502,0,502
JaCoCo Ant Example,randoop,RandoopTest6,6978,69109,1716,1690,720,15337,1703,501,0,501
JaCoCo Ant Example,randoop,RandoopTest5,6195,77479,1694,1686,523,16434,1690,501,0,501
JaCoCo Ant Example,randoop,RandoopTest8,6632,72766,1755,1703,564,15500,1729,500,0,500
JaCoCo Ant Example,randoop,RandoopTest7,6055,68244,1720,1702,460,15047,1711,496,0,496
JaCoCo Ant Example,randoop,RandoopTest2,7197,67553,1669,1615,841,14581,1642,500,0,500
JaCoCo Ant Example,randoop,RandoopTest1,6563,65136,1507,1473,778,14063,1490,502,0,502
JaCoCo Ant Example,randoop,RandoopTest4,8374,67283,1678,1626,968,14801,1652,498,0,498
JaCoCo Ant Example,randoop,RandoopTest3,7624,60533,1520,1478,848,12995,1499,496,0,496
JaCoCo Ant Example,randoop,RandoopTest9,6703,73562,1740,1708,610,16118,1724,496,0,496
JaCoCo Ant Example,randoop,RandoopTest10,5016,43990,1103,1063,548,9581,1083,310,0,310
JaCoCo Ant Example,org.databene.jdbacl.model.cache,CachingDBImporter,79,68,4,2,16,16,5,6,2,6
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,DBIndexInfo,114,0,8,0,21,0,7,0,3,0
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,ImportedKey,308,0,12,0,40,0,14,0,8,0
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,JDBCDBImporter.TableNameFilter,32,6,10,0,3,1,6,1,1,1
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,JDBCDBImporter,2282,193,270,6,440,58,168,23,29,22
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,LazyTable,227,48,8,4,53,17,44,8,38,8
JaCoCo Ant Example,org.databene.jdbacl.dialect,SqlServerDialect,4,110,5,7,0,19,5,9,0,8
JaCoCo Ant Example,org.databene.jdbacl.dialect,Firebird2_5Dialect,0,24,0,2,0,3,0,4,0,3
JaCoCo Ant Example,org.databene.jdbacl.dialect,MySQLDialect,0,41,0,2,0,10,0,10,0,9
JaCoCo Ant Example,org.databene.jdbacl.dialect,H2Util,45,14,0,0,9,3,2,2,2,2
JaCoCo Ant Example,org.databene.jdbacl.dialect,HSQLUtil,60,16,0,0,13,4,2,3,2,3
JaCoCo Ant Example,org.databene.jdbacl.dialect,H2Dialect,73,122,7,7,15,18,8,14,2,13
JaCoCo Ant Example,org.databene.jdbacl.dialect,FirebirdDialect,67,145,7,7,13,23,9,15,3,14
JaCoCo Ant Example,org.databene.jdbacl.dialect,HSQL2Dialect,0,26,0,2,0,3,0,4,0,3
JaCoCo Ant Example,org.databene.jdbacl.dialect,PostgreSQLDialect,125,86,3,7,18,16,5,14,3,11
JaCoCo Ant Example,org.databene.jdbacl.dialect,OracleDialect,529,174,36,14,92,25,27,17,5,14
JaCoCo Ant Example,org.databene.jdbacl.dialect,HSQLDialect,95,99,7,5,19,15,9,10,3,10
JaCoCo Ant Example,org.databene.jdbacl.dialect,Derby10_6Dialect,130,55,5,1,22,7,6,5,3,5
JaCoCo Ant Example,org.databene.jdbacl.dialect,DB2Dialect,4,86,4,6,0,16,4,9,0,8
JaCoCo Ant Example,org.databene.jdbacl.dialect,UnknownDialect,0,20,0,0,0,8,0,7,0,7
JaCoCo Ant Example,org.databene.jdbacl.dialect,DerbyDialect,6,79,6,6,0,15,6,8,0,8
JaCoCo Ant Example,org.databene.jdbacl.sql,SQLParserUtil,841,241,89,17,157,55,103,22,39,16
JaCoCo Ant Example,org.databene.jdbacl.sql,ColumnExpression,3,31,1,1,0,6,1,4,0,4
JaCoCo Ant Example,org.databene.jdbacl.sql,BetweenExpression,0,34,0,0,0,3,0,2,0,2
JaCoCo Ant Example,org.databene.jdbacl.sql,FunctionInvocation,0,12,0,0,0,5,0,3,0,3
JaCoCo Ant Example,org.databene.jdbacl.model,TableContainerSupport,0,150,0,8,0,33,0,17,0,13
JaCoCo Ant Example,org.databene.jdbacl.model,FKChangeRule,0,58,0,0,0,2,0,4,0,4
JaCoCo Ant Example,org.databene.jdbacl.model,DBProcedure,27,42,9,3,3,15,6,8,0,8
JaCoCo Ant Example,org.databene.jdbacl.model,AbstractDBObject,9,84,5,9,3,22,6,13,1,11
JaCoCo Ant Example,org.databene.jdbacl.model,DBForeignKeyConstraint,36,170,14,14,8,32,14,15,2,13
JaCoCo Ant Example,org.databene.jdbacl.model,DBNonUniqueIndex,29,32,9,3,3,10,6,5,0,5
JaCoCo Ant Example,org.databene.jdbacl.model,DefaultDatabase,367,0,32,0,83,0,50,0,34,0
JaCoCo Ant Example,org.databene.jdbacl.model,AbstractDBTableComponent,0,20,0,0,0,7,0,4,0,4
JaCoCo Ant Example,org.databene.jdbacl.model,DBPackage,32,91,12,6,3,30,9,16,1,15
JaCoCo Ant Example,org.databene.jdbacl.model,DBPrimaryKeyConstraint,0,14,0,0,0,4,0,2,0,2
JaCoCo Ant Example,org.databene.jdbacl.model,DBRowIterator,157,0,10,0,35,0,11,0,6,0
JaCoCo Ant Example,org.databene.jdbacl.model,DBDataType,67,754,17,21,14,30,20,14,4,11
JaCoCo Ant Example,org.databene.jdbacl.model,DefaultDBTable,263,421,25,25,40,97,27,45,10,37
JaCoCo Ant Example,org.databene.jdbacl.model,DBCheckConstraint,23,145,10,12,3,24,8,13,0,10
JaCoCo Ant Example,org.databene.jdbacl.model,AbstractCompositeDBObject,45,25,9,3,12,7,6,3,0,3
JaCoCo Ant Example,org.databene.jdbacl.model,DBNotNullConstraint,47,25,13,1,7,7,9,1,2,1
