GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,br.com.jnfe.base.util,SecurityUtils,128,76,6,2,31,18,8,7,5,6
JaCoCo Ant Example,randoop,RandoopTest16,4750,36653,943,943,621,9624,943,502,0,502
JaCoCo Ant Example,randoop,RandoopTest17,4734,40256,967,967,591,10542,967,502,0,502
JaCoCo Ant Example,randoop,RandoopTest14,4909,36521,975,975,678,9678,975,502,0,502
JaCoCo Ant Example,randoop,RandoopTest15,4972,38853,999,999,693,10184,999,502,0,502
JaCoCo Ant Example,randoop,RandoopTest12,5124,32579,895,895,813,8632,895,502,0,502
JaCoCo Ant Example,randoop,RandoopTest13,4977,35479,926,926,729,9397,926,502,0,502
JaCoCo Ant Example,randoop,RandoopTest10,5016,34183,846,846,792,9143,846,502,0,502
JaCoCo Ant Example,randoop,RandoopTest11,4980,32860,881,881,765,8648,881,502,0,502
JaCoCo Ant Example,randoop,RandoopTest0,5832,6897,534,534,1350,2793,534,502,0,502
JaCoCo Ant Example,randoop,RandoopTest6,5356,33387,739,739,999,9489,739,502,0,502
JaCoCo Ant Example,randoop,RandoopTest5,5385,29732,756,756,1011,8587,756,502,0,502
JaCoCo Ant Example,randoop,RandoopTest8,5081,32156,839,839,831,8743,839,502,0,502
JaCoCo Ant Example,randoop,RandoopTest7,5237,31961,767,767,924,8983,767,502,0,502
JaCoCo Ant Example,randoop,RandoopTest2,5786,17712,571,571,1296,5645,571,502,0,502
JaCoCo Ant Example,randoop,RandoopTest1,5961,19832,566,566,1374,6363,566,502,0,502
JaCoCo Ant Example,randoop,RandoopTest4,5525,27356,734,734,1086,7985,734,502,0,502
JaCoCo Ant Example,randoop,RandoopTest3,5685,26416,685,685,1179,7822,685,502,0,502
JaCoCo Ant Example,randoop,RandoopTest9,5194,32923,822,822,885,9082,822,502,0,502
JaCoCo Ant Example,randoop,RandoopTest20,4717,40804,1009,1009,561,10393,1009,502,0,502
JaCoCo Ant Example,randoop,RandoopTest22,4620,40559,1017,1017,528,10522,1017,502,0,502
JaCoCo Ant Example,randoop,RandoopTest21,4691,40730,993,993,564,10512,993,502,0,502
JaCoCo Ant Example,randoop,RandoopTest24,4602,37737,960,960,540,9670,960,502,0,502
JaCoCo Ant Example,randoop,RandoopTest23,4735,36529,1010,1010,582,9260,1010,502,0,502
JaCoCo Ant Example,randoop,RandoopTest26,4745,43838,1187,1187,501,10788,1187,502,0,502
JaCoCo Ant Example,randoop,RandoopTest25,4734,45111,1116,1116,525,11362,1116,502,0,502
JaCoCo Ant Example,randoop,RandoopTest28,4744,40159,1048,1048,564,10135,1048,502,0,502
JaCoCo Ant Example,randoop,RandoopTest27,4708,43746,1123,1123,510,10836,1123,502,0,502
JaCoCo Ant Example,randoop,RandoopTest18,4817,38969,967,967,642,10249,967,502,0,502
JaCoCo Ant Example,randoop,RandoopTest19,4814,40337,960,960,633,10366,960,502,0,502
JaCoCo Ant Example,randoop,RandoopTest31,4610,41578,1096,1096,483,10248,1096,502,0,502
JaCoCo Ant Example,randoop,RandoopTest30,4572,43090,1056,1056,477,10729,1056,502,0,502
JaCoCo Ant Example,randoop,RandoopTest35,4562,47725,1197,1197,408,11687,1197,502,0,502
JaCoCo Ant Example,randoop,RandoopTest34,4728,44321,1176,1176,492,10933,1176,502,0,502
JaCoCo Ant Example,randoop,RandoopTest33,4471,42279,1085,1085,420,10405,1085,502,0,502
JaCoCo Ant Example,randoop,RandoopTest32,4525,40804,1047,1047,465,9926,1047,502,0,502
JaCoCo Ant Example,randoop,RandoopTest38,844,8841,245,245,63,2031,245,96,0,96
JaCoCo Ant Example,randoop,RandoopTest37,4583,45551,1149,1149,438,11704,1149,502,0,502
JaCoCo Ant Example,randoop,RandoopTest36,4530,46260,1127,1127,423,11470,1127,502,0,502
JaCoCo Ant Example,randoop,RandoopTest29,4572,41371,1092,1092,465,10158,1092,502,0,502
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdapter,0,5,0,0,0,2,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdaptadorBean,231,0,16,0,55,0,27,0,19,0
JaCoCo Ant Example,br.com.jnfe.base.pl005d,RequestAdapterImpl,99,27,2,0,28,3,2,3,1,3
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSigantureFactoryBean,0,84,0,4,0,25,0,12,0,10
JaCoCo Ant Example,br.com.jnfe.base.service,LoggingFaultMessageResolver,39,7,0,0,11,2,1,2,1,2
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeFileReader,72,7,0,0,18,3,3,2,3,2
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureBuilder,245,14,12,0,53,6,14,4,8,4
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureHandler,60,15,6,0,12,6,4,4,1,4
JaCoCo Ant Example,br.com.jnfe.base.service,Pkcs12SecurityHandlerBean,110,59,3,7,27,19,6,10,4,7
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureHandler.new SecurityCallBack() {...},15,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeKeyInfoBuilder,23,7,0,0,7,2,2,2,2,2
JaCoCo Ant Example,br.com.jnfe.base.service,SimpleSecurityHandlerBean,130,45,6,4,26,18,4,8,1,6
JaCoCo Ant Example,br.com.jnfe.base.service,AbstractSecurityHandlerBean,11,10,0,0,5,3,3,3,3,3
JaCoCo Ant Example,br.com.jnfe.base.service,NFeCalculatorImpl,166,7,14,0,44,2,15,2,8,2
JaCoCo Ant Example,br.com.jnfe.base.adapter.dom,AbstractNFeDOMAdapter,30,3,0,0,8,1,3,1,3,1
JaCoCo Ant Example,br.com.jnfe.base.pl006,RequestAdapterImpl,90,17,2,0,25,3,2,3,1,3
JaCoCo Ant Example,br.com.jnfe.base,TpImp,8,38,0,0,1,6,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,TpObsNFe,8,38,0,0,1,6,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,TpNF,8,38,0,0,1,6,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,Orig,14,61,0,0,3,9,4,3,4,3
