GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.jsecurity.web.session,WebSession,229,0,12,0,67,0,22,0,16,0
JaCoCo Ant Example,org.jsecurity.web.session,ServletContainerSessionManager,46,0,2,0,14,0,6,0,5,0
JaCoCo Ant Example,org.jsecurity.web.session,DefaultWebSessionManager,391,0,38,0,108,0,43,0,24,0
JaCoCo Ant Example,org.jsecurity.spring,SpringJSecurityFilter,7,0,0,0,3,0,1,0,1,0
JaCoCo Ant Example,org.jsecurity.spring,SpringIniWebConfiguration,220,0,32,0,54,0,26,0,10,0
JaCoCo Ant Example,org.jsecurity.spring,LifecycleBeanPostProcessor,88,0,8,0,19,0,9,0,5,0
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},6,9,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},8,12,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},8,12,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},24,9,2,0,4,1,2,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate,129,91,11,5,25,20,11,9,3,9
JaCoCo Ant Example,org.jsecurity.jndi,JndiLocator,90,54,12,4,13,18,10,9,2,9
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor.new MethodInvocation() {...},34,0,0,0,5,0,5,0,5,0
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor,26,0,0,0,7,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AuthorizationAttributeSourceAdvisor,68,0,14,0,14,0,13,0,6,0
JaCoCo Ant Example,org.jsecurity.io,TextResource,107,68,7,3,32,20,10,8,5,8
JaCoCo Ant Example,org.jsecurity.io,AbstractResource,35,39,2,0,15,8,4,3,3,3
JaCoCo Ant Example,org.jsecurity.io,SerializationException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.io,ResourceException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.io,IniResource,129,85,16,8,31,22,17,7,5,7
JaCoCo Ant Example,org.jsecurity.io,ResourceUtils,87,103,19,11,20,22,16,9,2,8
JaCoCo Ant Example,org.jsecurity.io,XmlSerializer,12,47,2,2,3,13,2,3,0,3
JaCoCo Ant Example,org.jsecurity.io,DefaultSerializer,26,76,2,2,8,17,2,3,0,3
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationExecutor,136,0,10,0,36,0,12,0,7,0
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationFactory,35,0,2,0,8,0,4,0,3,0
JaCoCo Ant Example,org.jsecurity.authz,AuthorizationException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.authz,UnauthorizedException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.authz,UnauthenticatedException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.authz,SimpleAuthorizationInfo,0,114,0,12,0,38,0,20,0,14
JaCoCo Ant Example,org.jsecurity.authz,ModularRealmAuthorizer,265,161,55,27,49,50,38,24,4,17
JaCoCo Ant Example,org.jsecurity.authz,SimpleRole,23,127,8,18,4,40,6,20,0,13
JaCoCo Ant Example,org.jsecurity.authz,HostUnauthorizedException,0,37,0,0,0,13,0,7,0,7
JaCoCo Ant Example,org.jsecurity.authz,SimpleAuthorizingAccount,97,470,42,70,25,124,34,53,1,30
JaCoCo Ant Example,org.jsecurity.web.filter.authc,AnonymousFilter,5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.jsecurity.web.filter.authc,BasicHttpAuthenticationFilter,207,0,26,0,52,0,29,0,16,0
JaCoCo Ant Example,org.jsecurity.web.filter.authc,UserFilter,28,0,4,0,7,0,5,0,3,0
JaCoCo Ant Example,org.jsecurity.web.filter.authc,PassThruAuthenticationFilter,16,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.jsecurity.web.filter.authc,AuthenticatingFilter,72,0,2,0,18,0,9,0,8,0
JaCoCo Ant Example,org.jsecurity.web.filter.authc,AuthenticationFilter,59,0,8,0,19,0,9,0,5,0
JaCoCo Ant Example,org.jsecurity.web.filter.authc,FormAuthenticationFilter,180,0,16,0,50,0,28,0,20,0
