GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,nu.staldal.xmlutil,XMLReaderImpl,58,0,0,0,19,0,14,0,14,0
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerFixer,30,449,19,59,3,99,15,39,0,15
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerAdapter,93,127,12,4,15,31,8,9,0,9
JaCoCo Ant Example,nu.staldal.xmlutil,DocumentHandlerAdapter,143,205,28,22,21,53,20,17,0,12
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerSnooper,200,0,4,0,36,0,14,0,12,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorage.FTPOutputHandler,31,0,0,0,12,0,3,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorage,116,97,18,6,25,27,12,8,1,7
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorage,86,7,0,0,23,4,4,3,4,3
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorage,360,7,36,0,49,4,23,3,5,3
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorage.LocalOutputHandler,30,7,4,0,7,3,4,1,2,1
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorage.SSHOutputHandler,74,0,0,0,18,0,3,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.util,LagoonUtil,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,nu.staldal.lagoon.util,Wildcard,53,45,8,8,7,12,7,5,1,3
JaCoCo Ant Example,nu.staldal.lagoon.util,TemplateProcessor,195,3,44,0,57,1,24,1,2,1
JaCoCo Ant Example,nu.staldal.lagoon.util,TemplateException,0,25,0,0,0,9,0,4,0,4
JaCoCo Ant Example,randoop,RandoopTest0,6126,19722,790,784,1178,5712,787,502,0,502
