GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sf.lavalamp.properties,Off,0,40,0,0,0,10,0,6,0,6
JaCoCo Ant Example,net.sf.lavalamp.properties,MissingPropertyException,0,9,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.application,UniversalRunner,52,3,2,0,13,1,3,1,2,1
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesLoader,14,3,0,0,4,1,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.application,WebRun,209,16,6,0,37,4,8,2,5,2
JaCoCo Ant Example,net.sf.lavalamp.application,BuildStatusServlet,77,6,2,0,18,3,2,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.application,DefaultApplication,5,11,0,0,2,5,1,3,1,3
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationProperties,12,71,2,0,2,17,1,11,0,11
JaCoCo Ant Example,net.sf.lavalamp.application,AlwaysOff,37,0,0,0,13,0,2,0,2,0
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRestApi,45,25,2,2,6,7,3,3,1,3
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Hudson,10,66,2,2,2,8,2,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Bamboo3RestApi,0,35,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRemoteApi,84,54,3,3,13,8,6,6,4,5
JaCoCo Ant Example,net.sf.lavalamp.site,SiteProperties,0,47,0,0,0,12,0,8,0,8
JaCoCo Ant Example,net.sf.lavalamp.site,BuildChecker,40,8,0,0,10,2,2,1,2,1
JaCoCo Ant Example,net.sf.lavalamp.site,BuildProperties,0,41,0,2,0,11,0,8,0,7
JaCoCo Ant Example,net.sf.lavalamp.site,SiteFactory,20,3,0,0,5,1,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.site,Build,0,60,0,2,0,17,0,8,0,7
JaCoCo Ant Example,net.sf.lavalamp.site,Console,10,3,0,0,2,1,2,1,2,1
JaCoCo Ant Example,net.sf.lavalamp.site,AuthBuildSite,49,17,0,0,6,5,2,4,2,4
JaCoCo Ant Example,net.sf.lavalamp.site,Builds,13,88,1,7,2,18,1,8,0,5
JaCoCo Ant Example,net.sf.lavalamp.site,LoginRequiredException,0,7,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site,MissingBuildException,0,9,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site,AbstractGetter,4,3,0,0,2,1,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.site,AbstractBuildSite,0,31,0,0,0,9,0,6,0,6
JaCoCo Ant Example,net.sf.lavalamp.site,UrlGetter,128,75,10,4,21,13,9,5,3,4
JaCoCo Ant Example,net.sf.lavalamp.site,DummyRemoteGetter,2,11,1,1,1,4,1,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.site,DummyRestGetter,2,13,1,1,1,4,1,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.site,LoginFailedException,0,11,0,0,0,6,0,3,0,3
JaCoCo Ant Example,randoop,RandoopTest0,5038,66911,750,740,809,15093,745,502,0,502
JaCoCo Ant Example,randoop,RandoopTest2,3961,76043,897,887,310,16088,892,455,0,455
JaCoCo Ant Example,randoop,RandoopTest1,4425,82733,918,908,434,17923,913,502,0,502
JaCoCo Ant Example,net.sf.lavalamp.factories,DeviceBuildsFactory,66,3,4,0,15,1,4,1,2,1
JaCoCo Ant Example,net.sf.lavalamp.device.impl,TellStickJni,71,3,4,0,14,1,6,1,4,1
JaCoCo Ant Example,net.sf.lavalamp.device.impl,TellStick,81,17,0,0,17,4,6,3,6,3
JaCoCo Ant Example,net.sf.lavalamp.device,Actions,0,21,0,0,0,8,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.device,Period,119,21,21,1,16,6,14,2,3,2
JaCoCo Ant Example,net.sf.lavalamp.device,TurnOff,0,17,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,OnError,0,48,0,0,0,4,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.device,DeviceProperties,12,126,2,4,2,31,1,19,0,17
JaCoCo Ant Example,net.sf.lavalamp.device,AbstractDevice,15,142,2,4,3,34,3,12,1,11
JaCoCo Ant Example,net.sf.lavalamp.device,Blink,6,53,0,2,2,14,0,4,0,3
JaCoCo Ant Example,net.sf.lavalamp.device,StatusQuo,0,4,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,TimeOfDay,22,96,4,8,5,23,5,9,1,7
JaCoCo Ant Example,net.sf.lavalamp.device,DeviceController,114,37,7,1,23,9,8,4,4,4
JaCoCo Ant Example,net.sf.lavalamp.device,HtmlFormatter,67,20,3,1,17,6,5,2,3,2
JaCoCo Ant Example,net.sf.lavalamp.device,DummyDevice,0,17,0,0,0,3,0,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.device,Crash,0,8,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,TurnOn,0,17,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp,Pause,0,6,0,0,0,3,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp,LavaLogger,10,89,1,3,5,24,3,12,2,11
