GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,randoop,RandoopTest40,28517,6,1328,0,8297,2,1164,2,500,2
JaCoCo Ant Example,randoop,RandoopTest42,30625,6,1426,0,8728,2,1213,2,500,2
JaCoCo Ant Example,randoop,RandoopTest41,29707,6,1394,0,8281,2,1197,2,500,2
JaCoCo Ant Example,randoop,RandoopTest48,31256,6,1426,0,8641,2,1213,2,500,2
JaCoCo Ant Example,randoop,RandoopTest47,28606,6,1354,0,8082,2,1177,2,500,2
JaCoCo Ant Example,randoop,RandoopTest49,31068,6,1414,0,8571,2,1207,2,500,2
JaCoCo Ant Example,randoop,RandoopTest44,31246,6,1422,0,8746,2,1211,2,500,2
JaCoCo Ant Example,randoop,RandoopTest43,31273,6,1436,0,8567,2,1218,2,500,2
JaCoCo Ant Example,randoop,RandoopTest46,29075,6,1366,0,8158,2,1183,2,500,2
JaCoCo Ant Example,randoop,RandoopTest45,28988,6,1364,0,8172,2,1182,2,500,2
JaCoCo Ant Example,randoop,RandoopTest72,30616,6,1414,0,8651,2,1207,2,500,2
JaCoCo Ant Example,randoop,RandoopTest73,15208,6,676,0,4428,2,587,2,249,2
JaCoCo Ant Example,randoop,RandoopTest70,31633,6,1376,0,8653,2,1188,2,500,2
JaCoCo Ant Example,randoop,RandoopTest71,31999,6,1500,0,8955,2,1250,2,500,2
JaCoCo Ant Example,randoop,RandoopTest53,28050,6,1372,0,8171,2,1186,2,500,2
JaCoCo Ant Example,randoop,RandoopTest16,30040,6,1418,0,8391,2,1209,2,500,2
JaCoCo Ant Example,randoop,RandoopTest52,32197,6,1460,0,9144,2,1230,2,500,2
JaCoCo Ant Example,randoop,RandoopTest17,28197,6,1390,0,7894,2,1195,2,500,2
JaCoCo Ant Example,randoop,RandoopTest51,29962,6,1404,0,8252,2,1202,2,500,2
JaCoCo Ant Example,randoop,RandoopTest14,28209,6,1352,0,7994,2,1176,2,500,2
JaCoCo Ant Example,randoop,RandoopTest50,31408,6,1352,0,8657,2,1176,2,500,2
JaCoCo Ant Example,randoop,RandoopTest15,28372,6,1360,0,7748,2,1180,2,500,2
JaCoCo Ant Example,randoop,RandoopTest12,26588,6,1326,0,7474,2,1163,2,500,2
JaCoCo Ant Example,randoop,RandoopTest13,28262,6,1380,0,7914,2,1190,2,500,2
JaCoCo Ant Example,randoop,RandoopTest10,27319,6,1340,0,7801,2,1170,2,500,2
