Nr.   Classes Functions      NCSS  Javadocs Package
  1        13      6276    256990         0 randoop
    --------- --------- --------- ---------
           13      6276    256990         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     13.00   6276.00 256990.00      0.00 | Project
              13.00   6276.00 256990.00      0.00 | Package
                       482.77  19768.46      0.00 | Class
                                  40.95      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 21203       500       0        0 randoop.RandoopTest4
  2 20394       500       0        0 randoop.RandoopTest9
  3 18593       500       0        0 randoop.RandoopTest1
  4 21476       500       0        0 randoop.RandoopTest10
  5 20184       500       0        0 randoop.RandoopTest2
  6 22794       500       0        0 randoop.RandoopTest11
  7 19874       500       0        0 randoop.RandoopTest5
  8 12419       276       0        0 randoop.RandoopTest12
  9 21020       500       0        0 randoop.RandoopTest6
 10 22280       500       0        0 randoop.RandoopTest8
 11 20486       500       0        0 randoop.RandoopTest7
 12 20711       500       0        0 randoop.RandoopTest3
 13 15530       500       0        0 randoop.RandoopTest0
Average Object NCSS:             19,766.46
Average Object Functions:           482.77
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    256,990.00

 Nr. NCSS CCN JVDC Function
   1   45   2    0 randoop.RandoopTest4.test1()
   2   30   2    0 randoop.RandoopTest4.test2()
   3   28   2    0 randoop.RandoopTest4.test3()
   4   26   2    0 randoop.RandoopTest4.test4()
   5   77   2    0 randoop.RandoopTest4.test5()
   6   15   2    0 randoop.RandoopTest4.test6()
   7   14   2    0 randoop.RandoopTest4.test7()
   8   58   2    0 randoop.RandoopTest4.test8()
   9   88   2    0 randoop.RandoopTest4.test9()
  10   11   2    0 randoop.RandoopTest4.test10()
  11   97   2    0 randoop.RandoopTest4.test11()
  12    9   2    0 randoop.RandoopTest4.test12()
  13   63   2    0 randoop.RandoopTest4.test13()
  14   16   2    0 randoop.RandoopTest4.test14()
  15   19   2    0 randoop.RandoopTest4.test15()
  16   40   2    0 randoop.RandoopTest4.test16()
  17   93   2    0 randoop.RandoopTest4.test17()
  18   78   3    0 randoop.RandoopTest4.test18()
  19   12   2    0 randoop.RandoopTest4.test19()
  20   10   2    0 randoop.RandoopTest4.test20()
  21   41   2    0 randoop.RandoopTest4.test21()
  22   13   2    0 randoop.RandoopTest4.test22()
  23   85   2    0 randoop.RandoopTest4.test23()
  24   55   2    0 randoop.RandoopTest4.test24()
  25   47   2    0 randoop.RandoopTest4.test25()
  26   17   2    0 randoop.RandoopTest4.test26()
  27   74   2    0 randoop.RandoopTest4.test27()
  28   33   3    0 randoop.RandoopTest4.test28()
  29   26   3    0 randoop.RandoopTest4.test29()
  30   57   2    0 randoop.RandoopTest4.test30()
  31   88   2    0 randoop.RandoopTest4.test31()
  32   14   2    0 randoop.RandoopTest4.test32()
  33   79   2    0 randoop.RandoopTest4.test33()
  34   11   2    0 randoop.RandoopTest4.test34()
  35   19   2    0 randoop.RandoopTest4.test35()
  36   16   2    0 randoop.RandoopTest4.test36()
  37    7   2    0 randoop.RandoopTest4.test37()
  38   13   2    0 randoop.RandoopTest4.test38()
  39   76   2    0 randoop.RandoopTest4.test39()
  40   99   2    0 randoop.RandoopTest4.test40()
  41   19   2    0 randoop.RandoopTest4.test41()
  42   21   2    0 randoop.RandoopTest4.test42()
  43   20   2    0 randoop.RandoopTest4.test43()
  44   11   2    0 randoop.RandoopTest4.test44()
  45   14   2    0 randoop.RandoopTest4.test45()
  46   30   2    0 randoop.RandoopTest4.test46()
  47   84   3    0 randoop.RandoopTest4.test47()
  48   39   2    0 randoop.RandoopTest4.test48()
  49   20   2    0 randoop.RandoopTest4.test49()
  50   96   2    0 randoop.RandoopTest4.test50()
  51    9   2    0 randoop.RandoopTest4.test51()
  52   24   2    0 randoop.RandoopTest4.test52()
  53   59   2    0 randoop.RandoopTest4.test53()
  54   76   2    0 randoop.RandoopTest4.test54()
  55   33   2    0 randoop.RandoopTest4.test55()
  56   11   2    0 randoop.RandoopTest4.test56()
  57   12   2    0 randoop.RandoopTest4.test57()
  58   59   2    0 randoop.RandoopTest4.test58()
  59   19   2    0 randoop.RandoopTest4.test59()
  60   71   2    0 randoop.RandoopTest4.test60()
  61   18   2    0 randoop.RandoopTest4.test61()
  62   23   2    0 randoop.RandoopTest4.test62()
  63   16   2    0 randoop.RandoopTest4.test63()
  64   92   2    0 randoop.RandoopTest4.test64()
  65   15   2    0 randoop.RandoopTest4.test65()
  66   74   2    0 randoop.RandoopTest4.test66()
  67   50   2    0 randoop.RandoopTest4.test67()
  68   51   2    0 randoop.RandoopTest4.test68()
  69  108   2    0 randoop.RandoopTest4.test69()
  70   53   2    0 randoop.RandoopTest4.test70()
  71   20   2    0 randoop.RandoopTest4.test71()
  72   35   2    0 randoop.RandoopTest4.test72()
  73   75   2    0 randoop.RandoopTest4.test73()
  74   33   2    0 randoop.RandoopTest4.test74()
  75  119   2    0 randoop.RandoopTest4.test75()
  76   41   2    0 randoop.RandoopTest4.test76()
  77   28   2    0 randoop.RandoopTest4.test77()
  78   19   2    0 randoop.RandoopTest4.test78()
  79   97   2    0 randoop.RandoopTest4.test79()
  80   43   2    0 randoop.RandoopTest4.test80()
  81   29   3    0 randoop.RandoopTest4.test81()
  82   61   2    0 randoop.RandoopTest4.test82()
  83   18   2    0 randoop.RandoopTest4.test83()
  84   87   2    0 randoop.RandoopTest4.test84()
  85   10   2    0 randoop.RandoopTest4.test85()
  86   19   2    0 randoop.RandoopTest4.test86()
  87   33   2    0 randoop.RandoopTest4.test87()
  88   41   2    0 randoop.RandoopTest4.test88()
  89   80   2    0 randoop.RandoopTest4.test89()
  90   82   2    0 randoop.RandoopTest4.test90()
  91   24   2    0 randoop.RandoopTest4.test91()
  92   14   2    0 randoop.RandoopTest4.test92()
  93   38   2    0 randoop.RandoopTest4.test93()
  94   46   2    0 randoop.RandoopTest4.test94()
  95   79   2    0 randoop.RandoopTest4.test95()
  96   24   2    0 randoop.RandoopTest4.test96()
  97   97   2    0 randoop.RandoopTest4.test97()
  98   32   2    0 randoop.RandoopTest4.test98()
  99   33   2    0 randoop.RandoopTest4.test99()
 100   24   2    0 randoop.RandoopTest4.test100()
 101   20   2    0 randoop.RandoopTest4.test101()
 102   12   2    0 randoop.RandoopTest4.test102()
 103   44   2    0 randoop.RandoopTest4.test103()
 104   21   2    0 randoop.RandoopTest4.test104()
 105   26   2    0 randoop.RandoopTest4.test105()
 106   22   3    0 randoop.RandoopTest4.test106()
 107   25   2    0 randoop.RandoopTest4.test107()
 108   16   2    0 randoop.RandoopTest4.test108()
 109   18   2    0 randoop.RandoopTest4.test109()
 110   11   2    0 randoop.RandoopTest4.test110()
 111   20   2    0 randoop.RandoopTest4.test111()
 112   31   2    0 randoop.RandoopTest4.test112()
 113   46   2    0 randoop.RandoopTest4.test113()
 114   78   2    0 randoop.RandoopTest4.test114()
 115  118   2    0 randoop.RandoopTest4.test115()
 116   14   2    0 randoop.RandoopTest4.test116()
 117   50   2    0 randoop.RandoopTest4.test117()
 118   52   2    0 randoop.RandoopTest4.test118()
 119   21   2    0 randoop.RandoopTest4.test119()
 120   42   2    0 randoop.RandoopTest4.test120()
 121   80   3    0 randoop.RandoopTest4.test121()
 122   68   2    0 randoop.RandoopTest4.test122()
 123   26   2    0 randoop.RandoopTest4.test123()
 124   98   2    0 randoop.RandoopTest4.test124()
 125   33   2    0 randoop.RandoopTest4.test125()
 126   96   2    0 randoop.RandoopTest4.test126()
 127   54   2    0 randoop.RandoopTest4.test127()
 128   48   2    0 randoop.RandoopTest4.test128()
 129   95   2    0 randoop.RandoopTest4.test129()
 130   34   2    0 randoop.RandoopTest4.test130()
 131   20   2    0 randoop.RandoopTest4.test131()
 132   40   2    0 randoop.RandoopTest4.test132()
 133   59   2    0 randoop.RandoopTest4.test133()
 134   40   2    0 randoop.RandoopTest4.test134()
 135    9   2    0 randoop.RandoopTest4.test135()
 136   22   2    0 randoop.RandoopTest4.test136()
 137   16   2    0 randoop.RandoopTest4.test137()
 138   17   2    0 randoop.RandoopTest4.test138()
 139   20   2    0 randoop.RandoopTest4.test139()
 140   16   2    0 randoop.RandoopTest4.test140()
 141   41   2    0 randoop.RandoopTest4.test141()
 142   54   2    0 randoop.RandoopTest4.test142()
 143   25   2    0 randoop.RandoopTest4.test143()
 144   17   2    0 randoop.RandoopTest4.test144()
 145    8   2    0 randoop.RandoopTest4.test145()
 146   63   2    0 randoop.RandoopTest4.test146()
 147   17   2    0 randoop.RandoopTest4.test147()
 148   62   2    0 randoop.RandoopTest4.test148()
 149   16   2    0 randoop.RandoopTest4.test149()
 150   47   2    0 randoop.RandoopTest4.test150()
 151   14   2    0 randoop.RandoopTest4.test151()
 152   47   2    0 randoop.RandoopTest4.test152()
 153   38   2    0 randoop.RandoopTest4.test153()
 154   88   2    0 randoop.RandoopTest4.test154()
 155   11   2    0 randoop.RandoopTest4.test155()
 156   50   2    0 randoop.RandoopTest4.test156()
 157   25   2    0 randoop.RandoopTest4.test157()
 158   98   2    0 randoop.RandoopTest4.test158()
 159    8   2    0 randoop.RandoopTest4.test159()
 160   14   2    0 randoop.RandoopTest4.test160()
 161   11   2    0 randoop.RandoopTest4.test161()
 162   77   2    0 randoop.RandoopTest4.test162()
 163   54   2    0 randoop.RandoopTest4.test163()
 164   29   2    0 randoop.RandoopTest4.test164()
 165   83   2    0 randoop.RandoopTest4.test165()
 166   28   2    0 randoop.RandoopTest4.test166()
 167   94   2    0 randoop.RandoopTest4.test167()
 168   62   2    0 randoop.RandoopTest4.test168()
 169   25   2    0 randoop.RandoopTest4.test169()
 170    9   2    0 randoop.RandoopTest4.test170()
 171    9   2    0 randoop.RandoopTest4.test171()
 172   88   2    0 randoop.RandoopTest4.test172()
 173  108   2    0 randoop.RandoopTest4.test173()
 174   69   2    0 randoop.RandoopTest4.test174()
