Nr.   Classes Functions      NCSS  Javadocs Package
  1        17      8060    371292         0 randoop
    --------- --------- --------- ---------
           17      8060    371292         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     17.00   8060.00 371292.00      0.00 | Project
              17.00   8060.00 371292.00      0.00 | Package
                       474.12  21840.71      0.00 | Class
                                  46.07      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 22354       500       0        0 randoop.RandoopTest4
  2 24309       500       0        0 randoop.RandoopTest9
  3 21391       500       0        0 randoop.RandoopTest1
  4 24129       500       0        0 randoop.RandoopTest10
  5 22190       500       0        0 randoop.RandoopTest2
  6 23327       500       0        0 randoop.RandoopTest11
  7 21595       500       0        0 randoop.RandoopTest5
  8 23818       500       0        0 randoop.RandoopTest12
  9 23828       500       0        0 randoop.RandoopTest6
 10 2671        60       0        0 randoop.RandoopTest16
 11 23010       500       0        0 randoop.RandoopTest8
 12 23591       500       0        0 randoop.RandoopTest7
 13 23972       500       0        0 randoop.RandoopTest3
 14 19791       500       0        0 randoop.RandoopTest0
 15 23333       500       0        0 randoop.RandoopTest13
 16 23304       500       0        0 randoop.RandoopTest15
 17 24645       500       0        0 randoop.RandoopTest14
Average Object NCSS:             21,838.71
Average Object Functions:           474.12
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    371,292.00

 Nr. NCSS CCN JVDC Function
   1   12   3    0 randoop.RandoopTest4.test1()
   2   96   2    0 randoop.RandoopTest4.test2()
   3   20   2    0 randoop.RandoopTest4.test3()
   4   43   2    0 randoop.RandoopTest4.test4()
   5   24   2    0 randoop.RandoopTest4.test5()
   6   82   2    0 randoop.RandoopTest4.test6()
   7   69   2    0 randoop.RandoopTest4.test7()
   8   24   2    0 randoop.RandoopTest4.test8()
   9   32   2    0 randoop.RandoopTest4.test9()
  10   98   2    0 randoop.RandoopTest4.test10()
  11   47   2    0 randoop.RandoopTest4.test11()
  12   17   2    0 randoop.RandoopTest4.test12()
  13   71   2    0 randoop.RandoopTest4.test13()
  14   89   2    0 randoop.RandoopTest4.test14()
  15   15   2    0 randoop.RandoopTest4.test15()
  16   27   2    0 randoop.RandoopTest4.test16()
  17   10   2    0 randoop.RandoopTest4.test17()
  18   14   2    0 randoop.RandoopTest4.test18()
  19   14   2    0 randoop.RandoopTest4.test19()
  20   78   2    0 randoop.RandoopTest4.test20()
  21   35   2    0 randoop.RandoopTest4.test21()
  22   48   3    0 randoop.RandoopTest4.test22()
  23   19   2    0 randoop.RandoopTest4.test23()
  24   26   2    0 randoop.RandoopTest4.test24()
  25   24   2    0 randoop.RandoopTest4.test25()
  26   89   2    0 randoop.RandoopTest4.test26()
  27   24   2    0 randoop.RandoopTest4.test27()
  28   83   2    0 randoop.RandoopTest4.test28()
  29   41   2    0 randoop.RandoopTest4.test29()
  30   62   3    0 randoop.RandoopTest4.test30()
  31   12   2    0 randoop.RandoopTest4.test31()
  32   49   2    0 randoop.RandoopTest4.test32()
  33   17   2    0 randoop.RandoopTest4.test33()
  34   59   2    0 randoop.RandoopTest4.test34()
  35   24   2    0 randoop.RandoopTest4.test35()
  36   67   2    0 randoop.RandoopTest4.test36()
  37   29   2    0 randoop.RandoopTest4.test37()
  38   16   2    0 randoop.RandoopTest4.test38()
  39   50   2    0 randoop.RandoopTest4.test39()
  40   61   3    0 randoop.RandoopTest4.test40()
  41   29   2    0 randoop.RandoopTest4.test41()
  42   21   2    0 randoop.RandoopTest4.test42()
  43   45   2    0 randoop.RandoopTest4.test43()
  44   38   2    0 randoop.RandoopTest4.test44()
  45   24   2    0 randoop.RandoopTest4.test45()
  46   23   2    0 randoop.RandoopTest4.test46()
  47   39   2    0 randoop.RandoopTest4.test47()
  48   27   2    0 randoop.RandoopTest4.test48()
  49   33   2    0 randoop.RandoopTest4.test49()
  50   13   2    0 randoop.RandoopTest4.test50()
  51   90   2    0 randoop.RandoopTest4.test51()
  52   34   2    0 randoop.RandoopTest4.test52()
  53   96   2    0 randoop.RandoopTest4.test53()
  54   25   2    0 randoop.RandoopTest4.test54()
  55   40   2    0 randoop.RandoopTest4.test55()
  56   63   2    0 randoop.RandoopTest4.test56()
  57   90   2    0 randoop.RandoopTest4.test57()
  58   29   2    0 randoop.RandoopTest4.test58()
  59   83   2    0 randoop.RandoopTest4.test59()
  60   79   2    0 randoop.RandoopTest4.test60()
  61   16   2    0 randoop.RandoopTest4.test61()
  62   89   2    0 randoop.RandoopTest4.test62()
  63   11   2    0 randoop.RandoopTest4.test63()
  64   72   2    0 randoop.RandoopTest4.test64()
  65   17   2    0 randoop.RandoopTest4.test65()
  66   46   2    0 randoop.RandoopTest4.test66()
  67   68   2    0 randoop.RandoopTest4.test67()
  68   29   2    0 randoop.RandoopTest4.test68()
  69   24   2    0 randoop.RandoopTest4.test69()
  70   17   2    0 randoop.RandoopTest4.test70()
  71   11   2    0 randoop.RandoopTest4.test71()
  72   18   2    0 randoop.RandoopTest4.test72()
  73   13   2    0 randoop.RandoopTest4.test73()
  74   14   2    0 randoop.RandoopTest4.test74()
  75   14   2    0 randoop.RandoopTest4.test75()
  76   44   2    0 randoop.RandoopTest4.test76()
  77   24   3    0 randoop.RandoopTest4.test77()
  78   73   2    0 randoop.RandoopTest4.test78()
  79   19   2    0 randoop.RandoopTest4.test79()
  80   29   2    0 randoop.RandoopTest4.test80()
  81    6   2    0 randoop.RandoopTest4.test81()
  82   61   2    0 randoop.RandoopTest4.test82()
  83   50   2    0 randoop.RandoopTest4.test83()
  84   12   2    0 randoop.RandoopTest4.test84()
  85   18   2    0 randoop.RandoopTest4.test85()
  86   21   2    0 randoop.RandoopTest4.test86()
  87   33   2    0 randoop.RandoopTest4.test87()
  88   85   2    0 randoop.RandoopTest4.test88()
  89   57   2    0 randoop.RandoopTest4.test89()
  90   82   2    0 randoop.RandoopTest4.test90()
  91   13   2    0 randoop.RandoopTest4.test91()
  92   88   2    0 randoop.RandoopTest4.test92()
  93   52   2    0 randoop.RandoopTest4.test93()
  94   25   3    0 randoop.RandoopTest4.test94()
  95   65   2    0 randoop.RandoopTest4.test95()
  96   41   2    0 randoop.RandoopTest4.test96()
  97   36   2    0 randoop.RandoopTest4.test97()
  98   96   2    0 randoop.RandoopTest4.test98()
  99   29   2    0 randoop.RandoopTest4.test99()
 100   25   3    0 randoop.RandoopTest4.test100()
 101   23   2    0 randoop.RandoopTest4.test101()
 102   61   2    0 randoop.RandoopTest4.test102()
 103   17   2    0 randoop.RandoopTest4.test103()
 104   79   2    0 randoop.RandoopTest4.test104()
 105   12   2    0 randoop.RandoopTest4.test105()
 106   62   2    0 randoop.RandoopTest4.test106()
 107   22   2    0 randoop.RandoopTest4.test107()
 108   22   2    0 randoop.RandoopTest4.test108()
 109   15   2    0 randoop.RandoopTest4.test109()
 110   21   3    0 randoop.RandoopTest4.test110()
 111   19   2    0 randoop.RandoopTest4.test111()
 112   52   3    0 randoop.RandoopTest4.test112()
 113   90   2    0 randoop.RandoopTest4.test113()
 114   30   2    0 randoop.RandoopTest4.test114()
