Nr.   Classes Functions      NCSS  Javadocs Package
  1        20      9641    274002         0 randoop
    --------- --------- --------- ---------
           20      9641    274002         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     20.00   9641.00 274002.00      0.00 | Project
              20.00   9641.00 274002.00      0.00 | Package
                       482.05  13700.10      0.00 | Class
                                  28.42      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 13174       500       0        0 randoop.RandoopTest4
  2 15215       500       0        0 randoop.RandoopTest9
  3 10778       500       0        0 randoop.RandoopTest1
  4 15284       500       0        0 randoop.RandoopTest10
  5 12080       500       0        0 randoop.RandoopTest2
  6 14663       500       0        0 randoop.RandoopTest11
  7 13915       500       0        0 randoop.RandoopTest5
  8 15048       500       0        0 randoop.RandoopTest12
  9 13841       500       0        0 randoop.RandoopTest6
 10 15617       500       0        0 randoop.RandoopTest16
 11 15210       500       0        0 randoop.RandoopTest8
 12 15129       500       0        0 randoop.RandoopTest7
 13 12529       500       0        0 randoop.RandoopTest3
 14 15284       500       0        0 randoop.RandoopTest18
 15 15866       500       0        0 randoop.RandoopTest17
 16 9014       500       0        0 randoop.RandoopTest0
 17 15003       500       0        0 randoop.RandoopTest13
 18 4379       141       0        0 randoop.RandoopTest19
 19 15675       500       0        0 randoop.RandoopTest15
 20 16258       500       0        0 randoop.RandoopTest14
Average Object NCSS:             13,698.10
Average Object Functions:           482.05
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    274,002.00

 Nr. NCSS CCN JVDC Function
   1   34   2    0 randoop.RandoopTest4.test1()
   2    6   3    0 randoop.RandoopTest4.test2()
   3   28   2    0 randoop.RandoopTest4.test3()
   4   29   2    0 randoop.RandoopTest4.test4()
   5   10   2    0 randoop.RandoopTest4.test5()
   6   75   2    0 randoop.RandoopTest4.test6()
   7    6   3    0 randoop.RandoopTest4.test7()
   8   52   2    0 randoop.RandoopTest4.test8()
   9   16   2    0 randoop.RandoopTest4.test9()
  10   12   2    0 randoop.RandoopTest4.test10()
  11   30   2    0 randoop.RandoopTest4.test11()
  12   50   2    0 randoop.RandoopTest4.test12()
  13   39   2    0 randoop.RandoopTest4.test13()
  14   11   2    0 randoop.RandoopTest4.test14()
  15  135   2    0 randoop.RandoopTest4.test15()
  16   18   2    0 randoop.RandoopTest4.test16()
  17   14   2    0 randoop.RandoopTest4.test17()
  18   25   2    0 randoop.RandoopTest4.test18()
  19   14   2    0 randoop.RandoopTest4.test19()
  20   18   2    0 randoop.RandoopTest4.test20()
  21   16   2    0 randoop.RandoopTest4.test21()
  22    8   2    0 randoop.RandoopTest4.test22()
  23   13   2    0 randoop.RandoopTest4.test23()
  24   12   2    0 randoop.RandoopTest4.test24()
  25   23   2    0 randoop.RandoopTest4.test25()
  26   10   2    0 randoop.RandoopTest4.test26()
  27   10   2    0 randoop.RandoopTest4.test27()
  28   13   2    0 randoop.RandoopTest4.test28()
  29   49   2    0 randoop.RandoopTest4.test29()
  30    6   3    0 randoop.RandoopTest4.test30()
  31   15   2    0 randoop.RandoopTest4.test31()
  32    7   2    0 randoop.RandoopTest4.test32()
  33  100   2    0 randoop.RandoopTest4.test33()
  34    8   2    0 randoop.RandoopTest4.test34()
  35   20   2    0 randoop.RandoopTest4.test35()
  36   21   2    0 randoop.RandoopTest4.test36()
  37   96   2    0 randoop.RandoopTest4.test37()
  38   10   2    0 randoop.RandoopTest4.test38()
  39    7   3    0 randoop.RandoopTest4.test39()
  40   21   2    0 randoop.RandoopTest4.test40()
  41   76   2    0 randoop.RandoopTest4.test41()
  42    7   2    0 randoop.RandoopTest4.test42()
  43   18   2    0 randoop.RandoopTest4.test43()
  44   38   2    0 randoop.RandoopTest4.test44()
  45   10   2    0 randoop.RandoopTest4.test45()
  46   32   2    0 randoop.RandoopTest4.test46()
  47   10   2    0 randoop.RandoopTest4.test47()
  48   20   2    0 randoop.RandoopTest4.test48()
  49    7   2    0 randoop.RandoopTest4.test49()
  50    6   3    0 randoop.RandoopTest4.test50()
  51   13   2    0 randoop.RandoopTest4.test51()
  52   12   3    0 randoop.RandoopTest4.test52()
  53   14   2    0 randoop.RandoopTest4.test53()
  54    9   2    0 randoop.RandoopTest4.test54()
  55   15   2    0 randoop.RandoopTest4.test55()
  56   47   2    0 randoop.RandoopTest4.test56()
  57   21   2    0 randoop.RandoopTest4.test57()
  58   31   3    0 randoop.RandoopTest4.test58()
  59   17   2    0 randoop.RandoopTest4.test59()
