Nr.   Classes Functions      NCSS  Javadocs Package
  1         3      1339     45656         0 randoop
    --------- --------- --------- ---------
            3      1339     45656         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00      3.00   1339.00  45656.00      0.00 | Project
               3.00   1339.00  45656.00      0.00 | Package
                       446.33  15218.67      0.00 | Class
                                  34.10      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 18291       500       0        0 randoop.RandoopTest1
  2 13560       339       0        0 randoop.RandoopTest2
  3 13799       500       0        0 randoop.RandoopTest0
Average Object NCSS:             15,216.67
Average Object Functions:           446.33
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    45,656.00

 Nr. NCSS CCN JVDC Function
   1   89   2    0 randoop.RandoopTest1.test1()
   2   12   2    0 randoop.RandoopTest1.test2()
   3   13   2    0 randoop.RandoopTest1.test3()
   4   42   2    0 randoop.RandoopTest1.test4()
   5   90   2    0 randoop.RandoopTest1.test5()
   6   11   2    0 randoop.RandoopTest1.test6()
   7   36   2    0 randoop.RandoopTest1.test7()
   8   55   2    0 randoop.RandoopTest1.test8()
   9   24   2    0 randoop.RandoopTest1.test9()
  10   10   2    0 randoop.RandoopTest1.test10()
  11   21   2    0 randoop.RandoopTest1.test11()
  12   16   2    0 randoop.RandoopTest1.test12()
  13    9   2    0 randoop.RandoopTest1.test13()
  14   46   2    0 randoop.RandoopTest1.test14()
  15    4   2    0 randoop.RandoopTest1.test15()
  16    8   2    0 randoop.RandoopTest1.test16()
  17    9   2    0 randoop.RandoopTest1.test17()
  18  122   2    0 randoop.RandoopTest1.test18()
  19   19   2    0 randoop.RandoopTest1.test19()
  20   28   2    0 randoop.RandoopTest1.test20()
  21   94   2    0 randoop.RandoopTest1.test21()
  22   71   2    0 randoop.RandoopTest1.test22()
  23   50   3    0 randoop.RandoopTest1.test23()
  24   55   2    0 randoop.RandoopTest1.test24()
  25   16   2    0 randoop.RandoopTest1.test25()
  26   13   2    0 randoop.RandoopTest1.test26()
  27   41   3    0 randoop.RandoopTest1.test27()
  28  127   2    0 randoop.RandoopTest1.test28()
  29   60   3    0 randoop.RandoopTest1.test29()
  30    6   2    0 randoop.RandoopTest1.test30()
  31   45   3    0 randoop.RandoopTest1.test31()
  32   32   2    0 randoop.RandoopTest1.test32()
  33   23   2    0 randoop.RandoopTest1.test33()
  34   87   2    0 randoop.RandoopTest1.test34()
  35   14   2    0 randoop.RandoopTest1.test35()
  36   11   2    0 randoop.RandoopTest1.test36()
  37   57   2    0 randoop.RandoopTest1.test37()
  38   53   2    0 randoop.RandoopTest1.test38()
  39   12   2    0 randoop.RandoopTest1.test39()
  40   13   2    0 randoop.RandoopTest1.test40()
  41    6   2    0 randoop.RandoopTest1.test41()
  42    7   2    0 randoop.RandoopTest1.test42()
  43   20   3    0 randoop.RandoopTest1.test43()
  44   30   3    0 randoop.RandoopTest1.test44()
  45   16   2    0 randoop.RandoopTest1.test45()
  46   99   3    0 randoop.RandoopTest1.test46()
  47   90   2    0 randoop.RandoopTest1.test47()
  48   92   2    0 randoop.RandoopTest1.test48()
  49   15   2    0 randoop.RandoopTest1.test49()
  50   12   2    0 randoop.RandoopTest1.test50()
  51    7   2    0 randoop.RandoopTest1.test51()
  52   35   2    0 randoop.RandoopTest1.test52()
  53   15   2    0 randoop.RandoopTest1.test53()
  54  108   2    0 randoop.RandoopTest1.test54()
  55   41   2    0 randoop.RandoopTest1.test55()
  56   11   2    0 randoop.RandoopTest1.test56()
  57   13   2    0 randoop.RandoopTest1.test57()
  58   18   2    0 randoop.RandoopTest1.test58()
  59   11   2    0 randoop.RandoopTest1.test59()
  60   54   2    0 randoop.RandoopTest1.test60()
  61   19   2    0 randoop.RandoopTest1.test61()
  62   99   2    0 randoop.RandoopTest1.test62()
  63   67   2    0 randoop.RandoopTest1.test63()
  64   15   3    0 randoop.RandoopTest1.test64()
  65   17   2    0 randoop.RandoopTest1.test65()
  66    5   2    0 randoop.RandoopTest1.test66()
  67   18   2    0 randoop.RandoopTest1.test67()
  68   16   2    0 randoop.RandoopTest1.test68()
