Nr.   Classes Functions      NCSS  Javadocs Package
  1        11      5280    165674         0 randoop
    --------- --------- --------- ---------
           11      5280    165674         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     11.00   5280.00 165674.00      0.00 | Project
              11.00   5280.00 165674.00      0.00 | Package
                       480.00  15061.27      0.00 | Class
                                  31.38      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 16200       496       0        0 randoop.RandoopTest4
  2 17169       494       0        0 randoop.RandoopTest9
  3 15191       500       0        0 randoop.RandoopTest1
  4 10412       308       0        0 randoop.RandoopTest10
  5 15798       498       0        0 randoop.RandoopTest2
  6 17394       499       0        0 randoop.RandoopTest5
  7 16485       499       0        0 randoop.RandoopTest6
  8 16517       498       0        0 randoop.RandoopTest8
  9 15952       494       0        0 randoop.RandoopTest7
 10 14262       494       0        0 randoop.RandoopTest3
 11 10272       500       0        0 randoop.RandoopTest0
Average Object NCSS:             15,059.27
Average Object Functions:           480.00
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    165,674.00

 Nr. NCSS CCN JVDC Function
   1   82   2    0 randoop.RandoopTest4.test1()
   2   82   2    0 randoop.RandoopTest4.test2()
   3   30   2    0 randoop.RandoopTest4.test3()
   4   61   2    0 randoop.RandoopTest4.test4()
   5    4   2    0 randoop.RandoopTest4.test5()
   6   16   2    0 randoop.RandoopTest4.test6()
   7   42   2    0 randoop.RandoopTest4.test7()
   8   26   2    0 randoop.RandoopTest4.test8()
   9   55   2    0 randoop.RandoopTest4.test9()
  10   52   2    0 randoop.RandoopTest4.test10()
  11    5   2    0 randoop.RandoopTest4.test11()
  12   10   2    0 randoop.RandoopTest4.test12()
  13   34   2    0 randoop.RandoopTest4.test13()
  14   25   2    0 randoop.RandoopTest4.test14()
  15   21   2    0 randoop.RandoopTest4.test15()
  16   22   2    0 randoop.RandoopTest4.test16()
  17   15   2    0 randoop.RandoopTest4.test17()
  18   42   3    0 randoop.RandoopTest4.test18()
  19   79   2    0 randoop.RandoopTest4.test19()
  20   68   2    0 randoop.RandoopTest4.test20()
