Nr.   Classes Functions      NCSS  Javadocs Package
  1        21       222      1476        31 org.databene.jdbacl
  2        15       136       654        15 org.databene.jdbacl.dialect
  3        14        63       338        11 org.databene.jdbacl.identity
  4         8        37       238         7 org.databene.jdbacl.identity.mem
  5         2        11        74         2 org.databene.jdbacl.identity.xml
  6        41       460      1630        49 org.databene.jdbacl.model
  7         1         7        55         1 org.databene.jdbacl.model.cache
  8         1        11       129         1 org.databene.jdbacl.model.csv
  9         5       106       820         5 org.databene.jdbacl.model.jdbc
 10         1         6        52         1 org.databene.jdbacl.model.sql
 11         2        39       546         2 org.databene.jdbacl.model.xml
 12         4        58       443         4 org.databene.jdbacl.proxy
 13         4        62       395         4 org.databene.jdbacl.sql
 14        78       303      6202         3 org.databene.jdbacl.sql.parser
 15        12        27       208         5 org.databene.jdbacl.swing
 16         2         7        36         2 org.databene.jdbacl.version
    --------- --------- --------- ---------
          211      1555     13296       143 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    16.00    211.00   1555.00  13296.00    143.00 | Project
              13.19     97.19    831.00      8.94 | Package
                         7.37     63.01      0.68 | Class
                                   8.55      0.09 | Function

Nr. NCSS Functions Classes Javadocs Class
  1    6         2       0        1 org.databene.jdbacl.swing.TextFieldValueProvider
  2    3         1       0        1 org.databene.jdbacl.swing.DatabaseTree
  3   24         2       1        1 org.databene.jdbacl.swing.EnvironmentSelector
  4   19         5       1        0 org.databene.jdbacl.swing.EnvironmentSelector.EnvironmentModel
  5    2         1       0        0 org.databene.jdbacl.swing.EnvironmentSelector.EnvironmentModel.FilenameFilter
  6   75         8       3        1 org.databene.jdbacl.swing.JdbaclGUI
  7    2         1       0        0 org.databene.jdbacl.swing.JdbaclGUI.AbstractAction
  8    2         1       0        0 org.databene.jdbacl.swing.JdbaclGUI.AbstractAction
  9    7         1       0        0 org.databene.jdbacl.swing.JdbaclGUI.ActionListener
 10   42         2       1        1 org.databene.jdbacl.swing.DatabasePane
 11   23         2       1        0 org.databene.jdbacl.swing.DatabasePane.Importer
 12    3         1       0        0 org.databene.jdbacl.swing.DatabasePane.Importer.Runnable
 13   45         7       0        1 org.databene.jdbacl.ResultSetDataIterator
 14   25         4       0        1 org.databene.jdbacl.Main
 15   27         8       0        1 org.databene.jdbacl.model.DBProcedure
 16   32        10       0        1 org.databene.jdbacl.model.DBIndex
 17   19         5       0        1 org.databene.jdbacl.model.DBNonUniqueIndex
 18    1         0       0        0 org.databene.jdbacl.model.FKChangeRule
 19  107        11       0        1 org.databene.jdbacl.model.csv.CSVModelExporter
 20   19        18       0        1 org.databene.jdbacl.model.DBColumn
 21  110        27       0        1 org.databene.jdbacl.model.DefaultDBColumn
 22   40         7       0        1 org.databene.jdbacl.model.cache.CachingDBImporter
 23   74        14       1        1 org.databene.jdbacl.model.DBDataType
 24   15         3       0        0 org.databene.jdbacl.model.DBDataType.TypeDescriptor
 25   22         3       0        1 org.databene.jdbacl.model.AbstractCompositeDBObject
 26  192        19       0        1 org.databene.jdbacl.model.xml.XMLModelExporter
 27  284        20       0        1 org.databene.jdbacl.model.xml.XMLModelImporter
 28    6         5       0        6 org.databene.jdbacl.model.DBObject
 29   40        14       0        1 org.databene.jdbacl.model.TableContainer
 30   60        15       0        1 org.databene.jdbacl.model.DBForeignKeyConstraint
 31   10         4       0        1 org.databene.jdbacl.model.AbstractDBTableComponent
 32   44        13       0        1 org.databene.jdbacl.model.TableContainerSupport
 33   78        27       0        1 org.databene.jdbacl.model.DBSequence
 34   23        22       0        1 org.databene.jdbacl.model.Database
 35   61        19       0        1 org.databene.jdbacl.model.DBCatalog
 36   26         7       0        3 org.databene.jdbacl.model.DBConstraint
 37   37        12       0        1 org.databene.jdbacl.model.AbstractDBObject
 38   19         3       0        1 org.databene.jdbacl.model.DBNotNullConstraint
 39    2         1       0        1 org.databene.jdbacl.model.DBMetaDataImporter
 40   74        27       0        2 org.databene.jdbacl.model.DBTrigger
 41   32        31       0        1 org.databene.jdbacl.model.DBTable
 42    3         2       0        1 org.databene.jdbacl.model.DBTableComponent
 43   49        16       0        1 org.databene.jdbacl.model.DBPackage
 44  532        50       1        2 org.databene.jdbacl.model.jdbc.JDBCDBImporter
 45    5         1       0        0 org.databene.jdbacl.model.jdbc.JDBCDBImporter.TableNameFilter
 46   33         3       0        1 org.databene.jdbacl.model.jdbc.DBIndexInfo
 47   60         6       0        1 org.databene.jdbacl.model.jdbc.ImportedKey
 48  113        46       0        1 org.databene.jdbacl.model.jdbc.LazyTable
 49   55        18       0        1 org.databene.jdbacl.model.DBSchema
 50   42        10       0        1 org.databene.jdbacl.model.DBCheckConstraint
 51    4         3       0        1 org.databene.jdbacl.model.TableHolder
 52  177        46       0        1 org.databene.jdbacl.model.DefaultDBTable
 53  118        34       0        1 org.databene.jdbacl.model.DefaultDatabase
 54   34         6       0        1 org.databene.jdbacl.model.sql.CreateExporter
 55    7         2       0        2 org.databene.jdbacl.model.DBPrimaryKeyConstraint
 56   16         7       0        1 org.databene.jdbacl.model.DBTreeModel
 57    2         1       0        1 org.databene.jdbacl.model.MultiColumnObject
 58   24         6       0        1 org.databene.jdbacl.model.DBUniqueIndex
 59    2         1       0        1 org.databene.jdbacl.model.DBMetaDataExporter
 60    2         1       0        1 org.databene.jdbacl.model.SequenceHolder
 61   55        14       0        1 org.databene.jdbacl.model.DBRow
 62   22         5       0        2 org.databene.jdbacl.model.DBUniqueConstraint
 63    2         1       0        1 org.databene.jdbacl.model.CompositeDBObject
 64    1         0       0        1 org.databene.jdbacl.model.ContainerComponent
 65   43         5       0        1 org.databene.jdbacl.model.DBRowIterator
 66    7         1       0        1 org.databene.jdbacl.DBExecutionResult
 67   19         5       0        1 org.databene.jdbacl.version.QueryVersionProvider
 68    6         2       0        1 org.databene.jdbacl.version.ConstantVersionProvider
 69   12         3       0        1 org.databene.jdbacl.QueryDataIterator
 70   58         8       0        1 org.databene.jdbacl.ResultSetIterator
 71   10         3       0        1 org.databene.jdbacl.ResultsWithMetadata
 72    2         1       0        1 org.databene.jdbacl.VersionProvider
 73   21         6       0        1 org.databene.jdbacl.SQLScriptException
 74  115        33       0        1 org.databene.jdbacl.JDBCDriverInfo
 75   19         3       0        1 org.databene.jdbacl.JDBCConnectData
 76   17         7       0        1 org.databene.jdbacl.DatabaseTreeModel
 77   18         1       0        2 org.databene.jdbacl.DatabaseDialectManager
 78   44         5       0        1 org.databene.jdbacl.proxy.LoggingResultSetHandler
 79  114        18       0        1 org.databene.jdbacl.proxy.LoggingStatementHandler
 80   91        11       0        1 org.databene.jdbacl.proxy.PooledConnectionHandler
 81  123        24       0        1 org.databene.jdbacl.proxy.LoggingPreparedStatementHandler
 82    7         3       0        1 org.databene.jdbacl.identity.NoIdentity
 83   52        15       0        1 org.databene.jdbacl.identity.IdentityModel
 84   12         4       0        1 org.databene.jdbacl.identity.xml.IdentityParseContext
 85   43         7       0        1 org.databene.jdbacl.identity.xml.IdentityParser
 86   38         5       0        1 org.databene.jdbacl.identity.mem.AbstractTableMapper
 87    1         0       0        0 org.databene.jdbacl.identity.mem.MapperState
 88   27         6       0        1 org.databene.jdbacl.identity.mem.TargetDatabaseMapper
 89   11         3       0        1 org.databene.jdbacl.identity.mem.TargetTableMapper
 90   12         3       0        1 org.databene.jdbacl.identity.mem.SourceTableMapper
 91   47        10       0        1 org.databene.jdbacl.identity.mem.MemKeyMapper
 92   24         5       0        1 org.databene.jdbacl.identity.mem.GlobalRowId
 93   25         5       0        1 org.databene.jdbacl.identity.mem.SourceDatabaseMapper
 94   63         4       1        1 org.databene.jdbacl.identity.SubNkPkQueryIdentity
 95   49         8       0        0 org.databene.jdbacl.identity.SubNkPkQueryIdentity.RecursiveIterator
 96   11         4       0        1 org.databene.jdbacl.identity.NkPkQueryIdentity
 97   18         3       0        1 org.databene.jdbacl.identity.NaturalPkIdentity
 98   21         1       0        1 org.databene.jdbacl.identity.SimpleTranscoder
 99   11         7       0        1 org.databene.jdbacl.identity.KeyMapper
100   10         4       0        1 org.databene.jdbacl.identity.InvalidIdentityDefinitionError
101   13         3       0        1 org.databene.jdbacl.identity.NKBuilder
102   52         4       2        1 org.databene.jdbacl.identity.UniqueKeyIdentity
103   17         2       0        0 org.databene.jdbacl.identity.UniqueKeyIdentity.ColumnToNkConverter
104   11         2       0        0 org.databene.jdbacl.identity.UniqueKeyIdentity.UniqueKeyNkPkIterator
105   11         3       0        1 org.databene.jdbacl.identity.IdentityProvider
106   12         3       0        1 org.databene.jdbacl.QueryIterator
107  177        33       0        7 org.databene.jdbacl.DatabaseDialect
108    1         0       0        0 org.databene.jdbacl.NameSpec
109    7         1       0        1 org.databene.jdbacl.DatabaseTestUtil
110    5         2       0        1 org.databene.jdbacl.ArrayResultSetIterator
111    5         2       0        1 org.databene.jdbacl.sql.BetweenExpression
112    9         3       0        1 org.databene.jdbacl.sql.FunctionInvocation
113  313        53       0        1 org.databene.jdbacl.sql.SQLParserUtil
114   11         4       0        1 org.databene.jdbacl.sql.ColumnExpression
115 1533       140       1        0 org.databene.jdbacl.sql.parser.SQLLexer
116   13         2       0        0 org.databene.jdbacl.sql.parser.SQLLexer.DFA9
117    2         1       0        1 org.databene.jdbacl.sql.parser.TextHolder
118   17         4       0        1 org.databene.jdbacl.sql.parser.ANTLRNoCaseStringStream
119   19         4       0        1 org.databene.jdbacl.sql.parser.ANTLRNoCaseFileStream
120 4609        79      72        0 org.databene.jdbacl.sql.parser.SQLParser
121   13         2       0        0 org.databene.jdbacl.sql.parser.SQLParser.DFA2
122    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.add_constraints_return
123    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.additive_expression_return
124    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.alter_table_return
125    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.and_expression_return
126    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.arguments_return
127    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.between_expression_return
128    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.check_constraint_return
129    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.column_comment_details_return
130    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.column_detail_return
131    4         1       0        0 org.databene.jdbacl.sql.parser.SQLParser.column_name_return
