Nr.   Classes Functions      NCSS  Javadocs Package
  1        39     19094    401830         0 randoop
    --------- --------- --------- ---------
           39     19094    401830         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     39.00  19094.00 401830.00      0.00 | Project
              39.00  19094.00 401830.00      0.00 | Package
                       489.59  10303.33      0.00 | Class
                                  21.04      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 9209       500       0        0 randoop.RandoopTest4
  2 12252       500       0        0 randoop.RandoopTest36
  3 11374       500       0        0 randoop.RandoopTest22
  4 11676       500       0        0 randoop.RandoopTest27
  5 10172       500       0        0 randoop.RandoopTest9
  6 11761       500       0        0 randoop.RandoopTest34
  7 10968       500       0        0 randoop.RandoopTest29
  8 7779       500       0        0 randoop.RandoopTest1
  9 11547       500       0        0 randoop.RandoopTest30
 10 11388       500       0        0 randoop.RandoopTest21
 11 12459       500       0        0 randoop.RandoopTest35
 12 10171       500       0        0 randoop.RandoopTest10
 13 7009       500       0        0 randoop.RandoopTest2
 14 9658       500       0        0 randoop.RandoopTest11
 15 10148       500       0        0 randoop.RandoopTest23
 16 9761       500       0        0 randoop.RandoopTest5
 17 11267       500       0        0 randoop.RandoopTest20
 18 9674       500       0        0 randoop.RandoopTest12
 19 10655       500       0        0 randoop.RandoopTest6
 20 11185       500       0        0 randoop.RandoopTest33
 21 10530       500       0        0 randoop.RandoopTest24
 22 10538       500       0        0 randoop.RandoopTest16
 23 9797       500       0        0 randoop.RandoopTest8
 24 12496       500       0        0 randoop.RandoopTest37
 25 2167        94       0        0 randoop.RandoopTest38
 26 10099       500       0        0 randoop.RandoopTest7
 27 9108       500       0        0 randoop.RandoopTest3
 28 12212       500       0        0 randoop.RandoopTest25
 29 11070       500       0        0 randoop.RandoopTest31
 30 11011       500       0        0 randoop.RandoopTest28
 31 10736       500       0        0 randoop.RandoopTest32
 32 11177       500       0        0 randoop.RandoopTest18
 33 11436       500       0        0 randoop.RandoopTest17
 34 4193       500       0        0 randoop.RandoopTest0
 35 10383       500       0        0 randoop.RandoopTest13
 36 11288       500       0        0 randoop.RandoopTest19
 37 11622       500       0        0 randoop.RandoopTest26
 38 11146       500       0        0 randoop.RandoopTest15
 39 10630       500       0        0 randoop.RandoopTest14
Average Object NCSS:             10,301.33
Average Object Functions:           489.59
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    401,830.00

  Nr. NCSS CCN JVDC Function
    1   20   3    0 randoop.RandoopTest4.test1()
    2    6   3    0 randoop.RandoopTest4.test2()
    3    4   2    0 randoop.RandoopTest4.test3()
    4    6   3    0 randoop.RandoopTest4.test4()
    5    6   3    0 randoop.RandoopTest4.test5()
    6    6   3    0 randoop.RandoopTest4.test6()
    7    7   2    0 randoop.RandoopTest4.test7()
    8   74   3    0 randoop.RandoopTest4.test8()
    9    6   3    0 randoop.RandoopTest4.test9()
   10   22   2    0 randoop.RandoopTest4.test10()
   11    6   3    0 randoop.RandoopTest4.test11()
   12   10   2    0 randoop.RandoopTest4.test12()
   13   62   3    0 randoop.RandoopTest4.test13()
   14    6   3    0 randoop.RandoopTest4.test14()
   15   16   2    0 randoop.RandoopTest4.test15()
   16    6   3    0 randoop.RandoopTest4.test16()
   17    6   3    0 randoop.RandoopTest4.test17()
   18   53   3    0 randoop.RandoopTest4.test18()
   19    6   3    0 randoop.RandoopTest4.test19()
   20   32   3    0 randoop.RandoopTest4.test20()
   21   27   2    0 randoop.RandoopTest4.test21()
   22    6   3    0 randoop.RandoopTest4.test22()
   23    6   3    0 randoop.RandoopTest4.test23()
   24    7   3    0 randoop.RandoopTest4.test24()
   25   10   2    0 randoop.RandoopTest4.test25()
   26   18   3    0 randoop.RandoopTest4.test26()
   27   31   3    0 randoop.RandoopTest4.test27()
   28   62   3    0 randoop.RandoopTest4.test28()
   29    6   3    0 randoop.RandoopTest4.test29()
   30    6   3    0 randoop.RandoopTest4.test30()
   31    6   3    0 randoop.RandoopTest4.test31()
   32   12   2    0 randoop.RandoopTest4.test32()
   33   13   3    0 randoop.RandoopTest4.test33()
   34   19   3    0 randoop.RandoopTest4.test34()
   35    6   3    0 randoop.RandoopTest4.test35()
   36    6   3    0 randoop.RandoopTest4.test36()
   37   91   3    0 randoop.RandoopTest4.test37()
   38    6   3    0 randoop.RandoopTest4.test38()
   39    6   3    0 randoop.RandoopTest4.test39()
   40   23   3    0 randoop.RandoopTest4.test40()
   41   10   2    0 randoop.RandoopTest4.test41()
   42   18   3    0 randoop.RandoopTest4.test42()
   43   10   3    0 randoop.RandoopTest4.test43()
   44   29   2    0 randoop.RandoopTest4.test44()
   45    4   2    0 randoop.RandoopTest4.test45()
   46    6   3    0 randoop.RandoopTest4.test46()
   47    6   3    0 randoop.RandoopTest4.test47()
   48    6   3    0 randoop.RandoopTest4.test48()
   49   24   3    0 randoop.RandoopTest4.test49()
   50   58   3    0 randoop.RandoopTest4.test50()
   51    9   2    0 randoop.RandoopTest4.test51()
   52    6   3    0 randoop.RandoopTest4.test52()
   53    6   3    0 randoop.RandoopTest4.test53()
   54    6   3    0 randoop.RandoopTest4.test54()
   55    6   3    0 randoop.RandoopTest4.test55()
   56   37   3    0 randoop.RandoopTest4.test56()
   57   88   2    0 randoop.RandoopTest4.test57()
   58    6   3    0 randoop.RandoopTest4.test58()
   59    6   3    0 randoop.RandoopTest4.test59()
   60    6   3    0 randoop.RandoopTest4.test60()
   61    8   3    0 randoop.RandoopTest4.test61()
   62   12   2    0 randoop.RandoopTest4.test62()
   63    6   3    0 randoop.RandoopTest4.test63()
   64    6   3    0 randoop.RandoopTest4.test64()
   65   19   3    0 randoop.RandoopTest4.test65()
   66    6   3    0 randoop.RandoopTest4.test66()
   67   12   2    0 randoop.RandoopTest4.test67()
   68   78   2    0 randoop.RandoopTest4.test68()
   69   86   3    0 randoop.RandoopTest4.test69()
   70    6   3    0 randoop.RandoopTest4.test70()
   71   10   2    0 randoop.RandoopTest4.test71()
   72    6   3    0 randoop.RandoopTest4.test72()
   73    6   3    0 randoop.RandoopTest4.test73()
   74   49   3    0 randoop.RandoopTest4.test74()
   75   16   2    0 randoop.RandoopTest4.test75()
   76   66   3    0 randoop.RandoopTest4.test76()
   77   10   3    0 randoop.RandoopTest4.test77()
   78   14   2    0 randoop.RandoopTest4.test78()
   79    6   3    0 randoop.RandoopTest4.test79()
   80    6   3    0 randoop.RandoopTest4.test80()
   81    6   3    0 randoop.RandoopTest4.test81()
   82    6   3    0 randoop.RandoopTest4.test82()
   83    6   3    0 randoop.RandoopTest4.test83()
   84    7   2    0 randoop.RandoopTest4.test84()
   85   14   2    0 randoop.RandoopTest4.test85()
   86   20   3    0 randoop.RandoopTest4.test86()
   87   18   3    0 randoop.RandoopTest4.test87()
   88    6   3    0 randoop.RandoopTest4.test88()
   89   25   2    0 randoop.RandoopTest4.test89()
   90   14   2    0 randoop.RandoopTest4.test90()
   91   15   3    0 randoop.RandoopTest4.test91()
   92    6   3    0 randoop.RandoopTest4.test92()
   93    6   3    0 randoop.RandoopTest4.test93()
   94   80   3    0 randoop.RandoopTest4.test94()
   95    6   3    0 randoop.RandoopTest4.test95()
   96    6   3    0 randoop.RandoopTest4.test96()
   97    9   2    0 randoop.RandoopTest4.test97()
   98   14   3    0 randoop.RandoopTest4.test98()
   99   15   2    0 randoop.RandoopTest4.test99()
  100   53   3    0 randoop.RandoopTest4.test100()
  101   35   3    0 randoop.RandoopTest4.test101()
  102    6   3    0 randoop.RandoopTest4.test102()
  103    6   3    0 randoop.RandoopTest4.test103()
  104   15   3    0 randoop.RandoopTest4.test104()
  105    6   3    0 randoop.RandoopTest4.test105()
  106   70   3    0 randoop.RandoopTest4.test106()
  107   17   2    0 randoop.RandoopTest4.test107()
  108   47   3    0 randoop.RandoopTest4.test108()
  109   82   3    0 randoop.RandoopTest4.test109()
  110    6   3    0 randoop.RandoopTest4.test110()
  111   11   2    0 randoop.RandoopTest4.test111()
  112   21   2    0 randoop.RandoopTest4.test112()
  113    6   3    0 randoop.RandoopTest4.test113()
  114    5   2    0 randoop.RandoopTest4.test114()
  115    6   3    0 randoop.RandoopTest4.test115()
  116   11   2    0 randoop.RandoopTest4.test116()
  117   23   3    0 randoop.RandoopTest4.test117()
  118   22   3    0 randoop.RandoopTest4.test118()
  119   49   3    0 randoop.RandoopTest4.test119()
  120   12   2    0 randoop.RandoopTest4.test120()
  121    6   3    0 randoop.RandoopTest4.test121()
  122   50   3    0 randoop.RandoopTest4.test122()
  123    6   3    0 randoop.RandoopTest4.test123()
  124    6   3    0 randoop.RandoopTest4.test124()
  125   14   3    0 randoop.RandoopTest4.test125()
  126    6   3    0 randoop.RandoopTest4.test126()
  127    6   3    0 randoop.RandoopTest4.test127()
  128   16   3    0 randoop.RandoopTest4.test128()
  129    6   3    0 randoop.RandoopTest4.test129()
  130    6   3    0 randoop.RandoopTest4.test130()
  131   21   3    0 randoop.RandoopTest4.test131()
  132    6   3    0 randoop.RandoopTest4.test132()
  133   21   3    0 randoop.RandoopTest4.test133()
  134    6   3    0 randoop.RandoopTest4.test134()
  135   17   2    0 randoop.RandoopTest4.test135()
  136    6   3    0 randoop.RandoopTest4.test136()
  137    6   3    0 randoop.RandoopTest4.test137()
  138    6   3    0 randoop.RandoopTest4.test138()
  139    6   3    0 randoop.RandoopTest4.test139()
  140    7   3    0 randoop.RandoopTest4.test140()
  141   49   3    0 randoop.RandoopTest4.test141()
  142   91   3    0 randoop.RandoopTest4.test142()
  143    6   3    0 randoop.RandoopTest4.test143()
  144    6   3    0 randoop.RandoopTest4.test144()
  145   23   3    0 randoop.RandoopTest4.test145()
  146   28   3    0 randoop.RandoopTest4.test146()
  147    6   3    0 randoop.RandoopTest4.test147()
  148    6   3    0 randoop.RandoopTest4.test148()
  149   34   3    0 randoop.RandoopTest4.test149()
  150   13   2    0 randoop.RandoopTest4.test150()
  151    6   3    0 randoop.RandoopTest4.test151()
  152   31   3    0 randoop.RandoopTest4.test152()
  153   48   2    0 randoop.RandoopTest4.test153()
  154    6   3    0 randoop.RandoopTest4.test154()
  155    6   3    0 randoop.RandoopTest4.test155()
  156   26   3    0 randoop.RandoopTest4.test156()
  157   18   2    0 randoop.RandoopTest4.test157()
  158   11   3    0 randoop.RandoopTest4.test158()
  159   67   3    0 randoop.RandoopTest4.test159()
  160    6   3    0 randoop.RandoopTest4.test160()
  161    6   3    0 randoop.RandoopTest4.test161()
  162   21   3    0 randoop.RandoopTest4.test162()
  163    6   3    0 randoop.RandoopTest4.test163()
  164   39   3    0 randoop.RandoopTest4.test164()
  165   11   3    0 randoop.RandoopTest4.test165()
  166   20   3    0 randoop.RandoopTest4.test166()
  167   20   2    0 randoop.RandoopTest4.test167()
  168    6   3    0 randoop.RandoopTest4.test168()
  169   16   2    0 randoop.RandoopTest4.test169()
  170    6   3    0 randoop.RandoopTest4.test170()
  171   21   3    0 randoop.RandoopTest4.test171()
  172   12   3    0 randoop.RandoopTest4.test172()
  173    5   2    0 randoop.RandoopTest4.test173()
  174   21   3    0 randoop.RandoopTest4.test174()
  175   25   2    0 randoop.RandoopTest4.test175()
  176    6   3    0 randoop.RandoopTest4.test176()
  177   21   3    0 randoop.RandoopTest4.test177()
  178   16   2    0 randoop.RandoopTest4.test178()
  179   20   2    0 randoop.RandoopTest4.test179()
  180    8   2    0 randoop.RandoopTest4.test180()
  181   18   2    0 randoop.RandoopTest4.test181()
  182   48   3    0 randoop.RandoopTest4.test182()
  183    6   3    0 randoop.RandoopTest4.test183()
  184    6   3    0 randoop.RandoopTest4.test184()
  185   10   3    0 randoop.RandoopTest4.test185()
  186   62   3    0 randoop.RandoopTest4.test186()
  187   21   3    0 randoop.RandoopTest4.test187()
  188    6   3    0 randoop.RandoopTest4.test188()
  189    6   3    0 randoop.RandoopTest4.test189()
  190   21   3    0 randoop.RandoopTest4.test190()
  191   13   2    0 randoop.RandoopTest4.test191()
  192    9   2    0 randoop.RandoopTest4.test192()
  193   24   2    0 randoop.RandoopTest4.test193()
  194   35   3    0 randoop.RandoopTest4.test194()
  195   11   2    0 randoop.RandoopTest4.test195()
  196    6   3    0 randoop.RandoopTest4.test196()
  197   15   2    0 randoop.RandoopTest4.test197()
  198    6   3    0 randoop.RandoopTest4.test198()
  199   35   2    0 randoop.RandoopTest4.test199()
  200   16   2    0 randoop.RandoopTest4.test200()
  201    6   3    0 randoop.RandoopTest4.test201()
  202    6   3    0 randoop.RandoopTest4.test202()
  203   15   2    0 randoop.RandoopTest4.test203()
  204   44   3    0 randoop.RandoopTest4.test204()
  205   12   2    0 randoop.RandoopTest4.test205()
  206    6   3    0 randoop.RandoopTest4.test206()
  207    6   3    0 randoop.RandoopTest4.test207()
  208   15   2    0 randoop.RandoopTest4.test208()
  209   71   3    0 randoop.RandoopTest4.test209()
  210   75   3    0 randoop.RandoopTest4.test210()
  211   27   2    0 randoop.RandoopTest4.test211()
  212    6   3    0 randoop.RandoopTest4.test212()
  213    6   3    0 randoop.RandoopTest4.test213()
  214   21   2    0 randoop.RandoopTest4.test214()
  215   58   3    0 randoop.RandoopTest4.test215()
  216   15   3    0 randoop.RandoopTest4.test216()
  217   92   2    0 randoop.RandoopTest4.test217()
  218    6   3    0 randoop.RandoopTest4.test218()
  219   91   2    0 randoop.RandoopTest4.test219()
  220   45   3    0 randoop.RandoopTest4.test220()
  221    6   3    0 randoop.RandoopTest4.test221()
  222   60   3    0 randoop.RandoopTest4.test222()
  223   41   3    0 randoop.RandoopTest4.test223()
  224    6   3    0 randoop.RandoopTest4.test224()
  225    6   3    0 randoop.RandoopTest4.test225()
  226    6   3    0 randoop.RandoopTest4.test226()
  227    6   3    0 randoop.RandoopTest4.test227()
  228    6   3    0 randoop.RandoopTest4.test228()
  229   25   3    0 randoop.RandoopTest4.test229()
  230   16   3    0 randoop.RandoopTest4.test230()
  231   21   3    0 randoop.RandoopTest4.test231()
  232   37   3    0 randoop.RandoopTest4.test232()
  233   63   2    0 randoop.RandoopTest4.test233()
  234   30   3    0 randoop.RandoopTest4.test234()
  235   19   3    0 randoop.RandoopTest4.test235()
  236   81   3    0 randoop.RandoopTest4.test236()
  237    7   3    0 randoop.RandoopTest4.test237()
  238   41   3    0 randoop.RandoopTest4.test238()
  239    6   3    0 randoop.RandoopTest4.test239()
  240   13   2    0 randoop.RandoopTest4.test240()
  241    6   3    0 randoop.RandoopTest4.test241()
  242    6   3    0 randoop.RandoopTest4.test242()
  243    4   2    0 randoop.RandoopTest4.test243()
  244    6   3    0 randoop.RandoopTest4.test244()
  245   41   3    0 randoop.RandoopTest4.test245()
  246   62   3    0 randoop.RandoopTest4.test246()
  247    6   3    0 randoop.RandoopTest4.test247()
  248    6   3    0 randoop.RandoopTest4.test248()
  249    6   3    0 randoop.RandoopTest4.test249()
  250   20   3    0 randoop.RandoopTest4.test250()
  251   15   2    0 randoop.RandoopTest4.test251()
  252   47   3    0 randoop.RandoopTest4.test252()
  253    8   2    0 randoop.RandoopTest4.test253()
  254    6   3    0 randoop.RandoopTest4.test254()
  255    6   3    0 randoop.RandoopTest4.test255()
  256    6   3    0 randoop.RandoopTest4.test256()
  257    6   3    0 randoop.RandoopTest4.test257()
  258   34   3    0 randoop.RandoopTest4.test258()
  259   16   3    0 randoop.RandoopTest4.test259()
  260    4   2    0 randoop.RandoopTest4.test260()
  261   32   3    0 randoop.RandoopTest4.test261()
  262    8   2    0 randoop.RandoopTest4.test262()
  263   60   3    0 randoop.RandoopTest4.test263()
  264   35   3    0 randoop.RandoopTest4.test264()
  265    6   3    0 randoop.RandoopTest4.test265()
  266   18   2    0 randoop.RandoopTest4.test266()
  267   34   3    0 randoop.RandoopTest4.test267()
  268   61   3    0 randoop.RandoopTest4.test268()
  269   15   2    0 randoop.RandoopTest4.test269()
  270   11   2    0 randoop.RandoopTest4.test270()
  271   22   2    0 randoop.RandoopTest4.test271()
  272   25   3    0 randoop.RandoopTest4.test272()
  273    6   3    0 randoop.RandoopTest4.test273()
  274    6   3    0 randoop.RandoopTest4.test274()
  275    5   2    0 randoop.RandoopTest4.test275()
  276   37   2    0 randoop.RandoopTest4.test276()
  277    7   3    0 randoop.RandoopTest4.test277()
  278    6   3    0 randoop.RandoopTest4.test278()
  279    6   3    0 randoop.RandoopTest4.test279()
  280   75   3    0 randoop.RandoopTest4.test280()
  281    6   3    0 randoop.RandoopTest4.test281()
  282   23   2    0 randoop.RandoopTest4.test282()
  283    6   3    0 randoop.RandoopTest4.test283()
  284    6   3    0 randoop.RandoopTest4.test284()
  285    6   3    0 randoop.RandoopTest4.test285()
  286   15   2    0 randoop.RandoopTest4.test286()
  287   14   2    0 randoop.RandoopTest4.test287()
  288    6   2    0 randoop.RandoopTest4.test288()
  289   11   3    0 randoop.RandoopTest4.test289()
  290    6   3    0 randoop.RandoopTest4.test290()
  291    6   3    0 randoop.RandoopTest4.test291()
  292    6   3    0 randoop.RandoopTest4.test292()
  293    6   3    0 randoop.RandoopTest4.test293()
  294   19   3    0 randoop.RandoopTest4.test294()
  295    6   3    0 randoop.RandoopTest4.test295()
  296   13   2    0 randoop.RandoopTest4.test296()
  297   11   2    0 randoop.RandoopTest4.test297()
  298    6   3    0 randoop.RandoopTest4.test298()
  299   16   2    0 randoop.RandoopTest4.test299()
  300    6   3    0 randoop.RandoopTest4.test300()
  301    6   3    0 randoop.RandoopTest4.test301()
  302    6   3    0 randoop.RandoopTest4.test302()
  303    6   3    0 randoop.RandoopTest4.test303()
  304   18   2    0 randoop.RandoopTest4.test304()
  305    6   3    0 randoop.RandoopTest4.test305()
  306    6   3    0 randoop.RandoopTest4.test306()
  307   13   3    0 randoop.RandoopTest4.test307()
  308   34   3    0 randoop.RandoopTest4.test308()
  309    6   3    0 randoop.RandoopTest4.test309()
  310    9   2    0 randoop.RandoopTest4.test310()
  311   40   2    0 randoop.RandoopTest4.test311()
  312   19   2    0 randoop.RandoopTest4.test312()
  313   15   3    0 randoop.RandoopTest4.test313()
  314   19   2    0 randoop.RandoopTest4.test314()
  315    6   3    0 randoop.RandoopTest4.test315()
  316   50   3    0 randoop.RandoopTest4.test316()
  317    6   3    0 randoop.RandoopTest4.test317()
  318    6   3    0 randoop.RandoopTest4.test318()
  319    6   3    0 randoop.RandoopTest4.test319()
  320   23   2    0 randoop.RandoopTest4.test320()
  321    6   3    0 randoop.RandoopTest4.test321()
  322    6   3    0 randoop.RandoopTest4.test322()
  323    6   3    0 randoop.RandoopTest4.test323()
  324    6   3    0 randoop.RandoopTest4.test324()
  325    6   3    0 randoop.RandoopTest4.test325()
  326   19   3    0 randoop.RandoopTest4.test326()
  327   13   2    0 randoop.RandoopTest4.test327()
  328   23   2    0 randoop.RandoopTest4.test328()
  329    6   3    0 randoop.RandoopTest4.test329()
  330    6   3    0 randoop.RandoopTest4.test330()
  331   15   2    0 randoop.RandoopTest4.test331()
  332    6   3    0 randoop.RandoopTest4.test332()
  333    6   3    0 randoop.RandoopTest4.test333()
  334    6   3    0 randoop.RandoopTest4.test334()
  335    6   3    0 randoop.RandoopTest4.test335()
  336    6   3    0 randoop.RandoopTest4.test336()
  337   25   2    0 randoop.RandoopTest4.test337()
  338    6   3    0 randoop.RandoopTest4.test338()
  339    7   3    0 randoop.RandoopTest4.test339()
  340    6   3    0 randoop.RandoopTest4.test340()
  341    6   3    0 randoop.RandoopTest4.test341()
  342    9   2    0 randoop.RandoopTest4.test342()
  343    6   3    0 randoop.RandoopTest4.test343()
  344   99   2    0 randoop.RandoopTest4.test344()
  345   56   2    0 randoop.RandoopTest4.test345()
  346    6   3    0 randoop.RandoopTest4.test346()
  347   22   3    0 randoop.RandoopTest4.test347()
  348    6   3    0 randoop.RandoopTest4.test348()
  349    6   3    0 randoop.RandoopTest4.test349()
  350    6   3    0 randoop.RandoopTest4.test350()
  351   80   3    0 randoop.RandoopTest4.test351()
  352   15   3    0 randoop.RandoopTest4.test352()
  353    6   3    0 randoop.RandoopTest4.test353()
  354    6   3    0 randoop.RandoopTest4.test354()
  355    6   3    0 randoop.RandoopTest4.test355()
  356   15   2    0 randoop.RandoopTest4.test356()
  357    9   2    0 randoop.RandoopTest4.test357()
  358   38   2    0 randoop.RandoopTest4.test358()
  359    4   2    0 randoop.RandoopTest4.test359()
  360   19   2    0 randoop.RandoopTest4.test360()
  361    6   3    0 randoop.RandoopTest4.test361()
