Nr.   Classes Functions      NCSS  Javadocs Package
  1        11      5149    134885         0 randoop
    --------- --------- --------- ---------
           11      5149    134885         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     11.00   5149.00 134885.00      0.00 | Project
              11.00   5149.00 134885.00      0.00 | Package
                       468.09  12262.27      0.00 | Class
                                  26.20      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 13935       500       0        0 randoop.RandoopTest4
  2 14362       500       0        0 randoop.RandoopTest9
  3 11479       500       0        0 randoop.RandoopTest1
  4 4205       149       0        0 randoop.RandoopTest10
  5 12523       500       0        0 randoop.RandoopTest2
  6 13466       500       0        0 randoop.RandoopTest5
  7 14096       500       0        0 randoop.RandoopTest6
  8 15331       500       0        0 randoop.RandoopTest8
  9 15325       500       0        0 randoop.RandoopTest7
 10 12714       500       0        0 randoop.RandoopTest3
 11 7427       500       0        0 randoop.RandoopTest0
Average Object NCSS:             12,260.27
Average Object Functions:           468.09
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    134,885.00

 Nr. NCSS CCN JVDC Function
   1   59   2    0 randoop.RandoopTest4.test1()
   2   30   2    0 randoop.RandoopTest4.test2()
   3   20   2    0 randoop.RandoopTest4.test3()
   4   50   2    0 randoop.RandoopTest4.test4()
   5   14   2    0 randoop.RandoopTest4.test5()
   6    6   3    0 randoop.RandoopTest4.test6()
   7   11   2    0 randoop.RandoopTest4.test7()
   8   21   2    0 randoop.RandoopTest4.test8()
   9    6   2    0 randoop.RandoopTest4.test9()
  10   85   2    0 randoop.RandoopTest4.test10()
  11    6   3    0 randoop.RandoopTest4.test11()
  12   16   2    0 randoop.RandoopTest4.test12()
  13    5   2    0 randoop.RandoopTest4.test13()
  14    6   3    0 randoop.RandoopTest4.test14()
  15   71   2    0 randoop.RandoopTest4.test15()
  16   13   2    0 randoop.RandoopTest4.test16()
  17   69   2    0 randoop.RandoopTest4.test17()
  18   80   2    0 randoop.RandoopTest4.test18()
  19    6   3    0 randoop.RandoopTest4.test19()
  20   13   3    0 randoop.RandoopTest4.test20()
  21   11   2    0 randoop.RandoopTest4.test21()
  22   70   3    0 randoop.RandoopTest4.test22()
