Nr.   Classes Functions      NCSS  Javadocs Package
  1         1         7        24         8 org.jsecurity
  2         4        25       103        29 org.jsecurity.aop
  3        14       101       394       115 org.jsecurity.authc
  4         7        53       236        60 org.jsecurity.authc.credential
  5         3        43       280        46 org.jsecurity.authc.pam
  6         8       168       921       176 org.jsecurity.authz
  7        12        75       275        87 org.jsecurity.authz.aop
  8         5        34       139        39 org.jsecurity.authz.permission
  9         4        17        54        21 org.jsecurity.cache
 10         2        65       329        67 org.jsecurity.cache.ehcache
 11         4        88       360        92 org.jsecurity.codec
 12         5       104       658       109 org.jsecurity.config
 13         2        27       141        29 org.jsecurity.crypto
 14         6        63       251        69 org.jsecurity.crypto.hash
 15         7        85       386        92 org.jsecurity.io
 16         2        31       138        33 org.jsecurity.jndi
 17         2        17        67        19 org.jsecurity.mgt
 18         6       179       882       185 org.jsecurity.realm
 19         1        34       352        35 org.jsecurity.realm.jdbc
 20         1        11        49        12 org.jsecurity.realm.jndi
 21         2        16        59        18 org.jsecurity.realm.ldap
 22         2        66       401        68 org.jsecurity.realm.text
 23         9        86       347        95 org.jsecurity.session
 24        10       215      1344       225 org.jsecurity.session.mgt
 25         2        48       221        50 org.jsecurity.session.mgt.eis
 26         1         8        40         9 org.jsecurity.session.mgt.quartz
 27         2        41       229        43 org.jsecurity.spring
 28         2        24       150        26 org.jsecurity.spring.remoting
 29         1         8        34         9 org.jsecurity.spring.security.interceptor
 30         7        74       312        81 org.jsecurity.subject
 31         7       131       609       138 org.jsecurity.util
 32         5       204      1144       209 org.jsecurity.web
 33         1        36       303        37 org.jsecurity.web.attr
 34         2        55       436        57 org.jsecurity.web.config
 35         2        36       279        38 org.jsecurity.web.filter
 36         6        97       760       103 org.jsecurity.web.filter.authc
 37         3        25       154        28 org.jsecurity.web.filter.authz
 38         8       252      1606       260 org.jsecurity.web.servlet
 39         3        92       628        95 org.jsecurity.web.session
 40         7        57       235        64 org.jsecurity.web.tags
    --------- --------- --------- ---------
          178      2798     15330      2976 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    40.00    178.00   2798.00  15330.00   2976.00 | Project
               4.45     69.95    383.25     74.40 | Package
                        15.72     86.12     16.72 | Class
                                   5.48      1.06 | Function

Nr. NCSS Functions Classes Javadocs Class
  1    5         3       0        4 org.jsecurity.jndi.JndiCallbackTest
  2  123        28       0       29 org.jsecurity.jndi.JndiTemplateTest
  3   10         4       0        5 org.jsecurity.cache.HashtableCacheManagerTest
  4    5         3       0        4 org.jsecurity.cache.CacheTest
  5   21         7       0        8 org.jsecurity.cache.CacheExceptionTest
  6  113        29       0       30 org.jsecurity.cache.ehcache.EhCacheTest
  7  204        36       0       37 org.jsecurity.cache.ehcache.EhCacheManagerTest
  8    5         3       0        4 org.jsecurity.cache.CacheManagerAwareTest
  9   43        11       0       12 org.jsecurity.realm.jndi.JndiRealmFactoryTest
 10    5         3       0        4 org.jsecurity.realm.RealmTest
 11   70        17       0       18 org.jsecurity.realm.AuthenticatingRealmTest
 12  174        35       0       36 org.jsecurity.realm.SimpleAccountRealmTest
 13  198        26       0       27 org.jsecurity.realm.text.PropertiesRealmTest
 14  186        40       0       41 org.jsecurity.realm.text.TextConfigurationRealmTest
 15  331        34       0       35 org.jsecurity.realm.jdbc.JdbcRealmTest
 16    5         3       0        4 org.jsecurity.realm.RealmFactoryTest
 17  541       113       0      114 org.jsecurity.realm.AuthorizingRealmTest
 18    5         3       0        4 org.jsecurity.realm.ldap.LdapContextFactoryTest
 19   41        13       0       14 org.jsecurity.realm.ldap.LdapUtilsTest
 20   24         8       0        9 org.jsecurity.realm.CachingRealmTest
 21    5         3       0        4 org.jsecurity.util.DestroyableTest
 22   21         7       0        8 org.jsecurity.util.UnknownClassExceptionTest
 23   96        30       0       31 org.jsecurity.util.ThreadContextTest
 24  276        49       0       50 org.jsecurity.util.StringUtilsTest
 25  109        22       0       23 org.jsecurity.util.AntPathMatcherTest
 26   32         9       0       10 org.jsecurity.util.PermissionUtilsTest
 27   31        11       0       12 org.jsecurity.util.CollectionUtilsTest
 28   21         7       0        8 org.jsecurity.JSecurityExceptionTest
 29   21         7       0        8 org.jsecurity.io.SerializationExceptionTest
 30   75        17       0       18 org.jsecurity.io.TextResourceTest
 31   40        10       0       11 org.jsecurity.io.DefaultSerializerTest
 32   21         7       0        8 org.jsecurity.io.ResourceExceptionTest
 33  165        34       0       35 org.jsecurity.io.IniResourceTest
 34   25         7       0        8 org.jsecurity.io.XmlSerializerTest
 35    5         3       0        4 org.jsecurity.io.SerializerTest
 36   30         8       0        9 org.jsecurity.spring.security.interceptor.AopAllianceAnnotationsAuthorizingMethodInterceptorTest
 37  109        17       0       18 org.jsecurity.spring.remoting.SecureRemoteInvocationExecutorTest
 38   23         7       0        8 org.jsecurity.spring.remoting.SecureRemoteInvocationFactoryTest
 39   47        11       0       12 org.jsecurity.spring.LifecycleBeanPostProcessorTest
 40  166        30       0       31 org.jsecurity.spring.SpringIniWebConfigurationTest
 41    5         3       0        4 org.jsecurity.crypto.CipherTest
 42   35        10       0       11 org.jsecurity.crypto.hash.Sha256HashTest
 43   35        10       0       11 org.jsecurity.crypto.hash.Sha384HashTest
 44   35        10       0       11 org.jsecurity.crypto.hash.Md2HashTest
 45   87        20       0       21 org.jsecurity.crypto.hash.AbstractHashTest
 46    5         3       0        4 org.jsecurity.crypto.hash.HashTest
 47   35        10       0       11 org.jsecurity.crypto.hash.Sha1HashTest
 48  127        24       0       25 org.jsecurity.crypto.BlowfishCipherTest
 49  120        18       0       19 org.jsecurity.web.filter.AccessControlFilterTest
 50  277        33       0       34 org.jsecurity.web.filter.authc.FormAuthenticationFilterTest
 51   12         4       0        5 org.jsecurity.web.filter.authc.AnonymousFilterTest
 52   23         6       0        7 org.jsecurity.web.filter.authc.PassThruAuthenticationFilterTest
 53  236        31       0       32 org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilterTest
 54   83        15       0       16 org.jsecurity.web.filter.authc.AuthenticatingFilterTest
 55   38         8       0        9 org.jsecurity.web.filter.authc.UserFilterTest
 56   37         9       0       10 org.jsecurity.web.filter.authz.AuthorizationFilterTest
 57   47         9       0       10 org.jsecurity.web.filter.authz.PermissionsAuthorizationFilterTest
 58   33         7       0        8 org.jsecurity.web.filter.authz.RolesAuthorizationFilterTest
 59  123        18       0       19 org.jsecurity.web.filter.PathMatchingFilterTest
 60  218        44       0       45 org.jsecurity.web.servlet.JSecurityHttpServletRequestTest
 61   60        14       0       15 org.jsecurity.web.servlet.ProxiedFilterChainTest
 62  169        41       0       42 org.jsecurity.web.servlet.JSecurityHttpSessionTest
 63  156        34       0       35 org.jsecurity.web.servlet.JSecurityHttpServletResponseTest
 64  141        26       0       27 org.jsecurity.web.servlet.OncePerRequestFilterTest
 65  179        28       0       29 org.jsecurity.web.servlet.AdviceFilterTest
 66   62        13       0       14 org.jsecurity.web.servlet.ServletContextSupportTest
 67  507        52       0       53 org.jsecurity.web.servlet.JSecurityFilterTest
 68  290        36       0       37 org.jsecurity.web.attr.AbstractWebAttributeTest
 69   23         7       0        8 org.jsecurity.web.tags.HasRoleTagTest
 70   24         8       0        9 org.jsecurity.web.tags.UserTagTest
 71   18         6       0        7 org.jsecurity.web.tags.LacksRoleTagTest
 72   18         6       0        7 org.jsecurity.web.tags.LacksPermissionTagTest
 73   21         7       0        8 org.jsecurity.web.tags.RoleTagTest
 74   85        15       0       16 org.jsecurity.web.tags.PrincipalTagTest
 75   24         8       0        9 org.jsecurity.web.tags.NotAuthenticatedTagTest
 76   29         9       0       10 org.jsecurity.web.SavedRequestTest
 77  237        57       0       58 org.jsecurity.web.WebUtilsTest
 78  287        41       0       42 org.jsecurity.web.RedirectViewTest
 79  400        52       0       53 org.jsecurity.web.config.IniWebConfigurationTest
 80    5         3       0        4 org.jsecurity.web.config.WebConfigurationTest
 81  417        55       0       56 org.jsecurity.web.session.DefaultWebSessionManagerTest
 82   56        13       0       14 org.jsecurity.web.session.ServletContainerSessionManagerTest
 83   94        24       0       25 org.jsecurity.web.session.WebSessionTest
 84  128        29       0       30 org.jsecurity.web.WebRememberMeManagerTest
 85  393        68       0       69 org.jsecurity.web.DefaultWebSecurityManagerTest
 86    5         3       0        4 org.jsecurity.authc.AuthenticationListenerTest
 87   21         7       0        8 org.jsecurity.authc.AccountExceptionTest
 88    5         3       0        4 org.jsecurity.authc.InetAuthenticationTokenTest
 89   16         5       0        6 org.jsecurity.authc.credential.Md2CredentialsMatcherTest
 90   60        13       0       14 org.jsecurity.authc.credential.SimpleCredentialsMatcherTest
 91    5         3       0        4 org.jsecurity.authc.credential.CredentialsMatcherTest
 92   71        18       0       19 org.jsecurity.authc.credential.HashedCredentialsMatcherTest
 93   16         5       0        6 org.jsecurity.authc.credential.Sha1CredentialsMatcherTest
 94   16         5       0        6 org.jsecurity.authc.credential.Sha256CredentialsMatcherTest
 95   11         4       0        5 org.jsecurity.authc.credential.AllowAllCredentialsMatcherTest
 96  168        34       0       35 org.jsecurity.authc.SimpleAuthenticationInfoTest
 97   21         7       0        8 org.jsecurity.authc.UnknownAccountExceptionTest
 98   21         7       0        8 org.jsecurity.authc.CredentialsExceptionTest
 99   21         7       0        8 org.jsecurity.authc.ExpiredCredentialsExceptionTest
100   21         7       0        8 org.jsecurity.authc.AuthenticationExceptionTest
101    5         3       0        4 org.jsecurity.authc.LogoutAwareTest
102   21         7       0        8 org.jsecurity.authc.IncorrectCredentialsExceptionTest
103    5         3       0        4 org.jsecurity.authc.AuthenticationListenerRegistrarTest
104    5         3       0        4 org.jsecurity.authc.AccountTest
105   21         7       0        8 org.jsecurity.authc.ExcessiveAttemptsExceptionTest
106    5         3       0        4 org.jsecurity.authc.AuthenticationTokenTest
107  227        33       0       34 org.jsecurity.authc.pam.ModularRealmAuthenticatorTest
108   21         7       0        8 org.jsecurity.authc.pam.UnsupportedTokenExceptionTest
