Nr.   Classes Functions      NCSS  Javadocs Package
  1         3         5        48         0 org.jsecurity.aop
  2         7        71       509         0 org.jsecurity.authc
  3        11        29       264         0 org.jsecurity.authc.credential
  4         5        28       274         0 org.jsecurity.authc.pam
  5         4        87       616         0 org.jsecurity.authz
  6        14        13       144         0 org.jsecurity.authz.aop
  7         3        10        78         0 org.jsecurity.authz.permission
  8         2        10        64         0 org.jsecurity.cache
  9         3        32       194         0 org.jsecurity.codec
 10         4        26       188         0 org.jsecurity.config
 11         1         3        26         0 org.jsecurity.crypto
 12         7        32       173         0 org.jsecurity.crypto.hash
 13         6        29       188         0 org.jsecurity.io
 14         2        15       103         0 org.jsecurity.jndi
 15         4        52       389         0 org.jsecurity.realm
 16         1         7        66         0 org.jsecurity.realm.activedirectory
 17         1        12        80         0 org.jsecurity.realm.jdbc
 18         1         4        32         0 org.jsecurity.realm.jndi
 19         3        21       135         0 org.jsecurity.realm.ldap
 20         2        11        78         0 org.jsecurity.realm.text
 21         1         1        13         0 org.jsecurity.session
 22         1         0         6         0 org.jsecurity.session.mgt
 23         2        45       283         0 org.jsecurity.subject
 24         7        80       363         0 org.jsecurity.util
 25         3        14        73         0 org.jsecurity.web
 26         3        10        47         0 org.jsecurity.web.attr
 27         1         1         9         0 org.jsecurity.web.servlet
 28         1         0         6         0 org.jsecurity.web.session
    --------- --------- --------- ---------
          103       648      4449         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    28.00    103.00    648.00   4449.00      0.00 | Project
               3.68     23.14    158.89      0.00 | Package
                         6.29     43.19      0.00 | Class
                                   6.87      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   51         9       0        0 org.jsecurity.jndi.JndiLocatorEvoSuiteTest
  2   33         6       0        0 org.jsecurity.jndi.JndiTemplateEvoSuiteTest
  3    4         1       0        0 org.jsecurity.cache.HashtableCacheManagerEvoSuiteTest
  4   45         9       0        0 org.jsecurity.cache.HashtableCacheEvoSuiteTest
  5   46         7       0        0 org.jsecurity.realm.activedirectory.ActiveDirectoryRealmEvoSuiteTest
  6   24         4       0        0 org.jsecurity.realm.jndi.JndiRealmFactoryEvoSuiteTest
  7   23         4       0        0 org.jsecurity.realm.AuthenticatingRealmEvoSuiteTest
  8   11         2       0        0 org.jsecurity.realm.CachingRealmEvoSuiteTest
  9   34         6       0        0 org.jsecurity.realm.text.TextConfigurationRealmEvoSuiteTest
 10   23         5       0        0 org.jsecurity.realm.text.PropertiesRealmEvoSuiteTest
 11   61        12       0        0 org.jsecurity.realm.jdbc.JdbcRealmEvoSuiteTest
 12  240        36       0        0 org.jsecurity.realm.AuthorizingRealmEvoSuiteTest
 13   31         7       0        0 org.jsecurity.realm.ldap.AbstractLdapRealmEvoSuiteTest
 14   64        11       0        0 org.jsecurity.realm.ldap.DefaultLdapContextFactoryEvoSuiteTest
 15   11         3       0        0 org.jsecurity.realm.ldap.LdapUtilsEvoSuiteTest
 16   53        10       0        0 org.jsecurity.realm.SimpleAccountRealmEvoSuiteTest
 17  132        30       0        0 org.jsecurity.util.AntPathMatcherEvoSuiteTest
 18   24         6       0        0 org.jsecurity.util.CollectionUtilsEvoSuiteTest
 19    7         3       0        0 org.jsecurity.util.JdbcUtilsEvoSuiteTest
 20   81        26       0        0 org.jsecurity.util.StringUtilsEvoSuiteTest
 21   12         3       0        0 org.jsecurity.util.PermissionUtilsEvoSuiteTest
 22   10         3       0        0 org.jsecurity.util.JavaEnvironmentEvoSuiteTest
 23   39         9       0        0 org.jsecurity.util.ClassUtilsEvoSuiteTest
 24   22         4       0        0 org.jsecurity.io.IniResourceEvoSuiteTest
 25   40        12       0        0 org.jsecurity.io.ResourceUtilsEvoSuiteTest
 26   25         4       0        0 org.jsecurity.io.TextResourceEvoSuiteTest
 27   16         3       0        0 org.jsecurity.io.XmlSerializerEvoSuiteTest
 28   21         4       0        0 org.jsecurity.io.DefaultSerializerEvoSuiteTest
 29   11         2       0        0 org.jsecurity.io.AbstractResourceEvoSuiteTest
 30   11         3       0        0 org.jsecurity.crypto.hash.Sha384HashEvoSuiteTest
 31   51         9       0        0 org.jsecurity.crypto.hash.AbstractHashEvoSuiteTest
 32   13         4       0        0 org.jsecurity.crypto.hash.Sha512HashEvoSuiteTest
 33   10         3       0        0 org.jsecurity.crypto.hash.Sha1HashEvoSuiteTest
 34   17         5       0        0 org.jsecurity.crypto.hash.Md5HashEvoSuiteTest
 35   10         3       0        0 org.jsecurity.crypto.hash.Md2HashEvoSuiteTest
 36   17         5       0        0 org.jsecurity.crypto.hash.Sha256HashEvoSuiteTest
 37   18         3       0        0 org.jsecurity.crypto.BlowfishCipherEvoSuiteTest
 38    3         1       0        0 org.jsecurity.web.servlet.ServletContextSupportEvoSuiteTest
 39    7         3       0        0 org.jsecurity.web.RedirectViewEvoSuiteTest
 40    8         3       0        0 org.jsecurity.web.attr.AbstractWebAttributeEvoSuiteTest
 41   12         5       0        0 org.jsecurity.web.attr.CookieAttributeEvoSuiteTest
 42    5         2       0        0 org.jsecurity.web.attr.RequestParamAttributeEvoSuiteTest
 43    1         0       0        0 org.jsecurity.web.session.WebSessionEvoSuiteTest
 44   46        11       0        0 org.jsecurity.web.WebRememberMeManagerEvoSuiteTest
 45    1         0       0        0 org.jsecurity.web.SavedRequestEvoSuiteTest
 46   27         4       0        0 org.jsecurity.authc.credential.SimpleCredentialsMatcherEvoSuiteTest
 47    9         2       0        0 org.jsecurity.authc.credential.Sha1CredentialsMatcherEvoSuiteTest
 48   13         2       0        0 org.jsecurity.authc.credential.Md5CredentialsMatcherEvoSuiteTest
 49   66        10       2        0 org.jsecurity.authc.credential.HashedCredentialsMatcherEvoSuiteTest
 50    9         1       0        0 org.jsecurity.authc.credential.HashedCredentialsMatcherEvoSuiteTest.Runnable
 51   10         1       0        0 org.jsecurity.authc.credential.HashedCredentialsMatcherEvoSuiteTest.Runnable
 52   10         2       0        0 org.jsecurity.authc.credential.Md2CredentialsMatcherEvoSuiteTest
 53   12         2       0        0 org.jsecurity.authc.credential.Sha256CredentialsMatcherEvoSuiteTest
 54   10         2       0        0 org.jsecurity.authc.credential.Sha384CredentialsMatcherEvoSuiteTest
 55    9         2       0        0 org.jsecurity.authc.credential.Sha512CredentialsMatcherEvoSuiteTest
 56    8         1       0        0 org.jsecurity.authc.credential.AllowAllCredentialsMatcherEvoSuiteTest
 57   90        13       0        0 org.jsecurity.authc.SimpleAuthenticationInfoEvoSuiteTest
 58   91        14       2        0 org.jsecurity.authc.AbstractAuthenticatorEvoSuiteTest
 59   11         1       0        0 org.jsecurity.authc.AbstractAuthenticatorEvoSuiteTest.Runnable
 60   12         1       0        0 org.jsecurity.authc.AbstractAuthenticatorEvoSuiteTest.Runnable
 61  145        23       0        0 org.jsecurity.authc.SimpleAccountEvoSuiteTest
 62   21         3       0        0 org.jsecurity.authc.pam.AtLeastOneSuccessfulModularAuthenticationStrategyEvoSuiteTest
 63   28         5       0        0 org.jsecurity.authc.pam.FirstSuccessfulAuthenticationStrategyEvoSuiteTest
 64   42         6       0        0 org.jsecurity.authc.pam.AbstractAuthenticationStrategyEvoSuiteTest
 65   72        11       0        0 org.jsecurity.authc.pam.ModularRealmAuthenticatorEvoSuiteTest
 66   27         3       0        0 org.jsecurity.authc.pam.AllSuccessfulModularAuthenticationStrategyEvoSuiteTest
 67   98        18       1        0 org.jsecurity.authc.UsernamePasswordTokenEvoSuiteTest
 68    6         1       0        0 org.jsecurity.authc.UsernamePasswordTokenEvoSuiteTest.Runnable
 69   44         8       0        0 org.jsecurity.config.IniConfigurationEvoSuiteTest
 70    9         2       0        0 org.jsecurity.config.ResourceConfigurationEvoSuiteTest
 71   83        14       0        0 org.jsecurity.config.ReflectionBuilderEvoSuiteTest
 72   12         2       0        0 org.jsecurity.config.TextConfigurationEvoSuiteTest
 73   43         8       0        0 org.jsecurity.codec.CodecSupportEvoSuiteTest
 74   23         5       0        0 org.jsecurity.codec.HexEvoSuiteTest
 75   98        19       0        0 org.jsecurity.codec.Base64EvoSuiteTest
 76   98        19       0        0 org.jsecurity.subject.AbstractRememberMeManagerEvoSuiteTest
 77  153        26       0        0 org.jsecurity.subject.SimplePrincipalCollectionEvoSuiteTest
 78    6         1       0        0 org.jsecurity.session.ProxiedSessionEvoSuiteTest
 79    1         0       0        0 org.jsecurity.session.mgt.ImmutableProxiedSessionEvoSuiteTest
 80  214        34       0        0 org.jsecurity.authz.SimpleAuthorizingAccountEvoSuiteTest
 81  156        21       0        0 org.jsecurity.authz.ModularRealmAuthorizerEvoSuiteTest
 82   95        16       0        0 org.jsecurity.authz.SimpleRoleEvoSuiteTest
 83   80        16       0        0 org.jsecurity.authz.SimpleAuthorizationInfoEvoSuiteTest
 84    6         1       0        0 org.jsecurity.authz.permission.WildcardPermissionResolverEvoSuiteTest
 85   44         8       0        0 org.jsecurity.authz.permission.WildcardPermissionEvoSuiteTest
 86    6         1       0        0 org.jsecurity.authz.permission.AllPermissionEvoSuiteTest
 87    9         2       0        0 org.jsecurity.authz.aop.PermissionAnnotationHandlerEvoSuiteTest
 88    3         1       0        0 org.jsecurity.authz.aop.AuthenticatedAnnotationMethodInterceptorEvoSuiteTest
 89    3         1       0        0 org.jsecurity.authz.aop.AuthorizingAnnotationHandlerEvoSuiteTest
 90    4         1       0        0 org.jsecurity.authz.aop.AuthenticatedAnnotationHandlerEvoSuiteTest
 91    3         1       0        0 org.jsecurity.authz.aop.UserAnnotationMethodInterceptorEvoSuiteTest
 92    4         1       0        0 org.jsecurity.authz.aop.RoleAnnotationHandlerEvoSuiteTest
 93    6         1       0        0 org.jsecurity.authz.aop.AuthorizingAnnotationMethodInterceptorEvoSuiteTest
 94    3         1       0        0 org.jsecurity.authz.aop.PermissionAnnotationMethodInterceptorEvoSuiteTest
 95    3         1       0        0 org.jsecurity.authz.aop.RoleAnnotationMethodInterceptorEvoSuiteTest
 96    1         0       0        0 org.jsecurity.authz.aop.AnnotationsAuthorizingMethodInterceptorEvoSuiteTest
 97    4         1       0        0 org.jsecurity.authz.aop.UserAnnotationHandlerEvoSuiteTest
 98    1         0       0        0 org.jsecurity.authz.aop.AuthorizingMethodInterceptorEvoSuiteTest
 99    4         1       0        0 org.jsecurity.authz.aop.GuestAnnotationHandlerEvoSuiteTest
100    3         1       0        0 org.jsecurity.authz.aop.GuestAnnotationMethodInterceptorEvoSuiteTest
