Nr.   Classes Functions      NCSS  Javadocs Package
  1         9      4300    151430         0 randoop
    --------- --------- --------- ---------
            9      4300    151430         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00      9.00   4300.00 151430.00      0.00 | Project
               9.00   4300.00 151430.00      0.00 | Package
                       477.78  16825.56      0.00 | Class
                                  35.22      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 18658       500       0        0 randoop.RandoopTest4
  2 17269       500       0        0 randoop.RandoopTest1
  3 17650       500       0        0 randoop.RandoopTest2
  4 18720       500       0        0 randoop.RandoopTest5
  5 18156       500       0        0 randoop.RandoopTest6
  6 11371       300       0        0 randoop.RandoopTest8
  7 18849       500       0        0 randoop.RandoopTest7
  8 18398       500       0        0 randoop.RandoopTest3
  9 12341       500       0        0 randoop.RandoopTest0
Average Object NCSS:             16,823.56
Average Object Functions:           477.78
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    151,430.00

 Nr. NCSS CCN JVDC Function
   1   26   2    0 randoop.RandoopTest4.test1()
   2    6   2    0 randoop.RandoopTest4.test2()
   3   10   2    0 randoop.RandoopTest4.test3()
   4   57   2    0 randoop.RandoopTest4.test4()
   5    5   2    0 randoop.RandoopTest4.test5()
   6   38   2    0 randoop.RandoopTest4.test6()
   7   84   2    0 randoop.RandoopTest4.test7()
   8   71   2    0 randoop.RandoopTest4.test8()
   9   25   2    0 randoop.RandoopTest4.test9()
  10   22   2    0 randoop.RandoopTest4.test10()
  11   80   3    0 randoop.RandoopTest4.test11()
  12   84   3    0 randoop.RandoopTest4.test12()
  13   59   3    0 randoop.RandoopTest4.test13()
  14   12   2    0 randoop.RandoopTest4.test14()
  15    7   2    0 randoop.RandoopTest4.test15()
  16   31   2    0 randoop.RandoopTest4.test16()
  17   90   2    0 randoop.RandoopTest4.test17()
  18   63   3    0 randoop.RandoopTest4.test18()
  19   11   2    0 randoop.RandoopTest4.test19()
  20   54   2    0 randoop.RandoopTest4.test20()
  21    8   2    0 randoop.RandoopTest4.test21()
  22   81   3    0 randoop.RandoopTest4.test22()
