Nr.   Classes Functions      NCSS  Javadocs Package
  1        24     11910    288705         0 randoop
    --------- --------- --------- ---------
           24     11910    288705         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     24.00  11910.00 288705.00      0.00 | Project
              24.00  11910.00 288705.00      0.00 | Package
                       496.25  12029.38      0.00 | Class
                                  24.24      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 11628       500       0        0 randoop.RandoopTest4
  2 12562       500       0        0 randoop.RandoopTest22
  3 12020       500       0        0 randoop.RandoopTest9
  4 9436       499       0        0 randoop.RandoopTest1
  5 13786       500       0        0 randoop.RandoopTest21
  6 12370       500       0        0 randoop.RandoopTest10
  7 9629       499       0        0 randoop.RandoopTest2
  8 12836       500       0        0 randoop.RandoopTest11
  9 11138       413       0        0 randoop.RandoopTest23
 10 11513       500       0        0 randoop.RandoopTest5
 11 13132       500       0        0 randoop.RandoopTest20
 12 13158       500       0        0 randoop.RandoopTest12
 13 12018       500       0        0 randoop.RandoopTest6
 14 13236       500       0        0 randoop.RandoopTest16
 15 11852       500       0        0 randoop.RandoopTest8
 16 12566       500       0        0 randoop.RandoopTest7
 17 11118       499       0        0 randoop.RandoopTest3
 18 12930       500       0        0 randoop.RandoopTest18
 19 12638       500       0        0 randoop.RandoopTest17
 20 7002       500       0        0 randoop.RandoopTest0
 21 13270       500       0        0 randoop.RandoopTest13
 22 13320       500       0        0 randoop.RandoopTest19
 23 13099       500       0        0 randoop.RandoopTest15
 24 12400       500       0        0 randoop.RandoopTest14
Average Object NCSS:             12,027.38
Average Object Functions:           496.25
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    288,705.00

  Nr. NCSS CCN JVDC Function
    1    4   2    0 randoop.RandoopTest4.test1()
    2   52   2    0 randoop.RandoopTest4.test2()
    3    5   2    0 randoop.RandoopTest4.test3()
    4   23   3    0 randoop.RandoopTest4.test4()
    5   55   3    0 randoop.RandoopTest4.test5()
    6   30   3    0 randoop.RandoopTest4.test6()
    7   13   2    0 randoop.RandoopTest4.test7()
    8    5   2    0 randoop.RandoopTest4.test8()
    9    5   2    0 randoop.RandoopTest4.test9()
   10    4   2    0 randoop.RandoopTest4.test10()
   11   11   3    0 randoop.RandoopTest4.test11()
   12    4   2    0 randoop.RandoopTest4.test12()
   13   29   2    0 randoop.RandoopTest4.test13()
   14   15   3    0 randoop.RandoopTest4.test14()
   15    6   3    0 randoop.RandoopTest4.test15()
   16   23   3    0 randoop.RandoopTest4.test16()
   17    5   2    0 randoop.RandoopTest4.test17()
   18    5   2    0 randoop.RandoopTest4.test18()
