Nr.   Classes Functions      NCSS  Javadocs Package
  1         3      1453     51654         0 randoop
    --------- --------- --------- ---------
            3      1453     51654         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00      3.00   1453.00  51654.00      0.00 | Project
               3.00   1453.00  51654.00      0.00 | Package
                       484.33  17218.00      0.00 | Class
                                  35.55      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 18729       500       0        0 randoop.RandoopTest1
  2 16760       453       0        0 randoop.RandoopTest2
  3 16159       500       0        0 randoop.RandoopTest0
Average Object NCSS:             17,216.00
Average Object Functions:           484.33
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    51,654.00

 Nr. NCSS CCN JVDC Function
   1   17   2    0 randoop.RandoopTest1.test1()
   2   23   2    0 randoop.RandoopTest1.test2()
   3   33   3    0 randoop.RandoopTest1.test3()
   4   19   2    0 randoop.RandoopTest1.test4()
   5   20   2    0 randoop.RandoopTest1.test5()
   6    4   2    0 randoop.RandoopTest1.test6()
   7  112   3    0 randoop.RandoopTest1.test7()
   8   91   2    0 randoop.RandoopTest1.test8()
   9   11   2    0 randoop.RandoopTest1.test9()
  10    7   2    0 randoop.RandoopTest1.test10()
  11   79   2    0 randoop.RandoopTest1.test11()
  12   48   3    0 randoop.RandoopTest1.test12()
  13   62   2    0 randoop.RandoopTest1.test13()
  14   84   2    0 randoop.RandoopTest1.test14()
  15   21   2    0 randoop.RandoopTest1.test15()
  16    7   2    0 randoop.RandoopTest1.test16()
  17   11   2    0 randoop.RandoopTest1.test17()
  18   79   2    0 randoop.RandoopTest1.test18()
  19   93   2    0 randoop.RandoopTest1.test19()
  20    6   2    0 randoop.RandoopTest1.test20()
  21   54   3    0 randoop.RandoopTest1.test21()
  22   58   2    0 randoop.RandoopTest1.test22()
  23   35   2    0 randoop.RandoopTest1.test23()
  24    6   2    0 randoop.RandoopTest1.test24()
  25   53   3    0 randoop.RandoopTest1.test25()
  26   16   2    0 randoop.RandoopTest1.test26()
  27   41   2    0 randoop.RandoopTest1.test27()
  28   21   2    0 randoop.RandoopTest1.test28()
  29  103   3    0 randoop.RandoopTest1.test29()
  30   11   3    0 randoop.RandoopTest1.test30()
  31   15   2    0 randoop.RandoopTest1.test31()
  32   15   3    0 randoop.RandoopTest1.test32()
  33    4   2    0 randoop.RandoopTest1.test33()
  34   29   2    0 randoop.RandoopTest1.test34()
  35   31   2    0 randoop.RandoopTest1.test35()
  36   97   2    0 randoop.RandoopTest1.test36()
  37   14   2    0 randoop.RandoopTest1.test37()
  38   84   3    0 randoop.RandoopTest1.test38()
  39    7   3    0 randoop.RandoopTest1.test39()
  40   10   2    0 randoop.RandoopTest1.test40()
  41    4   2    0 randoop.RandoopTest1.test41()
  42   24   2    0 randoop.RandoopTest1.test42()
  43   47   3    0 randoop.RandoopTest1.test43()
  44   86   3    0 randoop.RandoopTest1.test44()
  45   80   2    0 randoop.RandoopTest1.test45()
  46   68   3    0 randoop.RandoopTest1.test46()
  47   25   2    0 randoop.RandoopTest1.test47()
  48   16   2    0 randoop.RandoopTest1.test48()
