Nr.   Classes Functions      NCSS  Javadocs Package
  1        20       507      2370       527 com.sap.engine.services.dc.wsgate
  2        46      1723      7957      1769 com.sap.managementconsole.soap.axis.sapcontrol
  3         4        20        63        24 com.sap.managementconsole.soap.axis.sapcontrol.holders
  4        27       687      3254       714 com.sap.managementconsole.soap.axis.saphostcontrol
  5         3        15        48        18 com.sap.managementconsole.soap.axis.saphostcontrol.holders
  6        19        93       303       112 com.sap.netweaver.porta.core
  7         7       116       562       123 com.sap.netweaver.porta.core.mock
  8        16       223      1140       239 com.sap.netweaver.porta.core.nw7
  9        12       128       404       140 com.sap.netweaver.porta.core.snippets
 10         1        15        57        16 com.sap.netweaver.porta.ide.eclipse
 11         1        13        48        14 com.sap.netweaver.porta.ide.eclipse.axis.proxy
 12         2        49       250        51 com.sap.netweaver.porta.ide.eclipse.server
 13        10       162       759       172 com.sap.netweaver.porta.ide.eclipse.server.control
 14         5        41       168        46 com.sap.netweaver.porta.ide.eclipse.server.runtime
 15         3        25       125        28 com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs
 16         1         9        51        10 com.sap.netweaver.porta.ide.eclipse.server.ui.editor
 17         2        49       234        51 com.sap.netweaver.porta.ide.eclipse.server.ui.wizard
 18         5        54       201        59 com.sap.netweaver.porta.ide.eclipse.util
 19        17       182       697       199 com.sap.netweaver.porta.mon
    --------- --------- --------- ---------
          201      4111     18691      4312 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    19.00    201.00   4111.00  18691.00   4312.00 | Project
              10.58    216.37    983.74    226.95 | Package
                        20.45     92.99     21.45 | Class
                                   4.55      1.05 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   77        19       0       20 com.sap.managementconsole.soap.axis.saphostcontrol.ServiceIdentifierTest
  2  188        31       0       32 com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_ServiceLocatorTest
  3  126        31       0       32 com.sap.managementconsole.soap.axis.saphostcontrol.CIMObjectTest
  4   86        21       0       22 com.sap.managementconsole.soap.axis.saphostcontrol.InstanceServiceOperationTest
  5  616       113       0      114 com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_BindingStubTest
  6   12         5       0        6 com.sap.managementconsole.soap.axis.saphostcontrol.holders.DatabaseComponentHolderTest
  7   12         5       0        6 com.sap.managementconsole.soap.axis.saphostcontrol.holders.ArrayOfDatabaseComponentHolderTest
  8   12         5       0        6 com.sap.managementconsole.soap.axis.saphostcontrol.holders.DatabaseStatusHolderTest
  9   70        18       0       19 com.sap.managementconsole.soap.axis.saphostcontrol.ServiceTypeTest
 10  211        36       0       37 com.sap.managementconsole.soap.axis.saphostcontrol.OperationExceptionTest
 11  115        28       0       29 com.sap.managementconsole.soap.axis.saphostcontrol.OperationOptionsTest
 12  105        25       0       26 com.sap.managementconsole.soap.axis.saphostcontrol.CIMAttributeTest
 13   70        18       0       19 com.sap.managementconsole.soap.axis.saphostcontrol.InstanceOptionsFlagsTest
 14  115        28       0       29 com.sap.managementconsole.soap.axis.saphostcontrol.OperationResultTest
 15  110        27       0       28 com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationTest
 16   70        18       0       19 com.sap.managementconsole.soap.axis.saphostcontrol.OperationCodeTest
 17   91        22       0       23 com.sap.managementconsole.soap.axis.saphostcontrol.ResponseMessageTest
 18   86        21       0       22 com.sap.managementconsole.soap.axis.saphostcontrol.TargetServiceTest
 19   70        18       0       19 com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationCodeTest
 20   70        18       0       19 com.sap.managementconsole.soap.axis.saphostcontrol.InstanceStatusTest
 21  114        27       0       28 com.sap.managementconsole.soap.axis.saphostcontrol.SAPInstanceTest
 22   91        22       0       23 com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationArgumentsTest
 23   86        21       0       22 com.sap.managementconsole.soap.axis.saphostcontrol.InstanceSelectorTest
 24   91        22       0       23 com.sap.managementconsole.soap.axis.saphostcontrol.PropertyTest
 25   70        18       0       19 com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseStatusTest
 26    5         3       0        4 com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControlInterfaceTest
 27  110        27       0       28 com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseComponentTest
 28    5         3       0        4 com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_ServiceTest
 29   70        18       0       19 com.sap.managementconsole.soap.axis.saphostcontrol.CancelOperationTypeTest
 30  140        34       0       35 com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseTest
 31  153        36       0       37 com.sap.managementconsole.soap.axis.sapcontrol.J2EEWebSessionTest
 32   70        18       0       19 com.sap.managementconsole.soap.axis.sapcontrol.RESTRICTIONTYPETest
 33    5         3       0        4 com.sap.managementconsole.soap.axis.sapcontrol.SAPControl_ServiceTest
 34  101        25       0       26 com.sap.managementconsole.soap.axis.sapcontrol.OSProcessTest
 35   70        18       0       19 com.sap.managementconsole.soap.axis.sapcontrol.STATECOLORTest
 36  189        44       0       45 com.sap.managementconsole.soap.axis.sapcontrol.GCInfoTest
 37  173        41       0       42 com.sap.managementconsole.soap.axis.sapcontrol.J2EEEJBSessionTest
 38   12         5       0        6 com.sap.managementconsole.soap.axis.sapcontrol.holders.AlertHolderTest
 39   12         5       0        6 com.sap.managementconsole.soap.axis.sapcontrol.holders.ArrayOfStringHolderTest
 40   12         5       0        6 com.sap.managementconsole.soap.axis.sapcontrol.holders.STATECOLORHolderTest
 41   12         5       0        6 com.sap.managementconsole.soap.axis.sapcontrol.holders.ArrayOfAlertHolderTest
 42  145        34       0       35 com.sap.managementconsole.soap.axis.sapcontrol.HeapInfoTest
 43  167        39       0       40 com.sap.managementconsole.soap.axis.sapcontrol.J2EEClusterMsgTest
 44  116        28       0       29 com.sap.managementconsole.soap.axis.sapcontrol.ProfileParameterTest
 45  209        49       0       50 com.sap.managementconsole.soap.axis.sapcontrol.J2EECache2Test
 46  110        27       0       28 com.sap.managementconsole.soap.axis.sapcontrol.SyslogEntryTest
 47 1738       332       0      333 com.sap.managementconsole.soap.axis.sapcontrol.SAPControl_BindingStubTest
 48  123        29       0       30 com.sap.managementconsole.soap.axis.sapcontrol.ICMThreadTest
 49  141        34       0       35 com.sap.managementconsole.soap.axis.sapcontrol.ParameterRestrictionTest
 50  105        25       0       26 com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest
 51  123        29       0       30 com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAliasTest
 52  146        35       0       36 com.sap.managementconsole.soap.axis.sapcontrol.ICMConnectionTest
 53  101        25       0       26 com.sap.managementconsole.soap.axis.sapcontrol.AlertTest
 54  123        29       0       30 com.sap.managementconsole.soap.axis.sapcontrol.AccessPointTest
 55  153        36       0       37 com.sap.managementconsole.soap.axis.sapcontrol.J2EERemoteObjectTest
 56  105        25       0       26 com.sap.managementconsole.soap.axis.sapcontrol.InstancePropertyTest
 57  161        38       0       39 com.sap.managementconsole.soap.axis.sapcontrol.WorkProcessTest
 58  179        42       0       43 com.sap.managementconsole.soap.axis.sapcontrol.ICMProxyConnectionTest
 59  150        36       0       37 com.sap.managementconsole.soap.axis.sapcontrol.EnqLockTest
 60  127        30       0       31 com.sap.managementconsole.soap.axis.sapcontrol.SubProfileParameterTest
 61  152        36       0       37 com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread2Test
 62  153        36       0       37 com.sap.managementconsole.soap.axis.sapcontrol.J2EESessionTest
 63  129        31       0       32 com.sap.managementconsole.soap.axis.sapcontrol.SetProfileParameterTest
 64   70        18       0       19 com.sap.managementconsole.soap.axis.sapcontrol.J2EEPSTATETest
 65  173        41       0       42 com.sap.managementconsole.soap.axis.sapcontrol.J2EEProcess2Test
 66   70        18       0       19 com.sap.managementconsole.soap.axis.sapcontrol.VISIBLELEVELTest
 67  207        48       0       49 com.sap.managementconsole.soap.axis.sapcontrol.GCInfo2Test
