Nr.   Classes Functions      NCSS  Javadocs Package
  1        17      8500    184813         0 randoop
    --------- --------- --------- ---------
           17      8500    184813         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     17.00   8500.00 184813.00      0.00 | Project
              17.00   8500.00 184813.00      0.00 | Package
                       500.00  10871.35      0.00 | Class
                                  21.74      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 10644       500       0        0 randoop.RandoopTest4
  2 12076       500       0        0 randoop.RandoopTest9
  3 7924       500       0        0 randoop.RandoopTest1
  4 12284       500       0        0 randoop.RandoopTest10
  5 8908       500       0        0 randoop.RandoopTest2
  6 12256       500       0        0 randoop.RandoopTest11
  7 11666       500       0        0 randoop.RandoopTest5
  8 10970       500       0        0 randoop.RandoopTest12
  9 11022       500       0        0 randoop.RandoopTest6
 10 12991       500       0        0 randoop.RandoopTest16
 11 11012       500       0        0 randoop.RandoopTest8
 12 11538       500       0        0 randoop.RandoopTest7
 13 9355       500       0        0 randoop.RandoopTest3
 14 12929       500       0        0 randoop.RandoopTest17
 15 5099       500       0        0 randoop.RandoopTest0
 16 12565       500       0        0 randoop.RandoopTest15
 17 11540       500       0        0 randoop.RandoopTest14
Average Object NCSS:             10,869.35
Average Object Functions:           500.00
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    184,813.00

 Nr. NCSS CCN JVDC Function
   1   60   3    0 randoop.RandoopTest4.test1()
   2   19   2    0 randoop.RandoopTest4.test2()
   3    6   2    0 randoop.RandoopTest4.test3()
   4   18   3    0 randoop.RandoopTest4.test4()
   5    9   3    0 randoop.RandoopTest4.test5()
   6   16   3    0 randoop.RandoopTest4.test6()
   7   17   2    0 randoop.RandoopTest4.test7()
   8    6   3    0 randoop.RandoopTest4.test8()
   9    7   3    0 randoop.RandoopTest4.test9()
  10    4   2    0 randoop.RandoopTest4.test10()
  11   16   3    0 randoop.RandoopTest4.test11()
  12   26   2    0 randoop.RandoopTest4.test12()
  13  152   2    0 randoop.RandoopTest4.test13()
  14    6   3    0 randoop.RandoopTest4.test14()
  15    4   2    0 randoop.RandoopTest4.test15()
  16   14   2    0 randoop.RandoopTest4.test16()
  17   12   3    0 randoop.RandoopTest4.test17()
  18   10   3    0 randoop.RandoopTest4.test18()
  19   20   3    0 randoop.RandoopTest4.test19()
  20   20   3    0 randoop.RandoopTest4.test20()
  21   89   2    0 randoop.RandoopTest4.test21()
  22   11   3    0 randoop.RandoopTest4.test22()
  23   13   2    0 randoop.RandoopTest4.test23()
  24   25   3    0 randoop.RandoopTest4.test24()
  25   58   2    0 randoop.RandoopTest4.test25()
  26    9   3    0 randoop.RandoopTest4.test26()
  27   26   2    0 randoop.RandoopTest4.test27()
  28    6   3    0 randoop.RandoopTest4.test28()
  29   13   3    0 randoop.RandoopTest4.test29()
  30   13   3    0 randoop.RandoopTest4.test30()
  31   10   3    0 randoop.RandoopTest4.test31()
  32   25   2    0 randoop.RandoopTest4.test32()
  33   18   2    0 randoop.RandoopTest4.test33()
  34   12   3    0 randoop.RandoopTest4.test34()
  35    7   3    0 randoop.RandoopTest4.test35()
