Nr.   Classes Functions      NCSS  Javadocs Package
  1        20       235      1702       127 com.sap.engine.services.dc.wsgate
  2        46      1181      9822       942 com.sap.managementconsole.soap.axis.sapcontrol
  3         4         8        24         4 com.sap.managementconsole.soap.axis.sapcontrol.holders
  4        27       328      2658       183 com.sap.managementconsole.soap.axis.saphostcontrol
  5         3         6        18         3 com.sap.managementconsole.soap.axis.saphostcontrol.holders
  6        19        57       181        59 com.sap.netweaver.porta.core
  7         9        46       242         0 com.sap.netweaver.porta.core.mock
  8        30       121       684         0 com.sap.netweaver.porta.core.nw7
  9        14        27       363         0 com.sap.netweaver.porta.core.snippets
 10         2        11        45         0 com.sap.netweaver.porta.ide.eclipse
 11         1         5        19         0 com.sap.netweaver.porta.ide.eclipse.axis.proxy
 12         2        22       160         0 com.sap.netweaver.porta.ide.eclipse.server
 13        13        63       651         1 com.sap.netweaver.porta.ide.eclipse.server.control
 14         5        18       123         0 com.sap.netweaver.porta.ide.eclipse.server.runtime
 15         4        16       164         0 com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs
 16         1         3        51         0 com.sap.netweaver.porta.ide.eclipse.server.ui.editor
 17        12        40       428         0 com.sap.netweaver.porta.ide.eclipse.server.ui.wizard
 18         5        14       130         1 com.sap.netweaver.porta.ide.eclipse.util
 19        18        35       488         0 com.sap.netweaver.porta.mon
    --------- --------- --------- ---------
          235      2236     17953      1320 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    19.00    235.00   2236.00  17953.00   1320.00 | Project
              12.37    117.68    944.89     69.47 | Package
                         9.51     76.40      5.62 | Class
                                   8.03      0.59 | Function

Nr. NCSS Functions Classes Javadocs Class
  1    4         3       0        2 com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_Service
  2   61        15       0        6 com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_ServiceLocator
  3   68        11       0        8 com.sap.managementconsole.soap.axis.saphostcontrol.ACOperation
  4   74        11       0        8 com.sap.managementconsole.soap.axis.saphostcontrol.CIMObject
  5    5         2       0        1 com.sap.managementconsole.soap.axis.saphostcontrol.holders.ArrayOfDatabaseComponentHolder
  6    5         2       0        1 com.sap.managementconsole.soap.axis.saphostcontrol.holders.DatabaseComponentHolder
  7    5         2       0        1 com.sap.managementconsole.soap.axis.saphostcontrol.holders.DatabaseStatusHolder
  8   81        13       0       10 com.sap.managementconsole.soap.axis.saphostcontrol.CIMAttribute
  9   42        11       0        2 com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationCode
 10   21        20       0       21 com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControlInterface
 11   67        11       0        8 com.sap.managementconsole.soap.axis.saphostcontrol.OperationOptions
 12   40        11       0        2 com.sap.managementconsole.soap.axis.saphostcontrol.InstanceStatus
 13   66        11       0        8 com.sap.managementconsole.soap.axis.saphostcontrol.Property
 14   46        11       0        2 com.sap.managementconsole.soap.axis.saphostcontrol.InstanceOptionsFlags
 15   86        13       0       10 com.sap.managementconsole.soap.axis.saphostcontrol.Database
 16 1098        26       0        1 com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_BindingStub
 17   40        11       0        2 com.sap.managementconsole.soap.axis.saphostcontrol.OperationCode
 18   40        11       0        2 com.sap.managementconsole.soap.axis.saphostcontrol.ServiceType
 19   66        11       0        8 com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationArguments
 20   96        15       0       12 com.sap.managementconsole.soap.axis.saphostcontrol.SAPInstance
 21   69        11       0        8 com.sap.managementconsole.soap.axis.saphostcontrol.OperationResult
 22   38        11       0        2 com.sap.managementconsole.soap.axis.saphostcontrol.CancelOperationType
 23   68        11       0        8 com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseComponent
 24   64        11       0        8 com.sap.managementconsole.soap.axis.saphostcontrol.InstanceServiceOperation
