Nr.   Classes Functions      NCSS  Javadocs Package
  1        74     36749    635396         0 randoop
    --------- --------- --------- ---------
           74     36749    635396         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00     74.00  36749.00 635396.00      0.00 | Project
              74.00  36749.00 635396.00      0.00 | Package
                       496.61   8586.43      0.00 | Class
                                  17.29      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 7393       500       0        0 randoop.RandoopTest4
  2 9494       500       0        0 randoop.RandoopTest61
  3 8623       500       0        0 randoop.RandoopTest62
  4 9557       500       0        0 randoop.RandoopTest63
  5 8444       500       0        0 randoop.RandoopTest36
  6 9450       500       0        0 randoop.RandoopTest71
  7 8408       500       0        0 randoop.RandoopTest22
  8 8379       500       0        0 randoop.RandoopTest27
  9 8891       500       0        0 randoop.RandoopTest60
 10 9061       500       0        0 randoop.RandoopTest43
 11 8059       500       0        0 randoop.RandoopTest9
 12 9138       500       0        0 randoop.RandoopTest48
 13 8815       500       0        0 randoop.RandoopTest34
 14 8968       500       0        0 randoop.RandoopTest29
 15 6816       500       0        0 randoop.RandoopTest1
 16 9070       500       0        0 randoop.RandoopTest49
 17 8459       500       0        0 randoop.RandoopTest30
 18 8445       500       0        0 randoop.RandoopTest21
 19 8750       500       0        0 randoop.RandoopTest35
 20 9245       500       0        0 randoop.RandoopTest44
 21 8293       500       0        0 randoop.RandoopTest10
 22 7332       500       0        0 randoop.RandoopTest2
 23 9170       500       0        0 randoop.RandoopTest59
 24 8147       500       0        0 randoop.RandoopTest11
 25 8609       500       0        0 randoop.RandoopTest23
 26 7953       500       0        0 randoop.RandoopTest5
 27 8750       500       0        0 randoop.RandoopTest51
 28 8597       500       0        0 randoop.RandoopTest55
 29 8979       500       0        0 randoop.RandoopTest57
 30 8519       500       0        0 randoop.RandoopTest20
 31 8778       500       0        0 randoop.RandoopTest41
 32 7965       500       0        0 randoop.RandoopTest12
 33 7787       500       0        0 randoop.RandoopTest6
 34 8893       500       0        0 randoop.RandoopTest33
 35 4679       249       0        0 randoop.RandoopTest73
 36 8489       500       0        0 randoop.RandoopTest24
 37 8649       500       0        0 randoop.RandoopTest69
 38 8886       500       0        0 randoop.RandoopTest16
 39 8399       500       0        0 randoop.RandoopTest8
 40 9154       500       0        0 randoop.RandoopTest70
 41 8846       500       0        0 randoop.RandoopTest37
 42 9157       500       0        0 randoop.RandoopTest50
 43 8790       500       0        0 randoop.RandoopTest40
 44 9158       500       0        0 randoop.RandoopTest38
 45 9461       500       0        0 randoop.RandoopTest66
 46 7992       500       0        0 randoop.RandoopTest7
 47 9187       500       0        0 randoop.RandoopTest56
 48 9148       500       0        0 randoop.RandoopTest65
 49 7158       500       0        0 randoop.RandoopTest3
 50 9184       500       0        0 randoop.RandoopTest58
 51 8493       500       0        0 randoop.RandoopTest25
 52 8613       500       0        0 randoop.RandoopTest31
 53 9224       500       0        0 randoop.RandoopTest68
 54 8358       500       0        0 randoop.RandoopTest28
 55 8667       500       0        0 randoop.RandoopTest45
 56 8581       500       0        0 randoop.RandoopTest32
 57 9151       500       0        0 randoop.RandoopTest72
 58 9642       500       0        0 randoop.RandoopTest52
 59 9224       500       0        0 randoop.RandoopTest42
 60 8745       500       0        0 randoop.RandoopTest18
 61 8655       500       0        0 randoop.RandoopTest46
 62 8980       500       0        0 randoop.RandoopTest39
 63 8384       500       0        0 randoop.RandoopTest17
 64 8929       500       0        0 randoop.RandoopTest54
 65 5999       500       0        0 randoop.RandoopTest0
 66 8410       500       0        0 randoop.RandoopTest13
 67 8580       500       0        0 randoop.RandoopTest47
 68 8562       500       0        0 randoop.RandoopTest19
 69 8674       500       0        0 randoop.RandoopTest26
 70 8243       500       0        0 randoop.RandoopTest15
 71 8668       500       0        0 randoop.RandoopTest53
 72 8486       500       0        0 randoop.RandoopTest14
 73 9297       500       0        0 randoop.RandoopTest67
 74 9109       500       0        0 randoop.RandoopTest64
Average Object NCSS:              8,584.43
Average Object Functions:           496.61
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    635,396.00

  Nr. NCSS CCN JVDC Function
    1   17   2    0 randoop.RandoopTest4.test1()
    2   19   2    0 randoop.RandoopTest4.test2()
    3   19   2    0 randoop.RandoopTest4.test3()
    4   12   2    0 randoop.RandoopTest4.test4()
    5   14   2    0 randoop.RandoopTest4.test5()
    6    6   3    0 randoop.RandoopTest4.test6()
    7   12   2    0 randoop.RandoopTest4.test7()
    8   13   2    0 randoop.RandoopTest4.test8()
    9   13   2    0 randoop.RandoopTest4.test9()
   10   11   2    0 randoop.RandoopTest4.test10()
   11   15   2    0 randoop.RandoopTest4.test11()
   12   22   2    0 randoop.RandoopTest4.test12()
   13   17   2    0 randoop.RandoopTest4.test13()
   14   17   2    0 randoop.RandoopTest4.test14()
   15   17   2    0 randoop.RandoopTest4.test15()
   16    4   2    0 randoop.RandoopTest4.test16()
   17   20   2    0 randoop.RandoopTest4.test17()
   18   13   2    0 randoop.RandoopTest4.test18()
   19   12   2    0 randoop.RandoopTest4.test19()
   20   12   2    0 randoop.RandoopTest4.test20()
   21   13   2    0 randoop.RandoopTest4.test21()
   22   13   2    0 randoop.RandoopTest4.test22()
   23   10   2    0 randoop.RandoopTest4.test23()
   24   12   2    0 randoop.RandoopTest4.test24()
   25   14   2    0 randoop.RandoopTest4.test25()
   26   15   2    0 randoop.RandoopTest4.test26()
   27   21   2    0 randoop.RandoopTest4.test27()
   28   10   2    0 randoop.RandoopTest4.test28()
   29   11   2    0 randoop.RandoopTest4.test29()
   30   10   2    0 randoop.RandoopTest4.test30()
   31    6   3    0 randoop.RandoopTest4.test31()
   32   14   2    0 randoop.RandoopTest4.test32()
   33   27   3    0 randoop.RandoopTest4.test33()
   34   16   2    0 randoop.RandoopTest4.test34()
   35   15   2    0 randoop.RandoopTest4.test35()
   36    6   3    0 randoop.RandoopTest4.test36()
   37   11   2    0 randoop.RandoopTest4.test37()
   38   14   2    0 randoop.RandoopTest4.test38()
   39   13   2    0 randoop.RandoopTest4.test39()
   40   16   2    0 randoop.RandoopTest4.test40()
   41    4   2    0 randoop.RandoopTest4.test41()
   42   12   2    0 randoop.RandoopTest4.test42()
   43   15   2    0 randoop.RandoopTest4.test43()
   44   12   2    0 randoop.RandoopTest4.test44()
   45   13   2    0 randoop.RandoopTest4.test45()
   46   11   2    0 randoop.RandoopTest4.test46()
   47   13   2    0 randoop.RandoopTest4.test47()
   48   19   2    0 randoop.RandoopTest4.test48()
   49   12   2    0 randoop.RandoopTest4.test49()
   50   37   2    0 randoop.RandoopTest4.test50()
   51   10   2    0 randoop.RandoopTest4.test51()
   52   31   2    0 randoop.RandoopTest4.test52()
   53   15   2    0 randoop.RandoopTest4.test53()
   54   15   2    0 randoop.RandoopTest4.test54()
   55   10   2    0 randoop.RandoopTest4.test55()
   56   15   2    0 randoop.RandoopTest4.test56()
   57   12   2    0 randoop.RandoopTest4.test57()
   58   14   2    0 randoop.RandoopTest4.test58()
   59   19   2    0 randoop.RandoopTest4.test59()
   60   13   2    0 randoop.RandoopTest4.test60()
   61   11   2    0 randoop.RandoopTest4.test61()
   62   16   2    0 randoop.RandoopTest4.test62()
   63   10   2    0 randoop.RandoopTest4.test63()
   64   13   2    0 randoop.RandoopTest4.test64()
   65   17   3    0 randoop.RandoopTest4.test65()
   66   30   3    0 randoop.RandoopTest4.test66()
   67   10   2    0 randoop.RandoopTest4.test67()
   68   12   2    0 randoop.RandoopTest4.test68()
   69    5   2    0 randoop.RandoopTest4.test69()
   70   14   2    0 randoop.RandoopTest4.test70()
   71   13   2    0 randoop.RandoopTest4.test71()
   72   14   2    0 randoop.RandoopTest4.test72()
   73   15   2    0 randoop.RandoopTest4.test73()
   74   11   2    0 randoop.RandoopTest4.test74()
   75    4   2    0 randoop.RandoopTest4.test75()
   76   17   2    0 randoop.RandoopTest4.test76()
   77   34   2    0 randoop.RandoopTest4.test77()
   78   11   2    0 randoop.RandoopTest4.test78()
   79   12   2    0 randoop.RandoopTest4.test79()
   80   14   2    0 randoop.RandoopTest4.test80()
   81   16   2    0 randoop.RandoopTest4.test81()
   82   14   2    0 randoop.RandoopTest4.test82()
   83   14   2    0 randoop.RandoopTest4.test83()
   84   26   2    0 randoop.RandoopTest4.test84()
   85   11   2    0 randoop.RandoopTest4.test85()
   86   13   2    0 randoop.RandoopTest4.test86()
   87    5   2    0 randoop.RandoopTest4.test87()
   88   14   2    0 randoop.RandoopTest4.test88()
   89    9   2    0 randoop.RandoopTest4.test89()
   90   12   2    0 randoop.RandoopTest4.test90()
   91   13   2    0 randoop.RandoopTest4.test91()
   92   16   2    0 randoop.RandoopTest4.test92()
   93   52   3    0 randoop.RandoopTest4.test93()
   94   11   2    0 randoop.RandoopTest4.test94()
   95   44   2    0 randoop.RandoopTest4.test95()
   96   11   2    0 randoop.RandoopTest4.test96()
   97   15   2    0 randoop.RandoopTest4.test97()
   98   12   2    0 randoop.RandoopTest4.test98()
   99   20   2    0 randoop.RandoopTest4.test99()
  100   20   2    0 randoop.RandoopTest4.test100()
  101   15   2    0 randoop.RandoopTest4.test101()
  102   16   2    0 randoop.RandoopTest4.test102()
  103   24   2    0 randoop.RandoopTest4.test103()
  104    6   3    0 randoop.RandoopTest4.test104()
  105   15   2    0 randoop.RandoopTest4.test105()
  106   10   2    0 randoop.RandoopTest4.test106()
  107   12   2    0 randoop.RandoopTest4.test107()
  108   13   3    0 randoop.RandoopTest4.test108()
  109    4   2    0 randoop.RandoopTest4.test109()
  110    8   2    0 randoop.RandoopTest4.test110()
  111   13   2    0 randoop.RandoopTest4.test111()
  112   12   2    0 randoop.RandoopTest4.test112()
  113   16   2    0 randoop.RandoopTest4.test113()
  114   15   2    0 randoop.RandoopTest4.test114()
  115   16   2    0 randoop.RandoopTest4.test115()
  116   12   2    0 randoop.RandoopTest4.test116()
  117   10   2    0 randoop.RandoopTest4.test117()
  118   12   2    0 randoop.RandoopTest4.test118()
  119   22   2    0 randoop.RandoopTest4.test119()
  120   15   2    0 randoop.RandoopTest4.test120()
  121   10   2    0 randoop.RandoopTest4.test121()
  122   13   2    0 randoop.RandoopTest4.test122()
  123   14   2    0 randoop.RandoopTest4.test123()
  124   14   2    0 randoop.RandoopTest4.test124()
  125   14   2    0 randoop.RandoopTest4.test125()
  126   15   2    0 randoop.RandoopTest4.test126()
  127   12   2    0 randoop.RandoopTest4.test127()
  128   16   2    0 randoop.RandoopTest4.test128()
  129   11   2    0 randoop.RandoopTest4.test129()
  130    9   2    0 randoop.RandoopTest4.test130()
  131   13   2    0 randoop.RandoopTest4.test131()
  132   13   2    0 randoop.RandoopTest4.test132()
  133   13   2    0 randoop.RandoopTest4.test133()
  134   10   2    0 randoop.RandoopTest4.test134()
  135   15   2    0 randoop.RandoopTest4.test135()
  136   10   2    0 randoop.RandoopTest4.test136()
  137   13   2    0 randoop.RandoopTest4.test137()
  138   10   2    0 randoop.RandoopTest4.test138()
  139   16   2    0 randoop.RandoopTest4.test139()
  140   18   2    0 randoop.RandoopTest4.test140()
  141   18   2    0 randoop.RandoopTest4.test141()
  142    8   2    0 randoop.RandoopTest4.test142()
  143   17   2    0 randoop.RandoopTest4.test143()
  144   14   2    0 randoop.RandoopTest4.test144()
  145   22   3    0 randoop.RandoopTest4.test145()
  146   21   2    0 randoop.RandoopTest4.test146()
  147   16   2    0 randoop.RandoopTest4.test147()
  148   13   2    0 randoop.RandoopTest4.test148()
  149   12   2    0 randoop.RandoopTest4.test149()
  150   18   2    0 randoop.RandoopTest4.test150()
  151   26   2    0 randoop.RandoopTest4.test151()
  152   36   3    0 randoop.RandoopTest4.test152()
  153   17   2    0 randoop.RandoopTest4.test153()
  154   17   2    0 randoop.RandoopTest4.test154()
  155   11   2    0 randoop.RandoopTest4.test155()
  156   16   2    0 randoop.RandoopTest4.test156()
  157   10   2    0 randoop.RandoopTest4.test157()
  158   13   2    0 randoop.RandoopTest4.test158()
  159   26   3    0 randoop.RandoopTest4.test159()
  160   25   2    0 randoop.RandoopTest4.test160()
  161   11   2    0 randoop.RandoopTest4.test161()
  162   14   2    0 randoop.RandoopTest4.test162()
  163   12   2    0 randoop.RandoopTest4.test163()
  164   43   2    0 randoop.RandoopTest4.test164()
  165   13   2    0 randoop.RandoopTest4.test165()
  166   12   2    0 randoop.RandoopTest4.test166()
  167   14   2    0 randoop.RandoopTest4.test167()
  168    5   2    0 randoop.RandoopTest4.test168()
  169    4   2    0 randoop.RandoopTest4.test169()
  170    6   2    0 randoop.RandoopTest4.test170()
  171   12   2    0 randoop.RandoopTest4.test171()
  172    9   2    0 randoop.RandoopTest4.test172()
  173   42   3    0 randoop.RandoopTest4.test173()
  174   21   2    0 randoop.RandoopTest4.test174()
  175   11   2    0 randoop.RandoopTest4.test175()
  176   14   2    0 randoop.RandoopTest4.test176()
  177   14   2    0 randoop.RandoopTest4.test177()
  178   14   2    0 randoop.RandoopTest4.test178()
  179   37   3    0 randoop.RandoopTest4.test179()
  180    9   2    0 randoop.RandoopTest4.test180()
  181   13   2    0 randoop.RandoopTest4.test181()
  182   24   2    0 randoop.RandoopTest4.test182()
  183    4   2    0 randoop.RandoopTest4.test183()
  184   15   2    0 randoop.RandoopTest4.test184()
  185   11   2    0 randoop.RandoopTest4.test185()
  186   49   2    0 randoop.RandoopTest4.test186()
  187   15   2    0 randoop.RandoopTest4.test187()
  188   22   2    0 randoop.RandoopTest4.test188()
  189   29   2    0 randoop.RandoopTest4.test189()
  190   16   2    0 randoop.RandoopTest4.test190()
  191   10   2    0 randoop.RandoopTest4.test191()
  192   15   2    0 randoop.RandoopTest4.test192()
  193   19   2    0 randoop.RandoopTest4.test193()
  194    6   3    0 randoop.RandoopTest4.test194()
  195   11   2    0 randoop.RandoopTest4.test195()
  196   13   2    0 randoop.RandoopTest4.test196()
  197   23   2    0 randoop.RandoopTest4.test197()
  198    8   2    0 randoop.RandoopTest4.test198()
  199   20   2    0 randoop.RandoopTest4.test199()
  200   15   2    0 randoop.RandoopTest4.test200()
  201   16   2    0 randoop.RandoopTest4.test201()
  202   17   2    0 randoop.RandoopTest4.test202()
  203   14   2    0 randoop.RandoopTest4.test203()
  204   16   2    0 randoop.RandoopTest4.test204()
  205    9   2    0 randoop.RandoopTest4.test205()
  206    6   3    0 randoop.RandoopTest4.test206()
  207   16   2    0 randoop.RandoopTest4.test207()
  208   15   2    0 randoop.RandoopTest4.test208()
  209   12   2    0 randoop.RandoopTest4.test209()
  210   13   2    0 randoop.RandoopTest4.test210()
  211   10   2    0 randoop.RandoopTest4.test211()
  212   25   2    0 randoop.RandoopTest4.test212()
  213   12   2    0 randoop.RandoopTest4.test213()
  214   72   3    0 randoop.RandoopTest4.test214()
  215   14   2    0 randoop.RandoopTest4.test215()
  216   17   2    0 randoop.RandoopTest4.test216()
  217   13   2    0 randoop.RandoopTest4.test217()
  218    4   2    0 randoop.RandoopTest4.test218()
  219   19   2    0 randoop.RandoopTest4.test219()
  220   14   2    0 randoop.RandoopTest4.test220()
  221   18   2    0 randoop.RandoopTest4.test221()
  222   14   2    0 randoop.RandoopTest4.test222()
  223   16   2    0 randoop.RandoopTest4.test223()
  224   26   2    0 randoop.RandoopTest4.test224()
  225   16   2    0 randoop.RandoopTest4.test225()
  226   11   2    0 randoop.RandoopTest4.test226()
  227    5   2    0 randoop.RandoopTest4.test227()
  228   12   2    0 randoop.RandoopTest4.test228()
  229   13   2    0 randoop.RandoopTest4.test229()
  230   13   2    0 randoop.RandoopTest4.test230()
  231   15   2    0 randoop.RandoopTest4.test231()
  232   15   2    0 randoop.RandoopTest4.test232()
  233   16   2    0 randoop.RandoopTest4.test233()
  234   14   2    0 randoop.RandoopTest4.test234()
  235   20   2    0 randoop.RandoopTest4.test235()
  236   15   2    0 randoop.RandoopTest4.test236()
  237   11   2    0 randoop.RandoopTest4.test237()
  238    5   2    0 randoop.RandoopTest4.test238()
  239   14   2    0 randoop.RandoopTest4.test239()
  240   13   2    0 randoop.RandoopTest4.test240()
  241    6   2    0 randoop.RandoopTest4.test241()
  242   12   2    0 randoop.RandoopTest4.test242()
  243    6   2    0 randoop.RandoopTest4.test243()
