Nr.   Classes Functions      NCSS  Javadocs Package
  1         5      2270     63404         0 randoop
    --------- --------- --------- ---------
            5      2270     63404         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
     1.00      5.00   2270.00  63404.00      0.00 | Project
               5.00   2270.00  63404.00      0.00 | Package
                       454.00  12680.80      0.00 | Class
                                  27.93      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1 8305       270       0        0 randoop.RandoopTest4
  2 13990       500       0        0 randoop.RandoopTest1
  3 15225       500       0        0 randoop.RandoopTest2
  4 15538       500       0        0 randoop.RandoopTest3
  5 10336       500       0        0 randoop.RandoopTest0
Average Object NCSS:             12,678.80
Average Object Functions:           454.00
Average Object Inner Classes:         0.00
Average Object Javadoc Comments:      0.00
Program NCSS:                    63,404.00

 Nr. NCSS CCN JVDC Function
   1   34   2    0 randoop.RandoopTest4.test1()
   2   48   2    0 randoop.RandoopTest4.test2()
   3   19   2    0 randoop.RandoopTest4.test3()
   4   15   2    0 randoop.RandoopTest4.test4()
   5    9   2    0 randoop.RandoopTest4.test5()
   6   14   2    0 randoop.RandoopTest4.test6()
   7   35   2    0 randoop.RandoopTest4.test7()
   8   15   2    0 randoop.RandoopTest4.test8()
   9   54   2    0 randoop.RandoopTest4.test9()
  10   14   2    0 randoop.RandoopTest4.test10()
  11   15   2    0 randoop.RandoopTest4.test11()
  12   17   2    0 randoop.RandoopTest4.test12()
  13   96   2    0 randoop.RandoopTest4.test13()
  14   54   2    0 randoop.RandoopTest4.test14()
  15    4   2    0 randoop.RandoopTest4.test15()
  16   31   2    0 randoop.RandoopTest4.test16()
  17   19   3    0 randoop.RandoopTest4.test17()
  18   12   2    0 randoop.RandoopTest4.test18()
  19   13   2    0 randoop.RandoopTest4.test19()
  20   25   2    0 randoop.RandoopTest4.test20()
  21   21   2    0 randoop.RandoopTest4.test21()
  22   43   2    0 randoop.RandoopTest4.test22()
  23    8   2    0 randoop.RandoopTest4.test23()
  24   14   2    0 randoop.RandoopTest4.test24()
