CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
66;ch.bluepenguin.email.aop.DebugAfterReturnAdviceTest$null;16;8;1;3;3;1;0;1;0;127;3
100;ch.bluepenguin.email.aop.FormatterMethodAdviceTest$null;10;2;0;1;1;1;0;1;0;127;4
474;ch.bluepenguin.email.client.AbstractUniqueIDTest$null;9;1;22;24;24;23;19;4;0;105;28
475;ch.bluepenguin.email.client.AccountTest$null;8;2;0;0;2;23;19;4;0;105;28
522;ch.bluepenguin.email.client.FolderTest$null;31;14;0;1;3;23;19;4;0;105;29
522;ch.bluepenguin.email.client.IDGeneratorTest$null;7;1;0;0;0;23;19;4;0;105;29
523;ch.bluepenguin.email.client.MailMessageTest$null;14;2;0;0;2;23;19;4;0;105;29
523;ch.bluepenguin.email.client.PersonTest$null;24;10;0;0;2;23;19;4;0;105;29
524;ch.bluepenguin.email.client.service.EmailFacadeExceptionTest$null;9;1;0;0;0;23;19;4;0;105;29
671;ch.bluepenguin.email.client.service.impl.EmailFacadeStateTest$null;8;0;6;10;10;29;24;5;0;99;39
672;ch.bluepenguin.email.client.tapestry.MessageListTest$null;7;0;0;0;0;29;24;5;0;99;39
673;ch.bluepenguin.email.client.tapestry.MessageViewTest$null;7;0;0;0;0;29;24;5;0;99;39
673;ch.bluepenguin.email.client.tapestry.VisitTest$null;7;1;0;0;0;29;24;5;0;99;39
1013;ch.bluepenguin.email.client.tapestry.helpers.DisplayHelperTest$null;23;24;14;16;16;43;36;7;0;85;55
1013;ch.bluepenguin.tapestry.components.menu.BluepenguinMenuTest$null;7;1;0;0;0;43;36;7;0;85;55
1014;ch.bluepenguin.tapestry.components.menu.model.IMenuItemTest$null;7;0;0;0;0;43;36;7;0;85;55
1917;ch.bluepenguin.tapestry.components.menu.model.IMenuModelTest$null;12;4;14;44;44;57;37;20;0;71;99
1917;ch.bluepenguin.tapestry.components.menu.model.MenuStructureExceptionTest$null;7;1;0;0;0;57;37;20;0;71;99
3013;ch.bluepenguin.tapestry.components.menu.model.impl.DefaultMenuModelTest$null;16;8;24;48;62;81;52;29;0;47;147
3014;ch.bluepenguin.tapestry.components.menu.renderer.IMenuItemRendererTest$null;6;0;0;0;0;81;52;29;0;47;147
3015;ch.bluepenguin.tapestry.components.menu.renderer.IMenuRendererTest$null;7;0;0;0;0;81;52;29;0;47;147
3127;ch.bluepenguin.tapestry.components.menu.renderer.impl.DefaultMenuItemRendererTest$null;12;4;0;5;5;81;52;29;0;47;152
3373;ch.bluepenguin.tapestry.components.menu.renderer.impl.HyperlinkMenuItemRendererTest$null;13;4;0;10;10;81;52;29;0;47;162
