CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
278;ch.bluepenguin.email.client.AbstractUniqueIDEvoSuiteTest$null;13;32;22;24;24;22;21;1;0;110;24
278;ch.bluepenguin.email.client.AccountEvoSuiteTest$null;13;2;0;0;2;22;21;1;0;110;24
295;ch.bluepenguin.email.client.FolderEvoSuiteTest$null;15;4;0;1;3;22;21;1;0;110;25
295;ch.bluepenguin.email.client.IDGeneratorEvoSuiteTest$null;11;1;0;0;0;22;21;1;0;110;25
295;ch.bluepenguin.email.client.PersonEvoSuiteTest$null;14;4;0;0;2;22;21;1;0;110;25
316;ch.bluepenguin.email.client.service.impl.DummyEmailFacadeImplEvoSuiteTest$null;10;1;0;2;2;22;21;1;0;110;27
464;ch.bluepenguin.email.client.service.impl.EmailFacadeStateEvoSuiteTest$null;12;3;13;15;15;35;33;2;0;97;42
464;ch.bluepenguin.email.client.tapestry.VisitEvoSuiteTest$null;10;2;0;0;0;35;33;2;0;97;42
465;ch.bluepenguin.email.client.tapestry.helpers.TreeModelHelperEvoSuiteTest$null;10;3;0;0;0;35;33;2;0;97;42
515;ch.bluepenguin.tapestry.components.menu.model.impl.DefaultMenuItemEvoSuiteTest$null;15;6;1;2;2;36;34;2;0;96;44
2888;ch.bluepenguin.tapestry.components.menu.model.impl.DefaultMenuModelEvoSuiteTest$null;21;10;34;88;89;70;41;29;0;62;132
3355;ch.bluepenguin.tapestry.components.menu.model.impl.MenuItemListEvoSuiteTest$null;40;13;4;18;26;74;45;29;0;58;150
3356;ch.bluepenguin.tapestry.components.menu.renderer.impl.AbstractMenuItemRendererEvoSuiteTest$null;10;2;0;0;0;74;45;29;0;58;150
3357;ch.bluepenguin.tapestry.components.menu.renderer.impl.DefaultMenuItemRendererEvoSuiteTest$null;9;2;0;0;0;74;45;29;0;58;150
3357;ch.bluepenguin.tapestry.components.menu.renderer.impl.DirectLinkMenuItemRendererEvoSuiteTest$null;11;3;0;0;0;74;45;29;0;58;150
3358;ch.bluepenguin.tapestry.components.menu.renderer.impl.GenericMarkupMenuItemRendererEvoSuiteTest$null;10;3;0;0;0;74;45;29;0;58;150
3359;ch.bluepenguin.tapestry.components.menu.renderer.impl.HyperlinkMenuItemRendererEvoSuiteTest$null;10;2;0;0;0;74;45;29;0;58;150
