CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
85508;randoop.RandoopTest0$null;820;1115;108;231;231;108;41;67;0;127;231
148399;randoop.RandoopTest1$null;796;1229;11;124;230;119;52;67;0;116;355
226313;randoop.RandoopTest10$null;998;823;4;115;234;123;56;67;0;112;470
268537;randoop.RandoopTest12$null;590;390;0;111;232;123;56;67;0;112;581
350721;randoop.RandoopTest2$null;902;565;0;110;233;123;56;67;0;112;691
445510;randoop.RandoopTest3$null;1098;655;0;111;233;123;56;67;0;112;802
545083;randoop.RandoopTest4$null;1212;751;1;111;230;124;56;67;1;111;913
608334;randoop.RandoopTest5$null;886;706;1;111;234;125;57;67;1;110;1024
689681;randoop.RandoopTest6$null;942;663;0;109;230;125;57;67;1;110;1133
762902;randoop.RandoopTest9$null;936;738;1;109;230;126;58;67;1;109;1242
