CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;bierse.BierseEvoSuiteTest$null;8;15;0;0;0;0;0;0;0;68;0
43;bierse.controller.DefaultMenuControllerEvoSuiteTest$null;7;10;2;4;4;2;0;2;0;66;4
200;bierse.controller.DefaultSettingsControllerEvoSuiteTest$null;7;6;4;8;8;6;0;5;1;62;12
235;bierse.controller.DefaultTableModelControllerEvoSuiteTest$null;7;3;3;5;5;9;2;6;1;59;17
236;bierse.controller.DrinkSellControllerEvoSuiteTest$null;6;1;0;0;0;9;2;6;1;59;17
236;bierse.controller.TriggerThreadEvoSuiteTest$null;6;1;0;0;0;9;2;6;1;59;17
266;bierse.view.DefaultInfoViewEvoSuiteTest$null;10;81;0;2;2;9;2;6;1;59;19
316;bierse.view.DefaultInfoViewMouseListenerEvoSuiteTest$null;5;1;0;4;4;9;2;6;1;59;23
483;bierse.view.KeyMapComboBoxModelEvoSuiteTest$null;10;4;12;12;12;21;14;6;1;47;35
484;bierse.view.MyKeyMapEvoSuiteTest$null;5;1;0;0;0;21;14;6;1;47;35
1003;bierse.view.RunningMessagePanelEvoSuiteTest$null;10;40;6;33;33;27;17;9;1;41;68
