CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;com.google.earth.kml._2.KmlTypeTest$null;4;2;0;0;0;0;0;0;0;211;0
0;com.google.earth.kml._2.ObjectFactoryTest$null;6;8;0;0;0;0;0;0;0;211;0
1;com.google.earth.kml._2.PlacemarkTypeTest$null;9;34;0;0;0;0;0;0;0;211;0
1;com.google.earth.kml._2.PointTypeTest$null;14;70;0;0;0;0;0;0;0;211;0
13;com.google.earth.kml._2.ResponseTypeTest$null;6;8;1;1;1;1;1;0;0;210;1
13;com.google.earth.kml._2.StatusTypeTest$null;6;19;0;0;0;1;1;0;0;210;1
285;geo.google.GeoExceptionTest$null;10;27;8;20;20;9;9;0;0;202;21
537;geo.google.datamodel.GeoAddressAccuracyTest$null;6;10;18;20;20;27;27;0;0;184;41
675;geo.google.datamodel.GeoStatusCodeTest$null;6;10;12;12;20;39;39;0;0;172;53
2011;geo.google.datamodel.GeoUtilsTest$null;25;14;87;92;92;126;126;0;0;85;145
2164;geo.google.mapping.MappingUtilsTest$null;7;5;2;13;39;128;126;2;0;83;158
2275;geo.google.mapping.PointToCoordinateFunctorTest$null;6;4;1;8;14;129;126;3;0;82;166
2294;geo.google.mapping.XmlToUsAddressFunctorTest$null;492;556;0;1;21;129;126;3;0;82;167
2383;oasis.names.tc.ciq.xsdschema.xal._2.AddressDetailsTest$null;60;73;1;1;1;130;127;3;0;81;168
2383;oasis.names.tc.ciq.xsdschema.xal._2.AddressLineTest$null;13;12;0;0;0;130;127;3;0;81;168
2399;oasis.names.tc.ciq.xsdschema.xal._2.AddressLinesTypeTest$null;5;1;2;2;2;132;129;3;0;79;170
2529;oasis.names.tc.ciq.xsdschema.xal._2.AdministrativeAreaTest$null;30;30;3;3;3;135;132;3;0;76;173
2529;oasis.names.tc.ciq.xsdschema.xal._2.BuildingNameTypeTest$null;15;11;0;0;0;135;132;3;0;76;173
2530;oasis.names.tc.ciq.xsdschema.xal._2.CountryNameTest$null;13;9;0;0;0;135;132;3;0;76;173
2566;oasis.names.tc.ciq.xsdschema.xal._2.DepartmentTest$null;7;5;3;3;3;138;135;3;0;73;176
2809;oasis.names.tc.ciq.xsdschema.xal._2.DependentLocalityTypeTest$null;57;43;3;3;3;141;138;3;0;70;179
2858;oasis.names.tc.ciq.xsdschema.xal._2.FirmTypeTest$null;7;4;4;4;4;145;142;3;0;66;183
2929;oasis.names.tc.ciq.xsdschema.xal._2.LargeMailUserTypeTest$null;10;6;4;4;4;149;146;3;0;62;187
3141;oasis.names.tc.ciq.xsdschema.xal._2.LocalityTest$null;66;34;3;3;3;152;149;3;0;59;190
3166;oasis.names.tc.ciq.xsdschema.xal._2.MailStopTypeTest$null;7;3;2;2;2;154;151;3;0;57;192
3167;oasis.names.tc.ciq.xsdschema.xal._2.ObjectFactoryTest$null;41;56;0;0;0;154;151;3;0;57;192
3218;oasis.names.tc.ciq.xsdschema.xal._2.PostBoxTest$null;13;10;2;2;2;156;153;3;0;55;194
3280;oasis.names.tc.ciq.xsdschema.xal._2.PostOfficeTest$null;12;8;3;3;3;159;156;3;0;52;197
3322;oasis.names.tc.ciq.xsdschema.xal._2.PostalCodeTest$null;6;3;4;4;4;163;160;3;0;48;201
3358;oasis.names.tc.ciq.xsdschema.xal._2.PostalRouteTypeTest$null;6;3;3;3;3;166;163;3;0;45;204
3358;oasis.names.tc.ciq.xsdschema.xal._2.PremiseNumberPrefixTest$null;13;8;0;0;0;166;163;3;0;45;204
3359;oasis.names.tc.ciq.xsdschema.xal._2.PremiseNumberSuffixTest$null;12;8;0;0;0;166;163;3;0;45;204
3360;oasis.names.tc.ciq.xsdschema.xal._2.PremiseNumberTest$null;19;14;0;0;0;166;163;3;0;45;204
3996;oasis.names.tc.ciq.xsdschema.xal._2.PremiseTest$null;43;30;8;8;8;174;171;3;0;37;212
4107;oasis.names.tc.ciq.xsdschema.xal._2.SubPremiseTypeTest$null;9;5;7;7;7;181;178;3;0;30;219
4107;oasis.names.tc.ciq.xsdschema.xal._2.ThoroughfareLeadingTypeTypeTest$null;10;6;0;0;0;181;178;3;0;30;219
4108;oasis.names.tc.ciq.xsdschema.xal._2.ThoroughfareNameTypeTest$null;10;6;0;0;0;181;178;3;0;30;219
4109;oasis.names.tc.ciq.xsdschema.xal._2.ThoroughfareNumberPrefixTest$null;12;8;0;0;0;181;178;3;0;30;219
4109;oasis.names.tc.ciq.xsdschema.xal._2.ThoroughfareNumberSuffixTest$null;13;8;0;0;0;181;178;3;0;30;219
4110;oasis.names.tc.ciq.xsdschema.xal._2.ThoroughfareNumberTest$null;18;11;0;0;0;181;178;3;0;30;219
4110;oasis.names.tc.ciq.xsdschema.xal._2.ThoroughfarePostDirectionTypeTest$null;11;5;0;0;0;181;178;3;0;30;219
4111;oasis.names.tc.ciq.xsdschema.xal._2.ThoroughfarePreDirectionTypeTest$null;10;5;0;0;0;181;178;3;0;30;219
4674;oasis.names.tc.ciq.xsdschema.xal._2.ThoroughfareTest$null;56;57;6;6;6;187;184;3;0;24;225
4675;oasis.names.tc.ciq.xsdschema.xal._2.ThoroughfareTrailingTypeTypeTest$null;11;4;0;0;0;187;184;3;0;24;225
4693;oasis.names.tc.ciq.xsdschema.xal._2.XALTest$null;5;1;2;2;2;189;186;3;0;22;227
