CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
17;com.google.earth.kml._2.AltitudeModeTypeEvoSuiteTest$null;5;16;2;2;2;2;1;1;0;244;2
18;com.google.earth.kml._2.KmlTypeEvoSuiteTest$null;4;2;0;0;0;2;1;1;0;244;2
18;com.google.earth.kml._2.ObjectFactoryEvoSuiteTest$null;7;7;0;0;0;2;1;1;0;244;2
19;com.google.earth.kml._2.PlacemarkTypeEvoSuiteTest$null;6;4;0;0;0;2;1;1;0;244;2
19;com.google.earth.kml._2.PointTypeEvoSuiteTest$null;6;3;0;0;0;2;1;1;0;244;2
28;com.google.earth.kml._2.ResponseTypeEvoSuiteTest$null;5;3;1;1;1;3;2;1;0;243;3
29;com.google.earth.kml._2.StatusTypeEvoSuiteTest$null;5;2;0;0;0;3;2;1;0;243;3
194;geo.google.datamodel.GeoAddressAccuracyEvoSuiteTest$null;7;5;2;20;20;5;4;1;0;241;23
350;geo.google.datamodel.GeoStatusCodeEvoSuiteTest$null;6;5;2;20;20;7;6;1;0;239;43
1343;geo.google.datamodel.GeoUtilsEvoSuiteTest$null;8;4;55;92;92;62;61;1;0;184;135
1813;geo.google.mapping.AddressToUsAddressFunctorEvoSuiteTest$null;23;7;2;30;32;64;61;3;0;182;165
2336;geo.google.mapping.MappingUtilsEvoSuiteTest$null;9;5;14;41;43;78;64;14;0;168;206
2812;geo.google.mapping.PointToCoordinateFunctorEvoSuiteTest$null;10;7;4;31;45;82;67;15;0;164;237
2813;geo.google.mapping.XSLTMappingFunctorEvoSuiteTest$null;8;18;0;0;0;82;67;15;0;164;237
11684;geo.google.mapping.XmlToAddressFunctorEvoSuiteTest$null;565;805;0;19;21;82;67;15;0;164;256
11685;geo.google.mapping.XmlToUsAddressFunctorEvoSuiteTest$null;6;2;0;0;0;82;67;15;0;164;256
11685;geo.google.utils.XmlUtilsEvoSuiteTest$null;7;29;0;0;0;82;67;15;0;164;256
11817;oasis.names.tc.ciq.xsdschema.xal._2.AddressDetailsEvoSuiteTest$null;25;29;8;8;8;90;75;15;0;156;264
11818;oasis.names.tc.ciq.xsdschema.xal._2.AddressLineEvoSuiteTest$null;5;2;0;0;0;90;75;15;0;156;264
11829;oasis.names.tc.ciq.xsdschema.xal._2.AddressLinesTypeEvoSuiteTest$null;4;2;2;2;2;92;77;15;0;154;266
