CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
529;client.BomberClientTest$null;94;104;1;6;6;1;1;0;0;90;6
1056;client.TestDriverTest$null;98;70;1;9;10;2;1;1;0;89;15
1630;client.controller.RemoteControlTest$null;96;60;0;10;10;2;1;1;0;89;25
1665;client.gui.ConfigTest$null;11;1;0;4;4;2;1;1;0;89;29
1666;client.gui.ImageCacheTest$null;34;19;0;0;0;2;1;1;0;89;29
1666;client.network.GeneralMsgProcessorTest$null;105;124;0;0;0;2;1;1;0;89;29
1666;client.network.MsgProcessorTest$null;103;121;0;0;0;2;1;1;0;89;29
3945;client.view.GfxFactoryTest$null;93;103;12;29;29;14;1;13;0;77;58
7716;client.view.PlayerViewTest$null;94;110;0;50;62;14;1;13;0;77;108
7717;common.GameModelTest$null;44;49;0;0;0;14;1;13;0;77;108
7717;common.MapFilesListerTest$null;43;47;0;0;0;14;1;13;0;77;108
7840;common.MapReaderTest$null;49;53;0;2;2;14;1;13;0;77;110
7960;common.XmlFunctionsTest$null;47;51;0;2;2;14;1;13;0;77;112
8599;logging.LoggingTest$null;47;49;1;12;12;15;2;13;0;76;124
8599;messages.global.GlobalChatMsgTest$null;46;47;0;0;0;15;2;13;0;76;124
8599;messages.global.ParticipantInfoTest$null;8;3;0;0;0;15;2;13;0;76;124
8658;messages.round.BombExplodedMsgTest$null;50;96;0;1;1;15;2;13;0;76;125
8658;messages.round.BombMoveMsgTest$null;51;82;0;0;0;15;2;13;0;76;125
8659;messages.round.RoundTimeOneSecondLeftMsgTest$null;44;41;0;0;0;15;2;13;0;76;125
8659;messages.session.SessionParticipationMsgTest$null;45;43;0;0;0;15;2;13;0;76;125
