CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;org.databene.jdbacl.ResultsWithMetadataTest$null;5;4;0;0;0;0;0;0;0;141;0
172;org.databene.jdbacl.dialect.DB2DialectTest$null;10;14;5;10;10;5;4;1;0;136;10
313;org.databene.jdbacl.dialect.DerbyDialectTest$null;12;20;3;7;8;8;7;1;0;133;17
361;org.databene.jdbacl.dialect.Firebird2_5DialectTest$null;8;7;1;3;3;9;8;1;0;132;20
8436;org.databene.jdbacl.dialect.H2UtilTest$null;171;205;7;33;33;16;8;8;0;125;53
8460;org.databene.jdbacl.dialect.HSQL2DialectTest$null;9;5;1;3;3;17;9;8;0;124;56
15107;org.databene.jdbacl.dialect.HSQLUtilTest$null;174;187;0;27;34;17;9;8;0;124;83
15242;org.databene.jdbacl.dialect.MySQLDialectTest$null;10;9;8;9;9;25;17;8;0;116;92
15362;org.databene.jdbacl.dialect.UnknownDialectTest$null;9;6;7;8;9;32;24;8;0;109;100
15362;org.databene.jdbacl.identity.InvalidIdentityDefinitionErrorTest$null;6;4;0;0;0;32;24;8;0;109;100
15793;org.databene.jdbacl.identity.KeyMapperTest$null;27;24;3;9;9;35;24;11;0;106;109
15829;org.databene.jdbacl.identity.NKBuilderTest$null;5;1;1;4;4;36;24;12;0;105;113
15866;org.databene.jdbacl.identity.xml.IdentityParseContextTest$null;15;9;0;2;2;36;24;12;0;105;115
18239;org.databene.jdbacl.model.AbstractDBObjectTest$null;36;44;18;34;34;54;35;19;0;87;149
19105;org.databene.jdbacl.model.DBPackageTest$null;34;39;5;14;16;59;36;23;0;82;163
19778;org.databene.jdbacl.model.DBProcedureTest$null;23;19;4;16;20;63;37;26;0;78;179
20149;org.databene.jdbacl.model.SequenceHolderTest$null;21;15;0;9;12;63;37;26;0;78;188
20149;org.databene.jdbacl.sql.ColumnExpressionTest$null;6;1;0;0;0;63;37;26;0;78;188
20220;org.databene.jdbacl.sql.FunctionInvocationTest$null;23;16;0;2;2;63;37;26;0;78;190
20220;org.databene.jdbacl.sql.parser.ANTLRNoCaseFileStreamTest$null;5;2;0;0;0;63;37;26;0;78;190
20220;org.databene.jdbacl.sql.parser.TextHolderTest$null;5;0;0;0;0;63;37;26;0;78;190
20220;org.databene.jdbacl.swing.TextFieldValueProviderTest$null;11;116;0;0;0;63;37;26;0;78;190
