CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;org.databene.jdbacl.ColumnInfoEvoSuiteTest$null;10;14;0;0;0;0;0;0;0;5;0
1;org.databene.jdbacl.DBExecutionResultEvoSuiteTest$null;11;2;0;0;0;0;0;0;0;5;0
1;org.databene.jdbacl.DatabaseTestUtilEvoSuiteTest$null;11;1;0;0;0;0;0;0;0;5;0
1;org.databene.jdbacl.ResultsWithMetadataEvoSuiteTest$null;11;1;0;0;0;0;0;0;0;5;0
54;org.databene.jdbacl.identity.NKBuilderEvoSuiteTest$null;12;2;3;5;5;3;2;1;0;2;5
54;org.databene.jdbacl.model.csv.CSVModelExporterEvoSuiteTest$null;12;2;0;0;0;3;2;1;0;2;5
54;org.databene.jdbacl.model.sql.CreateExporterEvoSuiteTest$null;12;3;0;0;0;3;2;1;0;2;5
55;org.databene.jdbacl.model.xml.XMLModelExporterEvoSuiteTest$null;12;3;0;0;0;3;2;1;0;2;5
55;org.databene.jdbacl.swing.DatabaseTreeEvoSuiteTest$null;11;138;0;0;0;3;2;1;0;2;5
55;org.databene.jdbacl.swing.TextFieldValueProviderEvoSuiteTest$null;10;158;0;0;0;3;2;1;0;2;5
