CurrentTotalRuntime,Testname,RuntimeToGetCoverage,RuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
9047447,randoop.RandoopTest1,660,,2840,3062,3062,2840,108,71,2661,1128,3062
11032764,randoop.RandoopTest2,514,,432,431,2891,3272,109,71,3092,696,3493
13524966,randoop.RandoopTest3,496,,332,332,3331,3604,109,71,3424,364,3827
13720975,randoop.RandoopTest4,504,,63,64,3236,3667,109,71,3488,300,3897
13858814,randoop.RandoopTest5,446,,18,18,3164,3686,109,71,3506,282,3913
14542468,randoop.RandoopTest6,491,,134,134,3326,3820,109,71,3640,148,4049
14557148,randoop.RandoopTest7,475,,3,3,3145,3823,109,71,3643,145,4052
14876984,randoop.RandoopTest8,454,,134,135,3111,3957,109,102,3745,11,4186
14881790,randoop.RandoopTest9,514,,2,2,3082,3960,109,102,3748,8,4188
14896143,randoop.RandoopTest10,416,,7,7,3967,3967,109,107,3750,1,4195
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
