CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
1;br.com.jnfe.base.CRTEvoSuiteTest$null;9;14;0;0;0;0;0;0;0;155;0
180;br.com.jnfe.base.CST_COFINSEvoSuiteTest$null;12;3;5;13;13;5;5;0;0;150;13
853;br.com.jnfe.base.CST_GrupoEvoSuiteTest$null;12;3;9;34;34;14;13;1;0;141;47
1094;br.com.jnfe.base.CST_IPIEvoSuiteTest$null;11;2;1;14;14;15;14;1;0;140;61
1341;br.com.jnfe.base.CST_PISEvoSuiteTest$null;11;3;5;13;13;20;19;1;0;135;74
1696;br.com.jnfe.base.CStatEvoSuiteTest$null;13;4;2;18;18;22;20;2;0;133;92
2151;br.com.jnfe.base.C_ICMSEvoSuiteTest$null;12;4;3;27;35;25;22;3;0;130;119
2152;br.com.jnfe.base.ConsReciNFeEvoSuiteTest$null;11;3;0;0;0;25;22;3;0;130;119
2152;br.com.jnfe.base.ContribICMSEvoSuiteTest$null;10;2;0;0;0;25;22;3;0;130;119
2153;br.com.jnfe.base.FinNFeEvoSuiteTest$null;10;1;0;0;0;25;22;3;0;130;119
2154;br.com.jnfe.base.IndPagEvoSuiteTest$null;11;1;0;0;0;25;22;3;0;130;119
2207;br.com.jnfe.base.IndTotEvoSuiteTest$null;9;1;2;4;4;27;24;3;0;128;123
2207;br.com.jnfe.base.ModBCEvoSuiteTest$null;8;1;0;0;0;27;24;3;0;128;123
2208;br.com.jnfe.base.ModBCSTEvoSuiteTest$null;9;1;0;0;0;27;24;3;0;128;123
2209;br.com.jnfe.base.ModFreteEvoSuiteTest$null;9;1;0;0;0;27;24;3;0;128;123
2248;br.com.jnfe.base.ModeloNFeEvoSuiteTest$null;9;1;2;2;2;29;25;4;0;126;125
2249;br.com.jnfe.base.MotDesICMSEvoSuiteTest$null;9;1;0;0;0;29;25;4;0;126;125
2285;br.com.jnfe.base.OrigEvoSuiteTest$null;9;2;1;3;3;30;26;4;0;125;128
2285;br.com.jnfe.base.ProcEmiEvoSuiteTest$null;8;1;0;0;0;30;26;4;0;125;128
2286;br.com.jnfe.base.RegimeEspecialTributarioEvoSuiteTest$null;9;1;0;0;0;30;26;4;0;125;128
2493;br.com.jnfe.base.SitNFeEvoSuiteTest$null;23;2;2;16;16;32;28;4;0;123;144
2508;br.com.jnfe.base.TProvinceEvoSuiteTest$null;9;2;1;1;1;33;29;4;0;122;145
2521;br.com.jnfe.base.TUFsEvoSuiteTest$null;8;1;1;1;1;34;30;4;0;121;146
2522;br.com.jnfe.base.TpAmbEvoSuiteTest$null;8;1;0;0;0;34;30;4;0;121;146
2551;br.com.jnfe.base.TpDetEvoSuiteTest$null;9;1;1;2;2;35;31;4;0;120;148
2551;br.com.jnfe.base.TpEmisEvoSuiteTest$null;8;1;0;0;0;35;31;4;0;120;148
2552;br.com.jnfe.base.TpImpEvoSuiteTest$null;8;1;0;0;0;35;31;4;0;120;148
2552;br.com.jnfe.base.TpNFEvoSuiteTest$null;7;1;0;0;0;35;31;4;0;120;148
2553;br.com.jnfe.base.TpObsNFeEvoSuiteTest$null;8;1;0;0;0;35;31;4;0;120;148
2889;br.com.jnfe.base.TpSerieEvoSuiteTest$null;10;2;13;22;22;48;38;10;0;107;170
2889;br.com.jnfe.base.TpServicoEvoSuiteTest$null;8;1;0;0;0;48;38;10;0;107;170
2890;br.com.jnfe.base.TpVeiculoEvoSuiteTest$null;8;1;0;0;0;48;38;10;0;107;170
2916;br.com.jnfe.base.UFEvoSuiteTest$null;9;2;2;2;2;50;40;10;0;105;172
2917;br.com.jnfe.base.service.DOMNFeKeyInfoBuilderEvoSuiteTest$null;9;109;0;0;0;50;40;10;0;105;172
3260;br.com.jnfe.base.service.DOMNFeSignatureHandlerEvoSuiteTest$null;12;12;6;20;20;56;46;10;0;99;192
3329;br.com.jnfe.base.service.NFeCalculatorImplEvoSuiteTest$null;11;6;3;4;4;59;48;11;0;96;196
