CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
46594;randoop.RandoopTest0$null;221;760;48;207;207;48;22;26;0;165;207
82306;randoop.RandoopTest1$null;204;301;7;159;203;55;27;28;0;158;366
116353;randoop.RandoopTest10$null;214;263;7;155;208;62;28;34;0;151;521
144657;randoop.RandoopTest11$null;180;259;4;150;210;66;29;37;0;147;671
172059;randoop.RandoopTest12$null;185;240;0;146;209;66;29;37;0;147;817
201786;randoop.RandoopTest13$null;192;219;0;146;209;66;29;37;0;147;963
227691;randoop.RandoopTest14$null;166;210;4;146;209;70;29;41;0;143;1109
258782;randoop.RandoopTest15$null;211;216;1;142;209;71;30;41;0;142;1251
285475;randoop.RandoopTest16$null;172;186;0;141;209;71;30;41;0;142;1392
310676;randoop.RandoopTest17$null;162;185;0;141;209;71;30;41;0;142;1533
332173;randoop.RandoopTest18$null;175;183;0;140;208;71;30;41;0;142;1673
357829;randoop.RandoopTest19$null;181;207;0;140;208;71;30;41;0;142;1813
387704;randoop.RandoopTest2$null;219;193;3;140;208;74;30;44;0;139;1953
411585;randoop.RandoopTest20$null;172;151;0;135;206;74;30;44;0;139;2088
437683;randoop.RandoopTest21$null;205;179;0;138;209;74;30;44;0;139;2226
462048;randoop.RandoopTest22$null;195;173;0;138;209;74;30;44;0;139;2364
484167;randoop.RandoopTest23$null;188;165;0;134;205;74;30;44;0;139;2498
506906;randoop.RandoopTest24$null;154;151;0;137;208;74;30;44;0;139;2635
525795;randoop.RandoopTest25$null;164;140;1;138;209;75;30;45;0;138;2773
546407;randoop.RandoopTest26$null;174;149;0;135;206;75;30;45;0;138;2908
567194;randoop.RandoopTest27$null;172;139;0;119;191;75;30;45;0;138;3027
595297;randoop.RandoopTest28$null;295;162;0;137;210;75;30;45;0;138;3164
619332;randoop.RandoopTest29$null;265;142;0;133;205;75;30;45;0;138;3297
650489;randoop.RandoopTest3$null;248;241;0;136;208;75;30;45;0;138;3433
671657;randoop.RandoopTest30$null;132;130;0;137;209;75;30;45;0;138;3570
694736;randoop.RandoopTest31$null;147;146;0;136;209;75;30;45;0;138;3706
719839;randoop.RandoopTest32$null;161;159;0;133;205;75;30;45;0;138;3839
738855;randoop.RandoopTest33$null;123;117;0;127;199;75;30;45;0;138;3966
757859;randoop.RandoopTest34$null;150;155;0;137;209;75;30;45;0;138;4103
779059;randoop.RandoopTest35$null;231;116;0;136;209;75;30;45;0;138;4239
804389;randoop.RandoopTest36$null;352;144;0;133;206;75;30;45;0;138;4372
827137;randoop.RandoopTest37$null;300;130;0;134;206;75;30;45;0;138;4506
837684;randoop.RandoopTest38$null;121;51;0;122;191;75;30;45;0;138;4628
867081;randoop.RandoopTest4$null;228;183;0;137;209;75;30;45;0;138;4765
896382;randoop.RandoopTest5$null;194;184;0;136;208;75;30;45;0;138;4901
931789;randoop.RandoopTest6$null;232;216;0;137;209;75;30;45;0;138;5038
960169;randoop.RandoopTest7$null;186;180;0;137;209;75;30;45;0;138;5175
991517;randoop.RandoopTest8$null;212;205;0;136;208;75;30;45;0;138;5311
1021226;randoop.RandoopTest9$null;193;218;0;137;209;75;30;45;0;138;5448
