CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
209;org.jsecurity.JSecurityExceptionTest$null;7;17;0;27;27;0;0;0;0;550;27
411;org.jsecurity.authc.AccountExceptionTest$null;7;3;0;27;27;0;0;0;0;550;54
723;org.jsecurity.authc.AuthenticationExceptionTest$null;11;3;0;34;34;0;0;0;0;550;88
1056;org.jsecurity.authc.CredentialsExceptionTest$null;10;3;0;27;27;0;0;0;0;550;115
1358;org.jsecurity.authc.ExcessiveAttemptsExceptionTest$null;6;3;0;27;27;0;0;0;0;550;142
1660;org.jsecurity.authc.ExpiredCredentialsExceptionTest$null;7;4;0;27;27;0;0;0;0;550;169
1971;org.jsecurity.authc.IncorrectCredentialsExceptionTest$null;7;3;0;27;27;0;0;0;0;550;196
2362;org.jsecurity.authc.UnknownAccountExceptionTest$null;7;3;0;27;27;0;0;0;0;550;223
2824;org.jsecurity.authc.credential.AllowAllCredentialsMatcherTest$null;9;5;1;29;29;1;1;0;0;549;252
3086;org.jsecurity.authc.pam.UnsupportedTokenExceptionTest$null;6;2;0;27;27;1;1;0;0;549;279
3373;org.jsecurity.authz.AuthorizationExceptionTest$null;6;2;0;27;27;1;1;0;0;549;306
3728;org.jsecurity.authz.HostUnauthorizedExceptionTest$null;7;10;0;27;27;1;1;0;0;549;333
4382;org.jsecurity.authz.SimpleAuthorizationInfoTest$null;10;8;6;39;39;7;1;6;0;543;372
4805;org.jsecurity.authz.aop.AuthenticatedAnnotationMethodInterceptorTest$null;9;5;0;30;30;7;1;6;0;543;402
5245;org.jsecurity.authz.aop.GuestAnnotationMethodInterceptorTest$null;9;5;0;30;30;7;1;6;0;543;432
5709;org.jsecurity.authz.aop.PermissionAnnotationMethodInterceptorTest$null;10;4;0;30;30;7;1;6;0;543;462
6189;org.jsecurity.authz.aop.RoleAnnotationMethodInterceptorTest$null;9;4;0;30;30;7;1;6;0;543;492
6622;org.jsecurity.authz.aop.UserAnnotationMethodInterceptorTest$null;8;5;0;30;30;7;1;6;0;543;522
6863;org.jsecurity.authz.permission.AllPermissionTest$null;6;1;1;28;28;8;2;6;0;542;550
7112;org.jsecurity.authz.permission.InvalidPermissionStringExceptionTest$null;6;1;0;27;27;8;2;6;0;542;577
7377;org.jsecurity.cache.CacheExceptionTest$null;6;2;0;27;27;8;2;6;0;542;604
7699;org.jsecurity.cache.HashtableCacheManagerTest$null;6;2;0;27;27;8;2;6;0;542;631
17350;org.jsecurity.codec.Base64Test$null;15;22;126;409;409;134;3;131;0;416;1040
17601;org.jsecurity.codec.CodecExceptionTest$null;6;3;0;27;27;134;3;131;0;416;1067
27987;org.jsecurity.config.ResourceConfigurationTest$null;75;70;11;86;86;145;3;142;0;405;1153
28224;org.jsecurity.io.ResourceExceptionTest$null;7;3;0;27;27;145;3;142;0;405;1180
28461;org.jsecurity.io.SerializationExceptionTest$null;6;3;0;27;27;145;3;142;0;405;1207
28814;org.jsecurity.session.ExpiredSessionExceptionTest$null;7;3;0;29;29;145;3;142;0;405;1236
29105;org.jsecurity.session.InvalidSessionExceptionTest$null;7;3;0;29;29;145;3;142;0;405;1265
29393;org.jsecurity.session.SessionExceptionTest$null;7;2;0;30;30;145;3;142;0;405;1295
29703;org.jsecurity.session.StoppedSessionExceptionTest$null;7;3;0;29;29;145;3;142;0;405;1324
30033;org.jsecurity.session.UnknownSessionExceptionTest$null;7;23;0;29;29;145;3;142;0;405;1353
33461;org.jsecurity.spring.LifecycleBeanPostProcessorTest$null;53;38;1;52;52;146;3;143;0;404;1405
33719;org.jsecurity.subject.InvalidSubjectExceptionTest$null;7;2;0;27;27;146;3;143;0;404;1432
33981;org.jsecurity.subject.SubjectExceptionTest$null;5;2;0;27;27;146;3;143;0;404;1459
34237;org.jsecurity.util.UnknownClassExceptionTest$null;6;2;0;27;27;146;3;143;0;404;1486
35394;org.jsecurity.web.tags.LacksPermissionTagTest$null;14;10;7;46;46;153;3;150;0;397;1532
36323;org.jsecurity.web.tags.LacksRoleTagTest$null;14;8;3;42;46;156;3;153;0;394;1574
37372;org.jsecurity.web.tags.UserTagTest$null;14;9;3;44;48;159;3;156;0;391;1618
