CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;org.jsecurity.ExceptionTest$null;11;5;0;0;0;0;0;0;0;1986;0
143;org.jsecurity.authc.ConcurrentAccessExceptionTest$null;15;33;4;6;6;4;0;4;0;1982;6
190;org.jsecurity.authc.ExcessiveAttemptsExceptionTest$null;15;11;0;2;6;4;0;4;0;1982;8
237;org.jsecurity.authc.ExpiredCredentialsExceptionTest$null;15;11;0;2;6;4;0;4;0;1982;10
281;org.jsecurity.authc.IncorrectCredentialsExceptionTest$null;15;11;0;2;6;4;0;4;0;1982;12
326;org.jsecurity.authc.LockedAccountExceptionTest$null;15;11;0;2;6;4;0;4;0;1982;14
723;org.jsecurity.authc.SimpleAuthenticationInfoTest$null;11;7;7;25;25;11;0;11;0;1975;39
774;org.jsecurity.authc.UnknownAccountExceptionTest$null;15;10;0;2;6;11;0;11;0;1975;41
788;org.jsecurity.authc.credential.AllowAllCredentialsMatcherTest$null;8;1;1;1;1;12;1;11;0;1974;42
788;org.jsecurity.authc.credential.HashedCredentialsMatcherTest$null;9;1;0;0;0;12;1;11;0;1974;42
2559;org.jsecurity.authc.credential.Md2CredentialsMatcherTest$null;23;29;7;49;51;19;3;16;0;1967;91
4091;org.jsecurity.authc.credential.Md5CredentialsMatcherTest$null;21;15;0;42;51;19;3;16;0;1967;133
5406;org.jsecurity.authc.credential.Sha1CredentialsMatcherTest$null;21;15;0;42;51;19;3;16;0;1967;175
6726;org.jsecurity.authc.credential.Sha256CredentialsMatcherTest$null;21;31;0;42;51;19;3;16;0;1967;217
8037;org.jsecurity.authc.credential.Sha384CredentialsMatcherTest$null;22;14;0;42;51;19;3;16;0;1967;259
9375;org.jsecurity.authc.credential.Sha512CredentialsMatcherTest$null;23;14;0;42;51;19;3;16;0;1967;301
9376;org.jsecurity.authc.credential.SimpleCredentialsMatcherTest$null;6;1;0;0;0;19;3;16;0;1967;301
10014;org.jsecurity.authc.pam.AllSuccessfulModularAuthenticationStrategyTest$null;31;29;1;15;15;20;3;17;0;1966;316
12110;org.jsecurity.authc.support.AbstractAuthenticatorTest$null;51;46;9;30;32;29;11;18;0;1957;346
12142;org.jsecurity.authz.AuthorizationExceptionTest$null;14;8;0;2;6;29;11;18;0;1957;348
12176;org.jsecurity.authz.HostUnauthorizedExceptionTest$null;15;9;0;2;6;29;11;18;0;1957;350
12207;org.jsecurity.authz.UnauthenticatedExceptionTest$null;13;8;0;2;6;29;11;18;0;1957;352
12239;org.jsecurity.authz.UnauthorizedExceptionTest$null;13;7;0;2;6;29;11;18;0;1957;354
12249;org.jsecurity.authz.permission.AllPermissionTest$null;8;1;1;1;1;30;12;18;0;1956;355
13715;org.jsecurity.authz.permission.WildcardPermissionTest$null;27;7;52;95;95;82;30;52;0;1904;450
18665;org.jsecurity.config.ReflectionBuilderTest$null;58;63;40;74;74;122;50;72;0;1864;524
18699;org.jsecurity.io.ResourceExceptionTest$null;14;7;0;2;6;122;50;72;0;1864;526
18733;org.jsecurity.io.SerializationExceptionTest$null;13;7;0;2;6;122;50;72;0;1864;528
124323;org.jsecurity.mgt.DefaultSecurityManagerTest$null;135;154;202;798;835;324;72;251;1;1662;1326
204851;org.jsecurity.mgt.VMSingletonDefaultSecurityManagerTest$null;111;118;8;517;741;332;74;256;2;1654;1843
267350;org.jsecurity.realm.AuthorizingRealmTest$null;95;106;36;380;500;368;91;273;4;1618;2223
307332;org.jsecurity.realm.activedirectory.ActiveDirectoryRealmTest$null;84;77;4;269;373;372;91;276;5;1614;2492
452387;org.jsecurity.subject.DelegatingSubjectTest$null;83;85;80;238;307;452;91;276;85;1534;2730
458817;org.jsecurity.util.StringUtilsTest$null;9;3;35;56;72;487;120;278;89;1499;2786
996021;org.jsecurity.web.DefaultWebSecurityManagerTest$null;81;84;367;368;406;854;120;278;456;1132;3154
1600960;org.jsecurity.web.WebRememberMeManagerTest$null;77;102;417;416;702;1271;120;278;873;715;3570
1600961;org.jsecurity.web.attr.CookieAttributeTest$null;44;47;0;0;17;1271;120;278;873;715;3570
1723085;org.jsecurity.web.servlet.JSecurityFilterTest$null;157;173;87;176;559;1358;123;295;940;628;3746
