CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
1;org.jsecurity.ExceptionTest$null;8;3;0;0;0;0;0;0;0;2010;0
220;org.jsecurity.authc.ConcurrentAccessExceptionTest$null;33;44;4;6;6;4;0;4;0;2006;6
288;org.jsecurity.authc.ExcessiveAttemptsExceptionTest$null;36;39;0;2;6;4;0;4;0;2006;8
353;org.jsecurity.authc.ExpiredCredentialsExceptionTest$null;33;40;0;2;6;4;0;4;0;2006;10
425;org.jsecurity.authc.IncorrectCredentialsExceptionTest$null;33;36;0;2;6;4;0;4;0;2006;12
490;org.jsecurity.authc.LockedAccountExceptionTest$null;35;39;0;2;6;4;0;4;0;2006;14
697;org.jsecurity.authc.SimpleAuthenticationInfoTest$null;8;6;7;25;25;11;0;11;0;1999;39
767;org.jsecurity.authc.UnknownAccountExceptionTest$null;35;46;0;2;6;11;0;11;0;1999;41
774;org.jsecurity.authc.credential.AllowAllCredentialsMatcherTest$null;6;2;1;1;1;12;1;11;0;1998;42
774;org.jsecurity.authc.credential.HashedCredentialsMatcherTest$null;6;1;0;0;0;12;1;11;0;1998;42
2745;org.jsecurity.authc.credential.Md2CredentialsMatcherTest$null;42;51;7;50;52;19;3;16;0;1991;92
4489;org.jsecurity.authc.credential.Md5CredentialsMatcherTest$null;44;41;0;43;52;19;3;16;0;1991;135
6156;org.jsecurity.authc.credential.Sha1CredentialsMatcherTest$null;42;40;0;43;52;19;3;16;0;1991;178
7661;org.jsecurity.authc.credential.Sha256CredentialsMatcherTest$null;45;38;0;43;52;19;3;16;0;1991;221
9138;org.jsecurity.authc.credential.Sha384CredentialsMatcherTest$null;45;45;0;43;52;19;3;16;0;1991;264
10645;org.jsecurity.authc.credential.Sha512CredentialsMatcherTest$null;46;38;0;43;52;19;3;16;0;1991;307
10645;org.jsecurity.authc.credential.SimpleCredentialsMatcherTest$null;7;0;0;0;0;19;3;16;0;1991;307
11320;org.jsecurity.authc.pam.AllSuccessfulModularAuthenticationStrategyTest$null;65;51;1;16;16;20;3;17;0;1990;323
13335;org.jsecurity.authc.support.AbstractAuthenticatorTest$null;69;55;9;36;38;29;11;18;0;1981;359
13393;org.jsecurity.authz.AuthorizationExceptionTest$null;37;27;0;2;6;29;11;18;0;1981;361
13449;org.jsecurity.authz.HostUnauthorizedExceptionTest$null;35;30;0;2;6;29;11;18;0;1981;363
13506;org.jsecurity.authz.UnauthenticatedExceptionTest$null;34;32;0;2;6;29;11;18;0;1981;365
13564;org.jsecurity.authz.UnauthorizedExceptionTest$null;33;36;0;2;6;29;11;18;0;1981;367
13568;org.jsecurity.authz.permission.AllPermissionTest$null;7;1;1;1;1;30;12;18;0;1980;368
14221;org.jsecurity.authz.permission.WildcardPermissionTest$null;24;6;52;95;95;82;31;51;0;1928;463
17923;org.jsecurity.config.ReflectionBuilderTest$null;66;66;40;75;75;122;52;70;0;1888;538
17991;org.jsecurity.io.ResourceExceptionTest$null;35;31;0;2;6;122;52;70;0;1888;540
18101;org.jsecurity.io.SerializationExceptionTest$null;33;27;0;2;6;122;52;70;0;1888;542
121945;org.jsecurity.mgt.DefaultSecurityManagerTest$null;151;144;202;825;862;324;74;249;1;1686;1367
389905;org.jsecurity.mgt.VMSingletonDefaultSecurityManagerTest$null;123;126;199;543;767;523;74;252;197;1487;1910
726551;org.jsecurity.realm.AuthorizingRealmTest$null;101;96;300;301;515;824;74;252;498;1186;2211
739978;org.jsecurity.realm.activedirectory.ActiveDirectoryRealmTest$null;94;87;12;12;389;837;74;252;511;1173;2223
810589;org.jsecurity.subject.DelegatingSubjectTest$null;95;92;62;63;314;899;74;252;573;1111;2286
813101;org.jsecurity.util.StringUtilsTest$null;10;3;32;56;72;932;102;254;576;1078;2342
1165312;org.jsecurity.web.DefaultWebSecurityManagerTest$null;90;97;314;315;410;1246;102;254;890;764;2657
1607476;org.jsecurity.web.WebRememberMeManagerTest$null;77;194;404;405;703;1651;102;254;1295;359;3062
1607476;org.jsecurity.web.attr.CookieAttributeTest$null;55;62;1;0;17;1652;102;254;1296;358;3062
1635192;org.jsecurity.web.servlet.JSecurityFilterTest$null;152;170;32;170;566;1684;105;282;1297;326;3232
