CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;nu.staldal.lagoon.BuildSitemapEvoSuiteTest$null;7;15;0;0;0;0;0;0;0;1015;0
16;nu.staldal.lagoon.LagoonCLIEvoSuiteTest$null;9;6;0;1;1;0;0;0;0;1015;1
204;nu.staldal.lagoon.MyParserEvoSuiteTest$null;16;82;2;12;12;2;2;0;0;1013;13
289;nu.staldal.lagoon.TextAreaWriterEvoSuiteTest$null;6;4;8;13;13;10;4;6;0;1005;26
289;nu.staldal.lagoon.XMLCheckEvoSuiteTest$null;6;1;0;0;0;10;4;6;0;1005;26
298;nu.staldal.lagoon.core.DeleteEntryEvoSuiteTest$null;8;5;0;1;1;10;4;6;0;1005;27
312;nu.staldal.lagoon.core.FileEntryEvoSuiteTest$null;6;2;1;2;2;11;5;6;0;1004;29
331;nu.staldal.lagoon.core.FormatEvoSuiteTest$null;9;6;0;2;2;11;5;6;0;1004;31
1159;nu.staldal.lagoon.core.LagoonProcessorEvoSuiteTest$null;18;17;9;37;37;20;5;15;0;995;68
1258;nu.staldal.lagoon.core.OutputEntryEvoSuiteTest$null;12;7;3;5;5;23;8;15;0;992;73
1259;nu.staldal.lagoon.core.ParseEvoSuiteTest$null;9;6;0;0;2;23;8;15;0;992;73
1987;nu.staldal.lagoon.core.PartEntryEvoSuiteTest$null;18;14;5;27;29;28;8;20;0;987;100
1987;nu.staldal.lagoon.core.ReadEvoSuiteTest$null;7;3;0;0;2;28;8;20;0;987;100
2017;nu.staldal.lagoon.core.RemoteFileStorageEvoSuiteTest$null;9;5;2;2;2;30;10;20;0;985;102
2555;nu.staldal.lagoon.core.SitemapEvoSuiteTest$null;12;6;5;28;32;35;10;25;0;980;130
2555;nu.staldal.lagoon.core.SourceEvoSuiteTest$null;8;3;0;0;2;35;10;25;0;980;130
2556;nu.staldal.lagoon.core.TransformEvoSuiteTest$null;9;5;0;0;2;35;10;25;0;980;130
2742;nu.staldal.lagoon.filestorage.FTPFileStorageEvoSuiteTest$null;12;9;3;9;11;38;13;25;0;977;139
4505;nu.staldal.lagoon.filestorage.LocalFileStorageEvoSuiteTest$null;15;106;30;47;47;68;30;31;7;947;186
5702;nu.staldal.lagoon.filestorage.SSHFileStorageEvoSuiteTest$null;18;6;25;68;69;93;33;53;7;922;254
5703;nu.staldal.lagoon.producer.DirSourceEvoSuiteTest$null;8;4;0;0;2;93;33;53;7;922;254
5715;nu.staldal.lagoon.producer.FileReadEvoSuiteTest$null;8;4;0;1;3;93;33;53;7;922;255
5740;nu.staldal.lagoon.producer.FileSourceEvoSuiteTest$null;7;3;1;2;4;94;34;53;7;921;257
6179;nu.staldal.lagoon.producer.IslandSplitEvoSuiteTest$null;13;8;8;25;27;102;41;54;7;913;282
6491;nu.staldal.lagoon.producer.LSSIHandlerEvoSuiteTest$null;10;5;5;25;25;107;44;56;7;908;307
6532;nu.staldal.lagoon.producer.LSSITransformerEvoSuiteTest$null;9;5;0;3;5;107;44;56;7;908;310
7347;nu.staldal.lagoon.producer.MyInputStreamEvoSuiteTest$null;6;1;9;17;17;116;44;58;14;899;327
7431;nu.staldal.lagoon.producer.MyOutputStreamEvoSuiteTest$null;6;2;5;8;8;121;47;60;14;894;335
7439;nu.staldal.lagoon.producer.StylesheetContainerEvoSuiteTest$null;5;0;1;1;1;122;48;60;14;893;336
7779;nu.staldal.lagoon.producer.XMLFormatterEvoSuiteTest$null;13;9;6;18;20;128;48;66;14;887;354
8008;nu.staldal.lagoon.producer.XMLParseEvoSuiteTest$null;14;26;0;11;13;128;48;66;14;887;365
8309;nu.staldal.lagoon.producer.XSLTransformerEvoSuiteTest$null;10;6;8;20;23;136;49;73;14;879;385
8320;nu.staldal.lagoon.util.TemplateProcessorEvoSuiteTest$null;6;2;1;1;1;137;50;73;14;878;386
8910;nu.staldal.lagoon.util.WildcardEvoSuiteTest$null;8;4;44;56;56;181;74;93;14;834;442
9533;nu.staldal.util.UtilsEvoSuiteTest$null;12;5;49;60;64;230;113;103;14;785;502
10045;nu.staldal.xmlutil.ContentHandlerAdapterEvoSuiteTest$null;9;4;16;49;49;246;114;118;14;769;551
12607;nu.staldal.xmlutil.ContentHandlerFixerEvoSuiteTest$null;18;12;48;174;174;294;115;165;14;721;725
13926;nu.staldal.xmlutil.DocumentHandlerAdapterEvoSuiteTest$null;14;8;34;105;105;328;116;198;14;687;830
13956;nu.staldal.xodus.OutputConfigEvoSuiteTest$null;5;1;1;4;4;329;116;199;14;686;834
13997;nu.staldal.xtree.ProcessingInstructionEvoSuiteTest$null;6;2;0;5;5;329;116;199;14;686;839
17343;nu.staldal.xtree.SequentialTreeBuilderEvoSuiteTest$null;23;16;38;146;150;367;130;223;14;648;985
17635;nu.staldal.xtree.TextEvoSuiteTest$null;8;3;9;36;36;376;137;225;14;639;1021
19432;nu.staldal.xtree.TreeBuilderEvoSuiteTest$null;36;15;4;79;95;380;138;228;14;635;1100
19568;nu.staldal.xtree.XTreeXMLDataContentHandlerEvoSuiteTest$null;10;16;3;11;11;383;138;231;14;632;1111
