CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
158;net.sf.lavalamp.LavaLoggerTest$null;23;47;0;11;11;0;0;0;0;24;11
158;net.sf.lavalamp.device.ActionsTest$null;9;4;0;0;0;0;0;0;0;24;11
166;net.sf.lavalamp.device.CrashTest$null;8;2;0;1;1;0;0;0;0;24;12
187;net.sf.lavalamp.device.DummyDeviceTest$null;13;9;0;2;2;0;0;0;0;24;14
188;net.sf.lavalamp.device.HtmlFormatterTest$null;6;2;0;0;0;0;0;0;0;24;14
195;net.sf.lavalamp.device.StatusQuoTest$null;7;2;0;1;1;0;0;0;0;24;15
239;net.sf.lavalamp.device.TurnOffTest$null;8;3;0;6;6;0;0;0;0;24;21
287;net.sf.lavalamp.device.TurnOnTest$null;7;3;0;6;6;0;0;0;0;24;27
287;net.sf.lavalamp.properties.MissingPropertyExceptionTest$null;5;2;0;0;0;0;0;0;0;24;27
287;net.sf.lavalamp.properties.OffTest$null;6;4;0;0;0;0;0;0;0;24;27
288;net.sf.lavalamp.site.AbstractGetterTest$null;19;3;0;0;0;0;0;0;0;24;27
3064;net.sf.lavalamp.site.AuthBuildSiteTest$null;1144;13544;1;4;4;1;1;0;0;23;31
3072;net.sf.lavalamp.site.BuildPropertiesTest$null;8;4;1;1;1;2;2;0;0;22;32
3072;net.sf.lavalamp.site.ConsoleTest$null;698;705;0;0;0;2;2;0;0;22;32
3089;net.sf.lavalamp.site.DummyRemoteGetterTest$null;8;4;0;2;2;2;2;0;0;22;34
3089;net.sf.lavalamp.site.LoginFailedExceptionTest$null;7;1;0;0;0;2;2;0;0;22;34
3089;net.sf.lavalamp.site.LoginRequiredExceptionTest$null;5;1;0;0;0;2;2;0;0;22;34
3089;net.sf.lavalamp.site.MissingBuildExceptionTest$null;5;1;0;0;0;2;2;0;0;22;34
3089;net.sf.lavalamp.site.SitePropertiesTest$null;7;2;0;0;0;2;2;0;0;22;34
