CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
173;net.sf.lavalamp.LavaLoggerEvoSuiteTest$null;22;28;4;9;9;4;4;0;0;149;9
187;net.sf.lavalamp.PauseEvoSuiteTest$null;13;1;1;1;1;5;5;0;0;148;10
187;net.sf.lavalamp.application.AlwaysOffEvoSuiteTest$null;13;2;0;0;0;5;5;0;0;148;10
262;net.sf.lavalamp.application.ApplicationPropertiesEvoSuiteTest$null;25;8;4;4;4;9;9;0;0;144;14
413;net.sf.lavalamp.application.UniversalRunnerEvoSuiteTest$null;18;5;6;10;10;15;12;3;0;138;24
1024;net.sf.lavalamp.device.AbstractDeviceEvoSuiteTest$null;45;19;8;19;21;23;13;10;0;130;43
1025;net.sf.lavalamp.device.ActionsEvoSuiteTest$null;20;5;0;0;0;23;13;10;0;130;43
4682;net.sf.lavalamp.device.BlinkEvoSuiteTest$null;518;504;4;12;13;27;16;11;0;126;55
4696;net.sf.lavalamp.device.CrashEvoSuiteTest$null;17;7;0;1;1;27;16;11;0;126;56
4777;net.sf.lavalamp.device.DevicePropertiesEvoSuiteTest$null;33;24;1;4;5;28;16;12;0;125;60
4803;net.sf.lavalamp.device.DummyDeviceEvoSuiteTest$null;18;9;0;2;4;28;16;12;0;125;62
5057;net.sf.lavalamp.device.HtmlFormatterEvoSuiteTest$null;21;12;14;16;16;42;30;12;0;111;78
5850;net.sf.lavalamp.device.PeriodEvoSuiteTest$null;25;17;31;55;55;73;61;12;0;80;133
5863;net.sf.lavalamp.device.StatusQuoEvoSuiteTest$null;17;6;0;1;1;73;61;12;0;80;134
6097;net.sf.lavalamp.device.TimeOfDayEvoSuiteTest$null;27;18;11;18;27;84;67;17;0;69;152
6139;net.sf.lavalamp.device.TurnOffEvoSuiteTest$null;19;7;1;2;2;85;68;17;0;68;154
6187;net.sf.lavalamp.device.TurnOnEvoSuiteTest$null;18;7;1;4;6;86;69;17;0;67;158
6305;net.sf.lavalamp.device.impl.TellStickEvoSuiteTest$null;24;14;1;8;10;87;70;17;0;66;166
6306;net.sf.lavalamp.factories.DeviceBuildsFactoryEvoSuiteTest$null;16;6;0;0;1;87;70;17;0;66;166
6306;net.sf.lavalamp.properties.OffEvoSuiteTest$null;39;7;0;0;0;87;70;17;0;66;166
6307;net.sf.lavalamp.site.AbstractGetterEvoSuiteTest$null;12;3;0;0;0;87;70;17;0;66;166
6322;net.sf.lavalamp.site.BuildCheckerEvoSuiteTest$null;19;5;0;1;2;87;70;17;0;66;167
6333;net.sf.lavalamp.site.BuildEvoSuiteTest$null;18;4;1;1;3;88;71;17;0;65;168
6345;net.sf.lavalamp.site.BuildPropertiesEvoSuiteTest$null;17;3;1;1;1;89;72;17;0;64;169
6473;net.sf.lavalamp.site.BuildsEvoSuiteTest$null;21;5;4;10;12;93;75;18;0;60;179
6492;net.sf.lavalamp.site.DummyRemoteGetterEvoSuiteTest$null;14;5;0;2;2;93;75;18;0;60;181
6513;net.sf.lavalamp.site.DummyRestGetterEvoSuiteTest$null;15;9;2;2;2;95;76;19;0;58;183
6514;net.sf.lavalamp.site.SiteFactoryEvoSuiteTest$null;11;3;0;0;0;95;76;19;0;58;183
6514;net.sf.lavalamp.site.SitePropertiesEvoSuiteTest$null;18;8;0;0;0;95;76;19;0;58;183
