CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
16853;com.sap.managementconsole.soap.axis.sapcontrol.ProfileParameterTest$null;123;95;10;148;148;10;0;9;1;247;148
22118;com.sap.managementconsole.soap.axis.sapcontrol.holders.AlertHolderTest$null;83;69;0;63;63;10;0;9;1;247;211
22118;com.sap.managementconsole.soap.axis.sapcontrol.holders.ArrayOfAlertHolderTest$null;8;2;0;0;0;10;0;9;1;247;211
22118;com.sap.managementconsole.soap.axis.sapcontrol.holders.ArrayOfStringHolderTest$null;10;1;0;0;0;10;0;9;1;247;211
22119;com.sap.managementconsole.soap.axis.saphostcontrol.holders.ArrayOfDatabaseComponentHolderTest$null;10;2;0;0;0;10;0;9;1;247;211
23558;com.sap.managementconsole.soap.axis.saphostcontrol.holders.DatabaseComponentHolderTest$null;82;69;0;16;16;10;0;9;1;247;227
23558;com.sap.netweaver.porta.core.AuthenticationRefusedExceptionTest$null;8;1;0;0;0;10;0;9;1;247;227
23558;com.sap.netweaver.porta.core.CoreExceptionTest$null;8;1;0;0;0;10;0;9;1;247;227
23558;com.sap.netweaver.porta.core.CredentialsTest$null;8;1;0;0;0;10;0;9;1;247;227
23558;com.sap.netweaver.porta.core.NoWSGateExceptionTest$null;8;1;0;0;0;10;0;9;1;247;227
23558;com.sap.netweaver.porta.core.NotAuthorizedExceptionTest$null;8;2;0;0;0;10;0;9;1;247;227
23558;com.sap.netweaver.porta.core.ProxyExceptionTest$null;9;1;0;0;0;10;0;9;1;247;227
23558;com.sap.netweaver.porta.core.ServerStateTest$null;8;1;0;0;0;10;0;9;1;247;227
23607;com.sap.netweaver.porta.core.mock.ApplicationMockTest$null;14;6;3;5;5;13;0;12;1;244;232
23607;com.sap.netweaver.porta.core.mock.DeployResultMockTest$null;8;3;0;0;0;13;0;12;1;244;232
23616;com.sap.netweaver.porta.core.mock.ServerFactoryTest$null;11;2;1;1;1;14;1;12;1;243;233
23688;com.sap.netweaver.porta.core.mock.ServerMockTest$null;14;6;3;6;6;17;3;13;1;240;239
23688;com.sap.netweaver.porta.core.nw7.DeployResultImplTest$null;9;2;0;0;0;17;3;13;1;240;239
23688;com.sap.netweaver.porta.core.nw7.FaultReasonsTest$null;8;1;0;0;0;17;3;13;1;240;239
24070;com.sap.netweaver.porta.ide.eclipse.axis.proxy.AxisTransportClientPropertiesTest$null;79;67;4;5;5;21;7;13;1;236;244
24070;com.sap.netweaver.porta.ide.eclipse.server.control.PublishExceptionTest$null;10;2;0;0;0;21;7;13;1;236;244
25307;com.sap.netweaver.porta.ide.eclipse.server.control.SapNWLaunchConfigurationTabGroupTest$null;116;138;9;13;13;30;7;22;1;227;257
25307;com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNW710RuntimeTest$null;24;11;0;0;0;30;7;22;1;227;257
25308;com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNW711RuntimeTest$null;18;12;0;0;0;30;7;22;1;227;257
25308;com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNW720RuntimeTest$null;18;12;0;0;0;30;7;22;1;227;257
25308;com.sap.netweaver.porta.mon.CommandFactoryTest$null;16;10;0;0;0;30;7;22;1;227;257
