CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
23;com.sap.netweaver.porta.core.ApplicationStatusEvoSuiteTest$null;9;15;2;2;2;2;1;1;0;69;2
24;com.sap.netweaver.porta.core.CredentialsEvoSuiteTest$null;8;1;0;0;0;2;1;1;0;69;2
24;com.sap.netweaver.porta.core.DebugSessionInfoEvoSuiteTest$null;8;1;0;0;0;2;1;1;0;69;2
43;com.sap.netweaver.porta.core.DeployResultStatusEvoSuiteTest$null;9;2;2;2;2;4;2;2;0;67;4
77;com.sap.netweaver.porta.core.ServerFactoryEvoSuiteTest$null;16;10;0;2;2;4;2;2;0;67;6
77;com.sap.netweaver.porta.core.ServerStateEvoSuiteTest$null;8;1;0;0;0;4;2;2;0;67;6
719;com.sap.netweaver.porta.core.mock.CoreModuleMockEvoSuiteTest$null;12;5;13;27;27;17;9;7;1;54;33
740;com.sap.netweaver.porta.core.mock.DeployManagerMockEvoSuiteTest$null;11;5;1;1;4;18;10;7;1;53;34
741;com.sap.netweaver.porta.core.mock.DeployResultMockEvoSuiteTest$null;9;2;0;0;0;18;10;7;1;53;34
910;com.sap.netweaver.porta.core.mock.LifecycleManagerMockEvoSuiteTest$null;12;7;0;8;8;18;10;7;1;53;42
927;com.sap.netweaver.porta.core.mock.ServerFactoryEvoSuiteTest$null;10;4;1;1;1;19;10;8;1;52;43
1090;com.sap.netweaver.porta.core.mock.ServerMockEvoSuiteTest$null;16;110;2;6;6;21;12;8;1;50;49
1112;com.sap.netweaver.porta.core.nw7.ApplicationImplEvoSuiteTest$null;12;5;1;1;1;22;13;8;1;49;50
2430;com.sap.netweaver.porta.core.nw7.CoreModuleImplEvoSuiteTest$null;15;8;11;14;14;33;15;9;9;38;64
2431;com.sap.netweaver.porta.core.nw7.DMUtilsImplEvoSuiteTest$null;9;3;0;0;0;33;15;9;9;38;64
2431;com.sap.netweaver.porta.core.nw7.DeployResultImplEvoSuiteTest$null;9;2;0;0;0;33;15;9;9;38;64
2431;com.sap.netweaver.porta.core.nw7.FaultReasonsEvoSuiteTest$null;13;2;0;0;0;33;15;9;9;38;64
2432;com.sap.netweaver.porta.core.nw7.LMUtilsImplEvoSuiteTest$null;9;2;0;0;0;33;15;9;9;38;64
2432;com.sap.netweaver.porta.core.snippets.SnippetFindJ2EEInstanceEvoSuiteTest$null;8;1;0;0;0;33;15;9;9;38;64
2433;com.sap.netweaver.porta.core.snippets.SnippetGetApplicationsEvoSuiteTest$null;7;1;0;0;0;33;15;9;9;38;64
2433;com.sap.netweaver.porta.core.snippets.SnippetGetHttpAccessPointEvoSuiteTest$null;8;0;0;0;0;33;15;9;9;38;64
2434;com.sap.netweaver.porta.core.snippets.SnippetGetProcessListEvoSuiteTest$null;7;1;0;0;0;33;15;9;9;38;64
2434;com.sap.netweaver.porta.core.snippets.SnippetGetSystemNameEvoSuiteTest$null;7;1;0;0;0;33;15;9;9;38;64
2435;com.sap.netweaver.porta.core.snippets.SnippetJ2EEGetProcessListEvoSuiteTest$null;8;1;0;0;0;33;15;9;9;38;64
2435;com.sap.netweaver.porta.core.snippets.SnippetPingEvoSuiteTest$null;7;1;0;0;0;33;15;9;9;38;64
2436;com.sap.netweaver.porta.core.snippets.SnippetServerFactoryEvoSuiteTest$null;7;1;0;0;0;33;15;9;9;38;64
2436;com.sap.netweaver.porta.core.snippets.SnippetShutdownInstanceEvoSuiteTest$null;8;1;0;0;0;33;15;9;9;38;64
2436;com.sap.netweaver.porta.core.snippets.SnippetStartStopServerEvoSuiteTest$null;7;1;0;0;0;33;15;9;9;38;64
2503;com.sap.netweaver.porta.core.snippets.SnippetUseDeployManagerEvoSuiteTest$null;10;3;2;4;6;35;17;9;9;36;68
2504;com.sap.netweaver.porta.ide.eclipse.util.FacetUtilEvoSuiteTest$null;7;1;0;0;0;35;17;9;9;36;68
2504;com.sap.netweaver.porta.ide.eclipse.util.SapNWServerUtilEvoSuiteTest$null;7;1;0;0;0;35;17;9;9;36;68
2505;com.sap.netweaver.porta.ide.eclipse.util.StatusUtilEvoSuiteTest$null;7;1;0;0;0;35;17;9;9;36;68
2540;com.sap.netweaver.porta.mon.AppCommandEvoSuiteTest$null;11;4;0;2;2;35;17;9;9;36;70
2541;com.sap.netweaver.porta.mon.CommandEvoSuiteTest$null;8;3;0;0;0;35;17;9;9;36;70
2541;com.sap.netweaver.porta.mon.CommandFactoryEvoSuiteTest$null;18;12;0;0;0;35;17;9;9;36;70
2542;com.sap.netweaver.porta.mon.DeployCommandEvoSuiteTest$null;8;2;0;0;0;35;17;9;9;36;70
2596;com.sap.netweaver.porta.mon.DeployManagerAuthenticationCallbackEvoSuiteTest$null;10;4;0;3;3;35;17;9;9;36;73
2626;com.sap.netweaver.porta.mon.DisableDebuggingCommandEvoSuiteTest$null;17;11;0;1;1;35;17;9;9;36;74
