CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
25;com.sap.netweaver.porta.core.ApplicationStatusTest$null;13;17;2;2;2;2;1;1;0;1758;2
25;com.sap.netweaver.porta.core.AuthenticationReasonTest$null;11;2;0;0;0;2;1;1;0;1758;2
26;com.sap.netweaver.porta.core.AuthenticationRefusedExceptionTest$null;11;2;0;0;0;2;1;1;0;1758;2
26;com.sap.netweaver.porta.core.CoreExceptionTest$null;12;2;0;0;0;2;1;1;0;1758;2
26;com.sap.netweaver.porta.core.CredentialsTest$null;10;1;0;0;0;2;1;1;0;1758;2
27;com.sap.netweaver.porta.core.DebugSessionInfoTest$null;10;1;0;0;0;2;1;1;0;1758;2
49;com.sap.netweaver.porta.core.DeployResultStatusTest$null;12;2;2;2;2;4;2;2;0;1756;4
49;com.sap.netweaver.porta.core.NoWSGateExceptionTest$null;11;2;0;0;0;4;2;2;0;1756;4
49;com.sap.netweaver.porta.core.NotAuthorizedExceptionTest$null;11;3;0;0;0;4;2;2;0;1756;4
49;com.sap.netweaver.porta.core.ProxyExceptionTest$null;11;2;0;0;0;4;2;2;0;1756;4
50;com.sap.netweaver.porta.core.ServerStateTest$null;11;2;0;0;0;4;2;2;0;1756;4
184;com.sap.netweaver.porta.core.mock.ApplicationMockTest$null;15;14;3;7;7;7;4;3;0;1753;11
658;com.sap.netweaver.porta.core.mock.CoreModuleMockTest$null;15;5;12;21;21;19;11;7;1;1741;32
1142;com.sap.netweaver.porta.core.mock.DeployManagerMockTest$null;18;10;4;18;31;23;15;7;1;1737;50
1143;com.sap.netweaver.porta.core.mock.DeployResultMockTest$null;11;2;0;0;0;23;15;7;1;1737;50
1567;com.sap.netweaver.porta.core.mock.LifecycleManagerMockTest$null;14;5;0;17;27;23;15;7;1;1737;67
1585;com.sap.netweaver.porta.core.mock.ServerFactoryTest$null;12;4;1;1;1;24;16;7;1;1736;68
1735;com.sap.netweaver.porta.core.mock.ServerMockTest$null;15;14;4;6;6;28;19;8;1;1732;74
6567;com.sap.netweaver.porta.core.nw7.ApplicationImplTest$null;50;70;1;60;62;29;20;8;1;1731;134
33517;com.sap.netweaver.porta.core.nw7.DeployManagerImplTest$null;132;147;20;195;196;49;29;19;1;1711;329
33517;com.sap.netweaver.porta.core.nw7.DeployResultImplTest$null;10;1;0;0;0;49;29;19;1;1711;329
33518;com.sap.netweaver.porta.core.nw7.FaultReasonsTest$null;11;3;0;0;0;49;29;19;1;1711;329
710160;com.sap.netweaver.porta.core.nw7.LMUtilsTest$null;513;610;144;1488;1489;193;88;89;16;1567;1817
767543;com.sap.netweaver.porta.core.nw7.LifecycleManagerImplTest$null;267;269;58;182;199;251;121;114;16;1509;1999
768980;com.sap.netweaver.porta.core.nw7.OperationTest$null;220;207;7;7;13;258;127;115;16;1502;2006
769006;com.sap.netweaver.porta.core.nw7.ServerFactoryTest$null;12;6;2;2;2;260;129;115;16;1500;2008
775232;com.sap.netweaver.porta.core.nw7.ServerImplTest$null;99;98;3;49;63;263;131;116;16;1497;2057
