CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
13478;com.sap.managementconsole.soap.axis.sapcontrol.ProfileParameterTest$null;72;59;10;148;148;10;0;10;0;247;148
17100;com.sap.managementconsole.soap.axis.sapcontrol.holders.AlertHolderTest$null;40;31;0;63;63;10;0;10;0;247;211
17100;com.sap.managementconsole.soap.axis.sapcontrol.holders.ArrayOfAlertHolderTest$null;9;1;0;0;0;10;0;10;0;247;211
17100;com.sap.managementconsole.soap.axis.sapcontrol.holders.ArrayOfStringHolderTest$null;7;1;0;0;0;10;0;10;0;247;211
17101;com.sap.managementconsole.soap.axis.saphostcontrol.holders.ArrayOfDatabaseComponentHolderTest$null;9;1;0;0;0;10;0;10;0;247;211
17955;com.sap.managementconsole.soap.axis.saphostcontrol.holders.DatabaseComponentHolderTest$null;40;28;0;16;16;10;0;10;0;247;227
17956;com.sap.netweaver.porta.core.AuthenticationRefusedExceptionTest$null;6;1;0;0;0;10;0;10;0;247;227
17956;com.sap.netweaver.porta.core.CoreExceptionTest$null;5;0;0;0;0;10;0;10;0;247;227
17956;com.sap.netweaver.porta.core.CredentialsTest$null;5;1;0;0;0;10;0;10;0;247;227
17957;com.sap.netweaver.porta.core.NoWSGateExceptionTest$null;6;1;0;0;0;10;0;10;0;247;227
17957;com.sap.netweaver.porta.core.NotAuthorizedExceptionTest$null;5;1;0;0;0;10;0;10;0;247;227
17957;com.sap.netweaver.porta.core.ProxyExceptionTest$null;6;1;0;0;0;10;0;10;0;247;227
17958;com.sap.netweaver.porta.core.ServerStateTest$null;5;1;0;0;0;10;0;10;0;247;227
18026;com.sap.netweaver.porta.core.mock.ApplicationMockTest$null;11;6;3;5;5;13;0;13;0;244;232
18027;com.sap.netweaver.porta.core.mock.DeployResultMockTest$null;6;1;0;0;0;13;0;13;0;244;232
18037;com.sap.netweaver.porta.core.mock.ServerFactoryTest$null;7;2;1;1;1;14;1;13;0;243;233
18123;com.sap.netweaver.porta.core.mock.ServerMockTest$null;9;6;3;6;6;17;3;14;0;240;239
18123;com.sap.netweaver.porta.core.nw7.DeployResultImplTest$null;6;1;0;0;0;17;3;14;0;240;239
18124;com.sap.netweaver.porta.core.nw7.FaultReasonsTest$null;5;1;0;0;0;17;3;14;0;240;239
18379;com.sap.netweaver.porta.ide.eclipse.axis.proxy.AxisTransportClientPropertiesTest$null;33;27;5;5;5;22;8;14;0;235;244
18379;com.sap.netweaver.porta.ide.eclipse.server.control.PublishExceptionTest$null;7;2;0;0;0;22;8;14;0;235;244
20785;com.sap.netweaver.porta.ide.eclipse.server.control.SapNWLaunchConfigurationTabGroupTest$null;95;144;9;13;13;31;8;23;0;226;257
20785;com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNW710RuntimeTest$null;13;10;0;0;0;31;8;23;0;226;257
20785;com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNW711RuntimeTest$null;13;8;0;0;0;31;8;23;0;226;257
20785;com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNW720RuntimeTest$null;12;8;0;0;0;31;8;23;0;226;257
20786;com.sap.netweaver.porta.mon.CommandFactoryTest$null;13;7;0;0;0;31;8;23;0;226;257
