CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
18512;randoop.RandoopTest0$null;90;111;244;398;398;244;78;161;5;174;398
26819;randoop.RandoopTest1$null;53;56;7;148;389;251;85;161;5;167;546
33338;randoop.RandoopTest10$null;71;47;6;161;408;257;89;163;5;161;707
39091;randoop.RandoopTest11$null;44;46;0;123;372;257;89;163;5;161;830
44346;randoop.RandoopTest12$null;42;43;1;129;379;258;90;163;5;160;959
50258;randoop.RandoopTest13$null;44;43;0;142;392;258;90;163;5;160;1101
57993;randoop.RandoopTest14$null;44;55;0;150;401;258;90;163;5;160;1251
62940;randoop.RandoopTest15$null;41;67;0;122;372;258;90;163;5;160;1373
67027;randoop.RandoopTest16$null;44;76;0;122;372;258;90;163;5;160;1495
72292;randoop.RandoopTest17$null;44;66;1;122;373;259;90;164;5;159;1617
77816;randoop.RandoopTest18$null;45;67;0;141;393;259;90;164;5;159;1758
83402;randoop.RandoopTest19$null;42;54;0;121;372;259;90;164;5;159;1879
90676;randoop.RandoopTest2$null;47;63;0;133;389;259;90;164;5;159;2012
95502;randoop.RandoopTest20$null;45;31;0;129;381;259;90;164;5;159;2141
99489;randoop.RandoopTest21$null;41;26;0;125;379;259;90;164;5;159;2266
103774;randoop.RandoopTest22$null;43;27;0;129;382;259;90;164;5;159;2395
108006;randoop.RandoopTest23$null;41;26;0;129;381;259;90;164;5;159;2524
112575;randoop.RandoopTest24$null;40;25;0;141;386;259;90;164;5;159;2665
119501;randoop.RandoopTest25$null;68;28;0;153;408;259;90;164;5;159;2818
125661;randoop.RandoopTest26$null;46;26;0;141;392;259;90;164;5;159;2959
130314;randoop.RandoopTest27$null;42;38;0;121;372;259;90;164;5;159;3080
134591;randoop.RandoopTest28$null;40;24;0;121;366;259;90;164;5;159;3201
139450;randoop.RandoopTest29$null;47;27;0;121;372;259;90;164;5;159;3322
144781;randoop.RandoopTest3$null;44;24;0;133;388;259;90;164;5;159;3455
150200;randoop.RandoopTest30$null;43;22;0;121;372;259;90;164;5;159;3576
154953;randoop.RandoopTest31$null;43;22;0;121;372;259;90;164;5;159;3697
161743;randoop.RandoopTest32$null;43;22;0;141;392;259;90;164;5;159;3838
167264;randoop.RandoopTest33$null;43;23;0;141;392;259;90;164;5;159;3979
172110;randoop.RandoopTest34$null;44;23;0;121;372;259;90;164;5;159;4100
177630;randoop.RandoopTest35$null;44;23;0;141;392;259;90;164;5;159;4241
