CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
39;net.sourceforge.schemaspy.RevisionTest$null;5;1;1;6;6;1;1;0;0;210;6
40;net.sourceforge.schemaspy.model.ConnectionFailureTest$null;6;4;0;0;0;1;1;0;0;210;6
40;net.sourceforge.schemaspy.model.EmptySchemaExceptionTest$null;3;0;0;0;0;1;1;0;0;210;6
40;net.sourceforge.schemaspy.model.InvalidConfigurationExceptionTest$null;13;9;0;0;0;1;1;0;0;210;6
40;net.sourceforge.schemaspy.model.ProcessExecutionExceptionTest$null;6;4;0;0;0;1;1;0;0;210;6
40;net.sourceforge.schemaspy.model.RoutineParameterTest$null;6;3;0;0;0;1;1;0;0;210;6
225;net.sourceforge.schemaspy.model.xml.SchemaMetaTest$null;9;6;0;9;9;1;1;0;0;210;15
226;net.sourceforge.schemaspy.util.CaseInsensitiveMapTest$null;6;4;0;0;0;1;1;0;0;210;15
226;net.sourceforge.schemaspy.util.ConsolePasswordReaderTest$null;4;4;0;0;0;1;1;0;0;210;15
546;net.sourceforge.schemaspy.util.VersionTest$null;5;2;16;31;31;17;12;5;0;194;46
3448;net.sourceforge.schemaspy.view.HtmlDiagramFormatterTest$null;16;9;12;123;127;29;12;17;0;182;169
4583;net.sourceforge.schemaspy.view.StyleSheetTest$null;18;7;16;53;58;45;13;31;1;166;222
