CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
24;net.sourceforge.schemaspy.DbAnalyzerEvoSuiteTest$null;7;26;0;2;2;0;0;0;0;863;2
24;net.sourceforge.schemaspy.MainEvoSuiteTest$null;6;4;0;0;0;0;0;0;0;863;2
553;net.sourceforge.schemaspy.MultipleSchemaAnalyzerEvoSuiteTest$null;10;7;8;19;19;8;1;5;2;855;21
611;net.sourceforge.schemaspy.RevisionEvoSuiteTest$null;4;2;1;6;6;9;2;5;2;854;27
6934;net.sourceforge.schemaspy.SchemaAnalyzerEvoSuiteTest$null;32;35;21;157;164;30;6;22;2;833;184
6999;net.sourceforge.schemaspy.TableOrdererEvoSuiteTest$null;5;2;2;9;9;32;6;24;2;831;193
8305;net.sourceforge.schemaspy.model.DatabaseEvoSuiteTest$null;20;35;1;46;56;33;6;25;2;830;239
8900;net.sourceforge.schemaspy.model.ForeignKeyConstraintEvoSuiteTest$null;15;12;23;37;37;56;23;31;2;807;276
9071;net.sourceforge.schemaspy.model.RoutineEvoSuiteTest$null;8;5;1;16;16;57;24;31;2;806;292
9072;net.sourceforge.schemaspy.model.RoutineParameterEvoSuiteTest$null;4;2;0;0;0;57;24;31;2;806;292
9257;net.sourceforge.schemaspy.model.TableEvoSuiteTest$null;12;10;7;10;10;64;31;31;2;799;302
9263;net.sourceforge.schemaspy.model.xml.ForeignKeyMetaEvoSuiteTest$null;4;3;1;1;1;65;31;32;2;798;303
9515;net.sourceforge.schemaspy.model.xml.SchemaMetaEvoSuiteTest$null;9;7;2;10;11;67;32;32;3;796;313
12379;net.sourceforge.schemaspy.ui.DirectoryCellEditorEvoSuiteTest$null;65;97;7;47;48;74;35;36;3;789;360
12484;net.sourceforge.schemaspy.ui.UiUtilsEvoSuiteTest$null;9;8;5;16;16;79;38;38;3;784;376
12537;net.sourceforge.schemaspy.util.DOMUtilEvoSuiteTest$null;8;21;2;8;8;81;39;39;3;782;384
12838;net.sourceforge.schemaspy.util.DbSpecificConfigEvoSuiteTest$null;14;19;2;25;27;83;39;41;3;780;409
12838;net.sourceforge.schemaspy.util.DbSpecificOptionEvoSuiteTest$null;4;3;0;0;0;83;39;41;3;780;409
16663;net.sourceforge.schemaspy.util.DotEvoSuiteTest$null;19;100;21;165;171;104;53;48;3;759;574
16772;net.sourceforge.schemaspy.util.HtmlEncoderEvoSuiteTest$null;4;1;8;17;17;112;58;51;3;751;591
17894;net.sourceforge.schemaspy.util.InflectionEvoSuiteTest$null;12;9;31;105;105;143;77;63;3;720;696
17894;net.sourceforge.schemaspy.util.PasswordReaderEvoSuiteTest$null;5;3;0;0;0;143;77;63;3;720;696
17914;net.sourceforge.schemaspy.util.ResourceWriterEvoSuiteTest$null;8;25;1;2;2;144;77;64;3;719;698
17915;net.sourceforge.schemaspy.util.ResultSetDumperEvoSuiteTest$null;4;1;0;0;0;144;77;64;3;719;698
18131;net.sourceforge.schemaspy.util.VersionEvoSuiteTest$null;6;3;19;30;38;163;94;66;3;700;728
18132;net.sourceforge.schemaspy.view.DotConnectorFinderEvoSuiteTest$null;4;1;0;0;0;163;94;66;3;700;728
21432;net.sourceforge.schemaspy.view.DotFormatterEvoSuiteTest$null;18;16;3;124;139;166;96;67;3;697;852
21580;net.sourceforge.schemaspy.view.DotNodeEvoSuiteTest$null;9;8;0;10;11;166;96;67;3;697;862
22440;net.sourceforge.schemaspy.view.HtmlColumnsPageEvoSuiteTest$null;17;14;20;42;48;186;98;85;3;677;904
22583;net.sourceforge.schemaspy.view.HtmlConstraintsPageEvoSuiteTest$null;11;8;1;11;15;187;99;85;3;676;915
24565;net.sourceforge.schemaspy.view.HtmlDiagramFormatterEvoSuiteTest$null;14;11;0;108;127;187;99;85;3;676;1023
24667;net.sourceforge.schemaspy.view.HtmlFormatterEvoSuiteTest$null;9;7;1;6;10;188;100;85;3;675;1029
25379;net.sourceforge.schemaspy.view.HtmlMainIndexPageEvoSuiteTest$null;11;10;3;38;42;191;101;87;3;672;1067
25489;net.sourceforge.schemaspy.view.HtmlMultipleSchemasIndexPageEvoSuiteTest$null;10;7;0;7;11;191;101;87;3;672;1074
28046;net.sourceforge.schemaspy.view.HtmlOrphansPageEvoSuiteTest$null;15;12;3;111;130;194;103;88;3;669;1185
30584;net.sourceforge.schemaspy.view.HtmlRelationshipsPageEvoSuiteTest$null;15;13;1;113;132;195;104;88;3;668;1298
30681;net.sourceforge.schemaspy.view.HtmlRoutinesPageEvoSuiteTest$null;10;8;1;7;11;196;105;88;3;667;1305
32839;net.sourceforge.schemaspy.view.HtmlTableDiagrammerEvoSuiteTest$null;14;12;2;110;129;198;106;89;3;665;1415
33295;net.sourceforge.schemaspy.view.HtmlTablePageEvoSuiteTest$null;11;9;1;26;30;199;106;90;3;664;1441
34342;net.sourceforge.schemaspy.view.StyleSheetEvoSuiteTest$null;13;12;39;62;68;238;107;127;4;625;1503
34343;net.sourceforge.schemaspy.view.TextFormatterEvoSuiteTest$null;3;0;0;0;0;238;107;127;4;625;1503
34343;net.sourceforge.schemaspy.view.WriteStatsEvoSuiteTest$null;4;1;0;0;0;238;107;127;4;625;1503
34349;net.sourceforge.schemaspy.view.XmlTableFormatterEvoSuiteTest$null;5;5;0;1;1;238;107;127;4;625;1504
