CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
94;net.sf.xisemele.impl.AttributeImplEvoSuiteTest$null;10;20;5;9;9;5;3;2;0;74;9
457;net.sf.xisemele.impl.EditorImplEvoSuiteTest$null;20;18;16;18;18;21;19;2;0;58;27
458;net.sf.xisemele.impl.ElementImplEvoSuiteTest$null;7;5;0;0;0;21;19;2;0;58;27
464;net.sf.xisemele.impl.FormatterProviderImplEvoSuiteTest$null;6;2;0;1;1;21;19;2;0;58;28
465;net.sf.xisemele.impl.MessageImplEvoSuiteTest$null;7;4;0;0;0;21;19;2;0;58;28
465;net.sf.xisemele.impl.NullErrorHandlerEvoSuiteTest$null;6;2;0;0;0;21;19;2;0;58;28
494;net.sf.xisemele.impl.NullValueEvoSuiteTest$null;15;12;2;2;2;23;21;2;0;56;30
729;net.sf.xisemele.impl.OperationsImplEvoSuiteTest$null;13;11;8;16;16;31;24;7;0;48;46
729;net.sf.xisemele.impl.ReaderImplEvoSuiteTest$null;5;2;0;0;0;31;24;7;0;48;46
730;net.sf.xisemele.impl.ResultImplEvoSuiteTest$null;7;4;0;0;0;31;24;7;0;48;46
948;net.sf.xisemele.impl.ValidationsImplEvoSuiteTest$null;12;8;7;9;9;38;26;11;1;41;55
980;net.sf.xisemele.impl.ValueImplEvoSuiteTest$null;21;20;1;1;1;39;27;11;1;40;56
1236;net.sf.xisemele.impl.ValueListImplEvoSuiteTest$null;20;15;13;13;13;52;40;11;1;27;69
1256;net.sf.xisemele.impl.WithinContextImplEvoSuiteTest$null;7;3;2;2;2;54;42;11;1;25;71
1256;net.sf.xisemele.impl.WriterEditorImplEvoSuiteTest$null;10;6;0;0;0;54;42;11;1;25;71
1370;net.sf.xisemele.impl.WriterImplEvoSuiteTest$null;11;7;6;8;8;60;48;11;1;19;79
1370;net.sf.xisemele.impl.XisemeleFactoryEvoSuiteTest$null;17;13;0;0;0;60;48;11;1;19;79
1371;net.sf.xisemele.impl.XisemeleImplEvoSuiteTest$null;7;3;0;0;0;60;48;11;1;19;79
