CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
5897;integration.EditorTest$null;62;175;106;170;170;106;49;56;1;163;170
8018;integration.ElementTest$null;32;36;25;70;110;131;65;65;1;138;240
9355;integration.ReaderTest$null;31;33;1;41;94;132;66;65;1;137;281
9529;net.sf.xisemele.impl.AttributeImplTest$null;20;108;2;9;9;134;68;65;1;135;290
9530;net.sf.xisemele.impl.DateFormatterTest$null;6;3;0;0;0;134;68;65;1;135;290
9744;net.sf.xisemele.impl.EditorImplTest$null;44;85;5;5;20;139;73;65;1;130;295
9895;net.sf.xisemele.impl.ElementImplTest$null;151;88;3;3;4;142;74;67;1;127;298
9896;net.sf.xisemele.impl.FormatterProviderImplTest$null;19;43;0;0;1;142;74;67;1;127;298
10288;net.sf.xisemele.impl.OperationsHelperImplTest$null;43;47;3;14;48;145;74;70;1;124;312
11075;net.sf.xisemele.impl.OperationsImplTest$null;43;51;15;22;55;160;81;78;1;109;334
11075;net.sf.xisemele.impl.ReaderImplTest$null;72;56;0;0;0;160;81;78;1;109;334
14852;net.sf.xisemele.impl.ResultImplTest$null;485;466;12;14;19;172;93;78;1;97;348
15277;net.sf.xisemele.impl.ValidationsImplTest$null;42;43;10;11;15;182;101;80;1;87;359
15277;net.sf.xisemele.impl.ValueImplTest$null;100;54;0;0;1;182;101;80;1;87;359
15650;net.sf.xisemele.impl.ValueListImplTest$null;46;57;10;10;12;192;111;80;1;77;369
15651;net.sf.xisemele.impl.WithinContextImplTest$null;22;1;0;0;2;192;111;80;1;77;369
16659;net.sf.xisemele.impl.WriterEditorImplTest$null;163;81;19;20;51;211;120;90;1;58;389
16998;net.sf.xisemele.impl.WriterImplTest$null;43;38;10;10;10;221;130;90;1;48;399
19758;net.sf.xisemele.impl.XisemeleImplTest$null;305;325;11;12;13;232;141;90;1;37;411
