Program,variable,value,lower,upper,
CodePro,Diebierse,7,,,
CodePro,Inspirento,7,,,
CodePro,Jnfe,48,,,
CodePro,Jni-inchi,67,,,
CodePro,Jsecurity,21,,,
CodePro,Lagoon,18,,,
CodePro,Lavalamp,44,,,
CodePro,Netweaver,29,,,
CodePro,Saxpath,49,,,
CodePro,Xisemele,27,,,
Evosuite,Diebierse,7.2,5.7,8.7,1.5
Evosuite,Inspirento,34.1,32.8,35.4,1.3
Evosuite,Jnfe,23.4,22.5,24.3,0.9
Evosuite,Jni-inchi,64.9,63,66.8,1.9
Evosuite,Jsecurity,36.3,35.2,37.4,1.1
Evosuite,Lagoon,17.5,16.8,18.2,0.7
Evosuite,Lavalamp,47.3,47.1,47.5,0.2
Evosuite,Netweaver,1.4,1.3,1.5,0.1
Evosuite,Saxpath,54.4,52.3,56.5,2.1
Evosuite,Xisemele,32.1,31,33.2,1.1
Manual,Diebierse,0,,,
Manual,Inspirento,13,,,
Manual,Jnfe,11,,,
Manual,Jni-inchi,29,,,
Manual,Jsecurity,11,,,
Manual,Lagoon,18,,,
Manual,Lavalamp,91,,,
Manual,Netweaver,2,,,
Manual,Saxpath,56,,,
Manual,Xisemele,84,,,
