Program,variable,value,lower,upper,
CodePro,Diebierse,1,,,
CodePro,Inspirento,1,,,
CodePro,Jnfe,1,,,
CodePro,Jni-inchi,1,,,
CodePro,Jsecurity,1,,,
CodePro,Lagoon,1,,,
CodePro,Lavalamp,1,,,
CodePro,Netweaver,1,,,
CodePro,Saxpath,1,,,
CodePro,Xisemele,1,,,
Evosuite,Diebierse,1.16,1.13,1.19,0.03
Evosuite,Inspirento,1.24,1.2,1.28,0.04
Evosuite,Jnfe,1.08,1.08,1.08,0
Evosuite,Jni-inchi,1.06,1.05,1.07,0.01
Evosuite,Jsecurity,1.22,1.21,1.23,0.01
Evosuite,Lagoon,1.35,1.34,1.36,0.01
Evosuite,Lavalamp,1.21,1.21,1.21,0
Evosuite,Netweaver,1.32,1.32,1.32,0
Evosuite,Saxpath,1.05,1.04,1.06,0.01
Evosuite,Xisemele,1.52,1.51,1.53,0.01
Manual,Diebierse,1,,,
Manual,Inspirento,1.75,,,
Manual,Jnfe,1.11,,,
Manual,Jni-inchi,1.09,,,
Manual,Jsecurity,1.12,,,
Manual,Lagoon,1.2,,,
Manual,Lavalamp,1.02,,,
Manual,Netweaver,1.12,,,
Manual,Saxpath,1.29,,,
Manual,Xisemele,1.05,,,
Source,Diebierse,1.74,,,
Source,Inspirento,1.76,,,
Source,Jnfe,1.38,,,
Source,Jni-inchi,2.05,,,
Source,Jsecurity,2.05,,,
Source,Lagoon,3.52,,,
Source,Lavalamp,1.5,,,
Source,Netweaver,2.82,,,
Source,Saxpath,2.1,,,
Source,Xisemele,1.29,,,
