Program,variable,value,lower,upper,
CodePro,Diebierse,390,,,
CodePro,Inspirento,219,,,
CodePro,Jnfe,2632,,,
CodePro,Jni-inchi,1583,,,
CodePro,Jsecurity,15330,,,
CodePro,Lagoon,11475,,,
CodePro,Lavalamp,2569,,,
CodePro,Netweaver,18719,,,
CodePro,Saxpath,2657,,,
CodePro,Xisemele,2279,,,
Evosuite,Diebierse,212.2,199.2,225.2,13
Evosuite,Inspirento,874.8,811,938.6,63.8
Evosuite,Jnfe,606.4,604.1,608.7,2.3
Evosuite,Jni-inchi,861.8,846.2,877.4,15.6
Evosuite,Jsecurity,3949,3856.8,4041.2,92.2
Evosuite,Lagoon,2153.6,2150,2157.2,3.6
Evosuite,Lavalamp,971.6,956.7,986.5,14.9
Evosuite,Netweaver,944.8,937.2,952.4,7.6
Evosuite,Saxpath,779.8,766.5,793.1,13.3
Evosuite,Xisemele,994,983.1,1004.9,10.9
Manual,Diebierse,108,,,
Manual,Inspirento,1842,,,
Manual,Jnfe,302,,,
Manual,Jni-inchi,1325,,,
Manual,Jsecurity,1034,,,
Manual,Lagoon,553,,,
Manual,Lavalamp,1344,,,
Manual,Netweaver,1363,,,
Manual,Saxpath,478,,,
Manual,Xisemele,2893,,,
Source,Diebierse,1539,,,
Source,Inspirento,1769,,,
Source,Jnfe,1294,,,
Source,Jni-inchi,783,,,
Source,Jsecurity,9470,,,
Source,Lagoon,6060,,,
Source,Lavalamp,1039,,,
Source,Netweaver,17953,,,
Source,Saxpath,1441,,,
Source,Xisemele,1399,,,
